"","site","yr","plotid","clean_code2","hits","trt","meadow","snow"
"1","sdl",1997,"11","2LTR",11,"N+P","dry","no snow"
"2","sdl",1997,"11","ARSC",7,"N+P","dry","no snow"
"3","sdl",1997,"11","CARUD",1,"N+P","dry","no snow"
"4","sdl",1997,"11","CASC12",1,"N+P","dry","no snow"
"5","sdl",1997,"11","ERSI3",3,"N+P","dry","no snow"
"6","sdl",1997,"11","FEBR",18,"N+P","dry","no snow"
"7","sdl",1997,"11","GERO2",13,"N+P","dry","no snow"
"8","sdl",1997,"11","KOMY",16,"N+P","dry","no snow"
"9","sdl",1997,"11","LLSE",1,"N+P","dry","no snow"
"10","sdl",1997,"11","NOFEG",0.25,"N+P","dry","no snow"
"11","sdl",1997,"11","ORALA",13,"N+P","dry","no snow"
"12","sdl",1997,"11","POARG",2,"N+P","dry","no snow"
"13","sdl",1997,"11","POBI6",0.25,"N+P","dry","no snow"
"14","sdl",1997,"11","POGL",4,"N+P","dry","no snow"
"15","sdl",1997,"11","POVI3",2,"N+P","dry","no snow"
"16","sdl",1997,"11","SIACS2",0.25,"N+P","dry","no snow"
"17","sdl",1997,"11","TEGR3",1,"N+P","dry","no snow"
"18","sdl",1997,"11","TRDA2",1,"N+P","dry","no snow"
"19","sdl",2002,"11","SARH2",0.25,"N+P","dry","no snow"
"20","sdl",2002,"60","POVI3",0.25,"N+P","dry","snow"
"21","sdl",2003,"869 (old number)","ANSE4",2,"N+P","dry","?"
"22","sdl",2003,"869 (old number)","ARFEF3",1,"N+P","dry","?"
"23","sdl",2003,"869 (old number)","ARSC",9,"N+P","dry","?"
"24","sdl",2003,"869 (old number)","CARO2",2,"N+P","dry","?"
"25","sdl",2003,"869 (old number)","DECE",2,"N+P","dry","?"
"26","sdl",2003,"869 (old number)","ERSI3",6,"N+P","dry","?"
"27","sdl",2003,"869 (old number)","GERO2",32,"N+P","dry","?"
"28","sdl",2003,"869 (old number)","LUSP4",2,"N+P","dry","?"
"29","sdl",2003,"869 (old number)","ORALA",7,"N+P","dry","?"
"30","sdl",2003,"869 (old number)","POAL2",8,"N+P","dry","?"
"31","sdl",2003,"869 (old number)","POBI6",5,"N+P","dry","?"
"32","sdl",2003,"869 (old number)","POVI",2,"N+P","dry","?"
