"Site","Date","Block","Plot","N","P","Micro","K+","N_spp_present"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,28
"NWT NutNet",2013-07-26,1,2,0,0,1,0,26
"NWT NutNet",2013-07-25,1,3,0,1,0,0,29
"NWT NutNet",2013-07-26,1,4,1,0,0,0,35
"NWT NutNet",2013-07-26,1,5,0,1,1,0,33
"NWT NutNet",2013-07-28,1,6,1,0,1,0,29
"NWT NutNet",2013-07-28,1,7,1,1,0,0,35
"NWT NutNet",2013-07-28,1,8,1,1,1,0,29
"NWT NutNet",2013-07-28,1,9,0,0,0,0,29
"NWT NutNet",2013-07-26,1,10,1,1,1,0,39
"NWT NutNet",2013-07-30,2,1,0,0,0,0,23
"NWT NutNet",2013-07-30,2,2,0,0,1,0,19
"NWT NutNet",2013-07-30,2,3,0,1,0,0,24
"NWT NutNet",2013-07-30,2,4,1,0,0,0,25
"NWT NutNet",2013-07-30,2,5,0,1,1,0,20
"NWT NutNet",2013-07-30,2,6,1,0,1,0,24
"NWT NutNet",2013-07-30,2,7,1,1,0,0,23
"NWT NutNet",2013-08-01,2,8,1,1,1,0,24
"NWT NutNet",2013-08-01,2,9,0,0,0,0,18
"NWT NutNet",2013-08-01,2,10,1,1,1,0,20
"NWT NutNet",2013-08-01,3,1,0,0,0,0,21
"NWT NutNet",2013-08-01,3,2,0,0,1,0,17
"NWT NutNet",2013-08-01,3,3,0,1,0,0,23
"NWT NutNet",2013-08-01,3,4,1,0,0,0,20
"NWT NutNet",2013-08-01,3,5,0,1,1,0,18
"NWT NutNet",2013-08-01,3,6,1,0,1,0,19
"NWT NutNet",2013-08-01,3,7,1,1,0,0,25
"NWT NutNet",2013-08-01,3,8,1,1,1,0,25
"NWT NutNet",2013-08-01,3,9,0,0,0,0,22
"NWT NutNet",2013-08-01,3,10,1,1,1,0,20
"NWT NutNet",2013-08-01,4,1,0,0,0,0,21
"NWT NutNet",2013-08-01,4,2,0,0,1,0,24
"NWT NutNet",2013-08-02,4,3,0,1,0,0,21
"NWT NutNet",2013-08-02,4,4,1,0,0,0,26
"NWT NutNet",2013-08-02,4,5,0,1,1,0,23
"NWT NutNet",2013-08-02,4,6,1,0,1,0,24
"NWT NutNet",2013-08-02,4,7,1,1,0,0,26
"NWT NutNet",2013-08-02,4,8,1,1,1,0,29
"NWT NutNet",2013-08-02,4,9,0,0,0,0,23
"NWT NutNet",2013-08-02,4,10,1,1,1,0,30
"NWT NutNet",2017-07-07,1,1,0,0,0,0,28
"NWT NutNet",2017-07-07,1,2,0,0,1,1,18
"NWT NutNet",2017-07-07,1,4,1,0,0,0,24
"NWT NutNet",2017-07-07,1,7,1,1,0,0,22
"NWT NutNet",2017-07-07,1,8,1,1,1,1,26
"NWT NutNet",2017-07-07,1,9,0,0,0,0,31
"NWT NutNet",2017-07-07,1,10,1,1,1,1,29
"NWT NutNet",2017-07-07,2,1,0,0,0,0,21
"NWT NutNet",2017-07-07,2,2,0,0,1,1,17
"NWT NutNet",2017-07-07,2,4,1,0,0,0,20
"NWT NutNet",2017-07-07,2,7,1,1,0,0,17
"NWT NutNet",2017-07-07,2,8,1,1,1,1,19
"NWT NutNet",2017-07-07,2,9,0,0,0,0,17
"NWT NutNet",2017-07-07,2,10,1,1,1,1,19
"NWT NutNet",2017-06-29,3,1,0,0,0,0,17
"NWT NutNet",2017-06-30,3,2,0,0,1,1,20
"NWT NutNet",2017-07-07,3,4,1,0,0,0,12
"NWT NutNet",2017-06-29,3,7,1,1,0,0,13
"NWT NutNet",2017-06-29,3,8,1,1,1,1,18
"NWT NutNet",2017-06-30,3,9,0,0,0,0,21
"NWT NutNet",2017-06-29,3,10,1,1,1,1,18
"NWT NutNet",2017-07-06,4,1,0,0,0,0,15
"NWT NutNet",2017-07-06,4,2,0,0,1,1,19
"NWT NutNet",2017-07-07,4,6,1,0,1,1,18
"NWT NutNet",2017-07-06,4,7,1,1,0,0,21
"NWT NutNet",2017-07-06,4,8,1,1,1,1,22
"NWT NutNet",2017-07-06,4,9,0,0,0,0,16
"NWT NutNet",2017-07-06,4,10,1,1,1,1,26
