"Site","Date","Block","Plot","N","P","Micro","K+","FieldCode","FieldName","Hits","USDA_Symbol","USDA_Scientific_Name","USDA_Common_Name","USDA_Category","USDA_Family","USDA_Family_Common_Name","USDA_Duration","USDA_Growth_Habit"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"2BARE","Bare ground",12,"2BARE",NA,"Bare Ground",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"2LTR","Litter",9,"2LTR",NA,"Litter",NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"ALGE","Allium geyeri",2,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"ARFEF3","Arenaria fendleri var. fendleri",1,"ARFEF3","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"ARSC","Artemisia scopulorum",4,"ARSC","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"CARUD","Carex rupestris var. drummondiana",28,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"CAUN2","Campanula uniflora",5,"CAUN2","Campanula uniflora L.","arctic bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"CHJA","Chionophila jamesii",0.25,"CHJA","Chionophila jamesii Benth.","Rocky Mountain snowlover","Dicot","Scrophulariaceae","Figwort family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"DECE","Deschampsia caespitosa",2,"DECE","Deschampsia cespitosa (L.) P. Beauv.","tufted hairgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"ERNA","Eritrichium nanum",1,"ERNA","Eritrichium nanum (Vill.) Schrad. ex Gaudin","arctic alpine forget-me-not","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"ERSI3","Erigeron simplex",0.25,"ERSI3","Erigeron simplex Greene","onestem fleabane","Dicot","Asteraceae","Aster family","Perennial","Subshrub, Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"FEBR","Festuca brachyphylla",4,"FEBR","Festuca brachyphylla Schult. ex Schult. & Schult. f.","alpine fescue","Monocot","Poaceae","Grass family","Perennial","Graminoid"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"FORB1","Unk forb1",1,"2FORB",NA,"Forb (herbaceous, not grass nor grass-like)",NA,NA,NA,"Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"GERO2","Geum rossii",17,"GERO2","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet",2013-07-25,1,1,0,0,0,0,"KOMY","Kobresia myosuroides",18,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
