"LTER_site","local_site","year","collect_date","plot_num","old_plot_num","veg_class","fert","snow","snow_recovery","group","rep","anpp_g"
"Niwot Ridge LTER","SDL snowfence",1996,NA,1,"710","DM","CC",0,0,"Total",1,32.4
"Niwot Ridge LTER","SDL snowfence",1996,NA,2,"712","DM","CC",0,0,"Total",1,83.1
"Niwot Ridge LTER","SDL snowfence",1996,NA,3,"709","DM","CC",0,0,"Total",1,79.7
"Niwot Ridge LTER","SDL snowfence",1996,NA,4,"711","DM","CC",0,0,"Total",1,121
"Niwot Ridge LTER","SDL snowfence",1996,NA,5,"262","DM","NN",0,0,"Total",1,91.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,6,"409","DM","NN",0,0,"Total",1,99.5
"Niwot Ridge LTER","SDL snowfence",1996,NA,7,"292","DM","NN",0,0,"Total",1,81.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,8,"99","DM","NN",0,0,"Total",1,89.4
"Niwot Ridge LTER","SDL snowfence",1996,NA,9,"408","DM","NP",0,0,"Total",1,208.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,10,"290","DM","NP",0,0,"Total",1,155.4
"Niwot Ridge LTER","SDL snowfence",1996,NA,11,"410","DM","NP",0,0,"Total",1,129
"Niwot Ridge LTER","SDL snowfence",1996,NA,12,"261","DM","NP",0,0,"Total",1,102.5
"Niwot Ridge LTER","SDL snowfence",1996,NA,13,"411","DM","PP",0,0,"Total",1,84.3
"Niwot Ridge LTER","SDL snowfence",1996,NA,14,"287","DM","PP",0,0,"Total",1,47.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,15,"289","DM","PP",0,0,"Total",1,122.3
"Niwot Ridge LTER","SDL snowfence",1996,NA,16,"407","DM","PP",0,0,"Total",1,47.9
"Niwot Ridge LTER","SDL snowfence",1996,NA,17,"XX1","MM","CC",0,0,"Total",1,73.5
"Niwot Ridge LTER","SDL snowfence",1996,NA,18,"268","MM","CC",0,0,"Total",1,51.7
"Niwot Ridge LTER","SDL snowfence",1996,NA,19,"267","MM","CC",0,0,"Total",1,102.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,20,"266","MM","CC",0,0,"Total",1,95.1
"Niwot Ridge LTER","SDL snowfence",1996,NA,21,"294","MM","NN",0,0,"Total",1,195.6
"Niwot Ridge LTER","SDL snowfence",1996,NA,22,"295","MM","NN",0,0,"Total",1,208
"Niwot Ridge LTER","SDL snowfence",1996,NA,23,"279","MM","NN",0,0,"Total",1,178.3
"Niwot Ridge LTER","SDL snowfence",1996,NA,24,"264","MM","NN",0,0,"Total",1,47.5
"Niwot Ridge LTER","SDL snowfence",1996,NA,25,"298","MM","NP",0,0,"Total",1,284.7
"Niwot Ridge LTER","SDL snowfence",1996,NA,26,"281","MM","NP",0,0,"Total",1,213
"Niwot Ridge LTER","SDL snowfence",1996,NA,27,"403","MM","NP",0,0,"Total",1,177.9
"Niwot Ridge LTER","SDL snowfence",1996,NA,28,"293","MM","NP",0,0,"Total",1,172.9
"Niwot Ridge LTER","SDL snowfence",1996,NA,29,"XX2","MM","PP",0,0,"Total",1,80.7
"Niwot Ridge LTER","SDL snowfence",1996,NA,30,"283","MM","PP",0,0,"Total",1,106
"Niwot Ridge LTER","SDL snowfence",1996,NA,31,"280","MM","PP",0,0,"Total",1,87.2
"Niwot Ridge LTER","SDL snowfence",1996,NA,32,"406","MM","PP",0,0,"Total",1,111.5
"Niwot Ridge LTER","SDL snowfence",1996,NA,33,"395","WM","CC",0,0,"Total",1,29
"Niwot Ridge LTER","SDL snowfence",1996,NA,34,"394","WM","CC",0,0,"Total",1,77
"Niwot Ridge LTER","SDL snowfence",1996,NA,35,"389","WM","CC",0,0,"Total",1,36
"Niwot Ridge LTER","SDL snowfence",1996,NA,36,"396","WM","CC",0,0,"Total",1,50
"Niwot Ridge LTER","SDL snowfence",1996,NA,37,"269","WM","NN",0,0,"Total",1,38
"Niwot Ridge LTER","SDL snowfence",1996,NA,38,"297","WM","NN",0,0,"Total",1,78
"Niwot Ridge LTER","SDL snowfence",1996,NA,39,"278","WM","NN",0,0,"Total",1,118
"Niwot Ridge LTER","SDL snowfence",1996,NA,40,"299","WM","NN",0,0,"Total",1,77
"Niwot Ridge LTER","SDL snowfence",1996,NA,41,"393","WM","NP",0,0,"Total",1,145
"Niwot Ridge LTER","SDL snowfence",1996,NA,42,"274","WM","NP",0,0,"Total",1,49
"Niwot Ridge LTER","SDL snowfence",1996,NA,43,"392","WM","NP",0,0,"Total",1,119
