"LTER_site","local_site","plot_num","date_est","fert","veg_class","snow","snow_recovery","snow_x","snow_ymin","snow_ymax","wm_x","wm_y","tag_sw_orig","tag_ne_orig","tag_sw_2002","tag_ne_2004","tag_other","notes"
"Niwot Ridge LTER","SDL snowfence","XX1",1993-08-26,"CC","MM",0,0,17,84,86,NA,NA,NA,NA,NA,NA,NA,"relocated to current plot 17 in 1997 (different location)"
"Niwot Ridge LTER","SDL snowfence","XX2",1993-08-26,"PP","MM",0,0,15,77,79,NA,NA,NA,NA,NA,NA,NA,"relocated to current plot 29 in 1997 (different location)"
"Niwot Ridge LTER","SDL snowfence","1",1993-08-26,"CC","DM",0,0,70,44,42,NA,NA,710,490,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","2",1993-08-26,"CC","DM",0,0,72,16,18,NA,NA,712,497,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","3",1993-08-26,"CC","DM",0,0,77,25,27,NA,NA,709,494,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","4",1993-08-26,"CC","DM",0,0,78,15,18,NA,NA,711,499,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","5",1993-08-26,"NN","DM",0,0,67,50,52,NA,NA,262,488,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","6",1993-08-26,"NN","DM",0,0,73,45,47,NA,NA,409,489,NA,NA,"291, 870",NA
"Niwot Ridge LTER","SDL snowfence","7",1993-08-26,"NN","DM",0,0,73,54,56,NA,NA,292,486,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","8",1993-08-26,"NN","DM",0,0,80,29,31,NA,NA,99,493,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","9",1993-08-26,"NP","DM",0,0,67,53,55,NA,NA,408,487,NA,NA,"263",NA
"Niwot Ridge LTER","SDL snowfence","10",1993-08-26,"NP","DM",0,0,75,18,19,NA,NA,290,495,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","11",1993-08-26,"NP","DM",0,0,75,30,32,NA,NA,410,492,NA,NA,"300, 869",NA
"Niwot Ridge LTER","SDL snowfence","12",1993-08-26,"NP","DM",0,0,78,18,20,NA,NA,261,498,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","13",1993-08-26,"PP","DM",0,0,75,16,18,NA,NA,411,496,NA,NA,"285",NA
"Niwot Ridge LTER","SDL snowfence","14",1993-08-26,"PP","DM",0,0,75,33,35,NA,NA,287,491,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","15",1993-08-26,"PP","DM",0,0,77,2,4,NA,NA,289,500,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","16",1993-08-26,"PP","DM",0,0,80,26,28,NA,NA,296,485,NA,NA,"407",NA
"Niwot Ridge LTER","SDL snowfence","17",1997-08-01,"CC","MM",0,0,0,89,91,NA,NA,870,230,NA,NA,NA,"established summer 1997, exact date unknown, estimate provided"
"Niwot Ridge LTER","SDL snowfence","18",1993-08-26,"CC","MM",0,0,8,64,66,NA,NA,268,437,436,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","19",1993-08-26,"CC","MM",0,0,10,82,84,NA,NA,267,444,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","20",1993-08-26,"CC","MM",0,0,15,82,84,NA,NA,266,445,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","21",1993-08-26,"NN","MM",0,0,5,72,74,NA,NA,294,440,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","22",1993-08-26,"NN","MM",0,0,10,73,75,NA,NA,295,448,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","23",1993-08-26,"NN","MM",0,0,15,84,86,NA,NA,279,NA,NA,NA,NA,NA
"Niwot Ridge LTER","SDL snowfence","24",1993-08-26,"NN","MM",0,0,32,64,66,NA,NA,264,452,NA,NA,"877",NA
"Niwot Ridge LTER","SDL snowfence","25",1993-08-26,"NP","MM",0,0,0,76,78,NA,NA,298,442,NA,NA,NA,NA
