"LTER_site","local_site","year","plot_num","old_plot_num","fert","veg_class","snow","snow_recovery","spp_rich"
"Niwot Ridge LTER","SDL snowfence",1996,"XX1","XX1","CC","MM",0,0,10
"Niwot Ridge LTER","SDL snowfence",1996,"XX2","XX2","PP","MM",0,0,9
"Niwot Ridge LTER","SDL snowfence",1996,"1","710","CC","DM",0,0,21
"Niwot Ridge LTER","SDL snowfence",1996,"2","712","CC","DM",0,0,21
"Niwot Ridge LTER","SDL snowfence",1996,"3","709","CC","DM",0,0,25
"Niwot Ridge LTER","SDL snowfence",1996,"4","711","CC","DM",0,0,23
"Niwot Ridge LTER","SDL snowfence",1996,"5","262","NN","DM",0,0,15
"Niwot Ridge LTER","SDL snowfence",1996,"6","409","NN","DM",0,0,15
"Niwot Ridge LTER","SDL snowfence",1996,"7","292","NN","DM",0,0,11
"Niwot Ridge LTER","SDL snowfence",1996,"8","99","NN","DM",0,0,16
"Niwot Ridge LTER","SDL snowfence",1996,"9","408","NP","DM",0,0,12
"Niwot Ridge LTER","SDL snowfence",1996,"10","290","NP","DM",0,0,18
"Niwot Ridge LTER","SDL snowfence",1996,"11","410","NP","DM",0,0,16
"Niwot Ridge LTER","SDL snowfence",1996,"12","261","NP","DM",0,0,23
"Niwot Ridge LTER","SDL snowfence",1996,"13","411","PP","DM",0,0,26
"Niwot Ridge LTER","SDL snowfence",1996,"14","287","PP","DM",0,0,20
"Niwot Ridge LTER","SDL snowfence",1996,"15","289","PP","DM",0,0,24
"Niwot Ridge LTER","SDL snowfence",1996,"16","407","PP","DM",0,0,19
"Niwot Ridge LTER","SDL snowfence",1996,"18","268","CC","MM",0,0,10
"Niwot Ridge LTER","SDL snowfence",1996,"19","267","CC","MM",0,0,11
"Niwot Ridge LTER","SDL snowfence",1996,"20","266","CC","MM",0,0,12
"Niwot Ridge LTER","SDL snowfence",1996,"21","294","NN","MM",0,0,12
"Niwot Ridge LTER","SDL snowfence",1996,"22","295","NN","MM",0,0,12
"Niwot Ridge LTER","SDL snowfence",1996,"23","279","NN","MM",0,0,13
"Niwot Ridge LTER","SDL snowfence",1996,"24","264","NN","MM",0,0,8
"Niwot Ridge LTER","SDL snowfence",1996,"25","298","NP","MM",0,0,9
"Niwot Ridge LTER","SDL snowfence",1996,"26","281","NP","MM",0,0,12
"Niwot Ridge LTER","SDL snowfence",1996,"27","403","NP","MM",0,0,10
"Niwot Ridge LTER","SDL snowfence",1996,"28","293","NP","MM",0,0,11
"Niwot Ridge LTER","SDL snowfence",1996,"30","283","PP","MM",0,0,11
"Niwot Ridge LTER","SDL snowfence",1996,"31","280","PP","MM",0,0,9
"Niwot Ridge LTER","SDL snowfence",1996,"32","406","PP","MM",0,0,10
"Niwot Ridge LTER","SDL snowfence",1996,"33","395","CC","WM",0,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"34","394","CC","WM",0,0,4
"Niwot Ridge LTER","SDL snowfence",1996,"35","389","CC","WM",0,0,8
"Niwot Ridge LTER","SDL snowfence",1996,"36","396","CC","WM",0,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"37","269","NN","WM",0,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"38","297","NN","WM",0,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"39","278","NN","WM",0,0,8
"Niwot Ridge LTER","SDL snowfence",1996,"40","299","NN","WM",0,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"41","393","NP","WM",0,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"42","274","NP","WM",0,0,5
"Niwot Ridge LTER","SDL snowfence",1996,"43","392","NP","WM",0,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"44","272","NP","WM",0,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"45","270","PP","WM",0,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"46","275","PP","WM",0,0,8
"Niwot Ridge LTER","SDL snowfence",1996,"47","277","PP","WM",0,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"48","276","PP","WM",0,0,5
"Niwot Ridge LTER","SDL snowfence",1996,"49","888","CC","DM",1,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"50","889","CC","DM",1,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"51","890","CC","DM",1,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"52","891","CC","DM",1,0,10
"Niwot Ridge LTER","SDL snowfence",1996,"53","417","NN","DM",1,0,8
"Niwot Ridge LTER","SDL snowfence",1996,"54","415","NN","DM",1,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"55","864","NN","DM",1,0,11
"Niwot Ridge LTER","SDL snowfence",1996,"56","413","NN","DM",1,0,11
"Niwot Ridge LTER","SDL snowfence",1996,"57","868","NP","DM",1,0,10
"Niwot Ridge LTER","SDL snowfence",1996,"58","894","NP","DM",1,0,12
"Niwot Ridge LTER","SDL snowfence",1996,"59","866","NP","DM",1,0,11
"Niwot Ridge LTER","SDL snowfence",1996,"60","869","NP","DM",1,0,14
"Niwot Ridge LTER","SDL snowfence",1996,"61","400","PP","DM",1,0,9
"Niwot Ridge LTER","SDL snowfence",1996,"62","416","PP","DM",1,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"63","414","PP","DM",1,0,11
"Niwot Ridge LTER","SDL snowfence",1996,"64","412","PP","DM",1,0,10
"Niwot Ridge LTER","SDL snowfence",1996,"65","885","CC","MM",1,0,5
"Niwot Ridge LTER","SDL snowfence",1996,"66","883","CC","MM",1,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"67","882","CC","MM",1,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"68","887","CC","MM",1,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"69","875","NN","MM",1,0,8
"Niwot Ridge LTER","SDL snowfence",1996,"70","884","NN","MM",1,0,5
"Niwot Ridge LTER","SDL snowfence",1996,"71","419","NN","MM",1,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"72","880","NN","MM",1,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"73","877","NP","MM",1,0,5
"Niwot Ridge LTER","SDL snowfence",1996,"74","873","NP","MM",1,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"75","871","NP","MM",1,0,11
"Niwot Ridge LTER","SDL snowfence",1996,"76","886","NP","MM",1,0,6
"Niwot Ridge LTER","SDL snowfence",1996,"77","420","PP","MM",1,0,8
"Niwot Ridge LTER","SDL snowfence",1996,"78","418","PP","MM",1,0,7
"Niwot Ridge LTER","SDL snowfence",1996,"79","872","PP","MM",1,0,8
"Niwot Ridge LTER","SDL snowfence",1996,"80","881","PP","MM",1,0,6
"Niwot Ridge LTER","SDL snowfence",1997,"1","710","CC","DM",0,0,23
"Niwot Ridge LTER","SDL snowfence",1997,"2","712","CC","DM",0,0,15
"Niwot Ridge LTER","SDL snowfence",1997,"3","709","CC","DM",0,0,26
"Niwot Ridge LTER","SDL snowfence",1997,"4","711","CC","DM",0,0,23
"Niwot Ridge LTER","SDL snowfence",1997,"5","262","NN","DM",0,0,16
"Niwot Ridge LTER","SDL snowfence",1997,"6","409","NN","DM",0,0,20
"Niwot Ridge LTER","SDL snowfence",1997,"7","292","NN","DM",0,0,20
"Niwot Ridge LTER","SDL snowfence",1997,"8","99","NN","DM",0,0,18
"Niwot Ridge LTER","SDL snowfence",1997,"9","408","NP","DM",0,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"10","290","NP","DM",0,0,22
"Niwot Ridge LTER","SDL snowfence",1997,"11","410","NP","DM",0,0,20
"Niwot Ridge LTER","SDL snowfence",1997,"12","261","NP","DM",0,0,21
"Niwot Ridge LTER","SDL snowfence",1997,"13","411","PP","DM",0,0,21
"Niwot Ridge LTER","SDL snowfence",1997,"14","287","PP","DM",0,0,21
"Niwot Ridge LTER","SDL snowfence",1997,"15","289","PP","DM",0,0,25
"Niwot Ridge LTER","SDL snowfence",1997,"16","407","PP","DM",0,0,27
"Niwot Ridge LTER","SDL snowfence",1997,"17","870","CC","MM",0,0,17
"Niwot Ridge LTER","SDL snowfence",1997,"18","268","CC","MM",0,0,13
"Niwot Ridge LTER","SDL snowfence",1997,"19","267","CC","MM",0,0,15
"Niwot Ridge LTER","SDL snowfence",1997,"20","266","CC","MM",0,0,17
"Niwot Ridge LTER","SDL snowfence",1997,"21","294","NN","MM",0,0,15
"Niwot Ridge LTER","SDL snowfence",1997,"22","295","NN","MM",0,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"23","279","NN","MM",0,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"24","264","NN","MM",0,0,10
"Niwot Ridge LTER","SDL snowfence",1997,"25","298","NP","MM",0,0,11
"Niwot Ridge LTER","SDL snowfence",1997,"26","281","NP","MM",0,0,12
"Niwot Ridge LTER","SDL snowfence",1997,"27","403","NP","MM",0,0,9
"Niwot Ridge LTER","SDL snowfence",1997,"28","293","NP","MM",0,0,11
"Niwot Ridge LTER","SDL snowfence",1997,"29","397","PP","MM",0,0,18
"Niwot Ridge LTER","SDL snowfence",1997,"30","283","PP","MM",0,0,13
"Niwot Ridge LTER","SDL snowfence",1997,"31","280","PP","MM",0,0,17
