site,yr,date,plotid,block,plot,meadow,snow,snow_notes,trt,trt2,clean_code2,hits,simple_name,Scientific_Name_x,Common_Name,Category,Family,Family_Common_Name,Duration,Growth_Habit,simple_lifeform,simple_lifeform2
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,2BARE,12,Bare Ground,NA,Bare Ground,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,2FORB,1,Forb sp.,NA,"Forb (herbaceous, not grass nor grass-like)",NA,NA,NA,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,2LTR,9,Litter,NA,Litter,NA,NA,NA,NA,NA,Ground cover,Ground cover
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,ALGE,2,Allium geyeri,Allium geyeri S. Watson,Geyer's onion,Monocot,Liliaceae,Lily family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,ARFEF3,1,Arenaria fendleri,Arenaria fendleri A. Gray var. fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Pink family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,ARSC,4,Artemisia scopulorum,Artemisia scopulorum A. Gray,alpine sagebrush,Dicot,Asteraceae,Aster family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,CARUD,28,Carex rupestris,Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey,Drummond's sedge,Monocot,Cyperaceae,Sedge family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,CAUN2,5,Campanula uniflora,Campanula uniflora L.,arctic bellflower,Dicot,Campanulaceae,Bellflower family,Perennial,"Subshrub, Forb/herb",Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,CHJA,0.25,Chionophila jamesii,Chionophila jamesii Benth.,Rocky Mountain snowlover,Dicot,Scrophulariaceae,Figwort family,Perennial,Forb/herb,Forb,Forb
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,DECE,2,Deschampsia cespitosa,Deschampsia cespitosa (L.) P. Beauv.,tufted hairgrass,Monocot,Poaceae,Grass family,Perennial,Graminoid,Grass,Grass
nutnet,2013,2013-07-25,B1_1,B1,1,dry,no snow,never affected,C,C,ERNA,1,Eritrichium nanum,Eritrichium nanum (Vill.) Schrad. ex Gaudin,arctic alpine forget-me-not,Dicot,Boraginaceae,Borage family,Perennial,Forb/herb,Forb,Forb
