"Site","Date","DataType","Block","Plot","Subplot","Subsubplot","N","P","K+","FullTreatment","Group","ANPP_g_per_m2"
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,6,"A",2,1,0,1,"N+K","Dead grass",45.9
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,6,"A",2,1,0,1,"N+K","Forb",36.3
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,6,"A",2,1,0,1,"N+K","Grass",42.9
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,6,"A",2,1,0,1,"N+K","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,7,"A",2,1,1,0,"N+P","Dead grass",52.4
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,7,"A",2,1,1,0,"N+P","Forb",92.5
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,7,"A",2,1,1,0,"N+P","Grass",35
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,7,"A",2,1,1,0,"N+P","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,8,"A",2,1,1,1,"N+P+K","Dead grass",87.7
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,8,"A",2,1,1,1,"N+P+K","Forb",33.8
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,8,"A",2,1,1,1,"N+P+K","Grass",67.8
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,8,"A",2,1,1,1,"N+P+K","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,9,"A",2,0,0,0,"C","Dead grass",4.2
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,9,"A",2,0,0,0,"C","Forb",323.5
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,9,"A",2,0,0,0,"C","Grass",6.9
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,9,"A",2,0,0,0,"C","Legume",26.1
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,10,"A",2,1,1,1,"N+P+K","Dead grass",17.3
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,10,"A",2,1,1,1,"N+P+K","Forb",104.5
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,10,"A",2,1,1,1,"N+P+K","Grass",8.4
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,10,"A",2,1,1,1,"N+P+K","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,6,"A",2,1,0,1,"N+K","Dead grass",41.8
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,6,"A",2,1,0,1,"N+K","Forb",112.7
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,6,"A",2,1,0,1,"N+K","Grass",31.5
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,6,"A",2,1,0,1,"N+K","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,7,"A",2,1,1,0,"N+P","Dead grass",63
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,7,"A",2,1,1,0,"N+P","Forb",27.4
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,7,"A",2,1,1,0,"N+P","Grass",79.6
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,7,"A",2,1,1,0,"N+P","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,8,"A",2,1,1,1,"N+P+K","Dead grass",56.1
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,8,"A",2,1,1,1,"N+P+K","Forb",74.2
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,8,"A",2,1,1,1,"N+P+K","Grass",72.6
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,8,"A",2,1,1,1,"N+P+K","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,9,"A",2,0,0,0,"C","Dead grass",43.2
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,9,"A",2,0,0,0,"C","Forb",54.2
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,9,"A",2,0,0,0,"C","Grass",60.4
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,9,"A",2,0,0,0,"C","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,10,"A",2,1,1,1,"N+P+K","Dead grass",30.5
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,10,"A",2,1,1,1,"N+P+K","Forb",59.2
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,10,"A",2,1,1,1,"N+P+K","Grass",24
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,10,"A",2,1,1,1,"N+P+K","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,1,"B",1,0,0,0,"C","Dead grass",44.7
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,1,"B",1,0,0,0,"C","Forb",14
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,1,"B",1,0,0,0,"C","Grass",53.4
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,1,"B",1,0,0,0,"C","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,3,"A",3,0,1,0,"P","Dead grass",22.3
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,3,"A",3,0,1,0,"P","Forb",37.1
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,3,"A",3,0,1,0,"P","Grass",28.9
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,3,"A",3,0,1,0,"P","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,5,"A",3,0,1,1,"P+K","Dead grass",61.2
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,5,"A",3,0,1,1,"P+K","Forb",31.2
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,5,"A",3,0,1,1,"P+K","Grass",82.8
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,5,"A",3,0,1,1,"P+K","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,7,"A",3,1,1,0,"N+P","Dead grass",32.7
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,7,"A",3,1,1,0,"N+P","Forb",75.7
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,7,"A",3,1,1,0,"N+P","Grass",43.4
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,7,"A",3,1,1,0,"N+P","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,9,"A",3,0,0,0,"C","Dead grass",29.5
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,9,"A",3,0,0,0,"C","Forb",75.7
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,9,"A",3,0,0,0,"C","Grass",107.6
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,9,"A",3,0,0,0,"C","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,1,"B",1,0,0,0,"C","Dead grass",37.1
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,1,"B",1,0,0,0,"C","Forb",56.3
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,1,"B",1,0,0,0,"C","Grass",36.9
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,1,"B",1,0,0,0,"C","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,4,"A",2,1,0,0,"N","Dead grass",42.7
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,4,"A",2,1,0,0,"N","Forb",149.7
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,4,"A",2,1,0,0,"N","Grass",34.7
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,4,"A",2,1,0,0,"N","Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,5,"A",2,0,1,1,"P+K","Dead grass",18.2
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,5,"A",2,0,1,1,"P+K","Forb",100.3
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",4,5,"A",2,0,1,1,"P+K","Grass",19.2
