"Site","Date","DataType","Block","Plot","Subplot","Subsubplot","N","P","Micro","K+","Group","ANPPg_0.1m2"
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,6,"A",2,0,0,0,0,"Dead graminoid",4.59
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,6,"A",2,0,0,0,0,"Forb",3.63
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,6,"A",2,0,0,0,0,"Graminoid",4.29
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,6,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,7,"A",2,0,0,0,0,"Dead graminoid",5.24
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,7,"A",2,0,0,0,0,"Forb",9.25
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,7,"A",2,0,0,0,0,"Graminoid",3.5
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,7,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,8,"A",2,0,0,0,0,"Dead graminoid",8.77
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,8,"A",2,0,0,0,0,"Forb",3.38
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,8,"A",2,0,0,0,0,"Graminoid",6.78
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,8,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,9,"A",2,0,0,0,0,"Dead graminoid",0.42
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,9,"A",2,0,0,0,0,"Forb",32.35
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,9,"A",2,0,0,0,0,"Graminoid",0.69
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,9,"A",2,0,0,0,0,"Legume",2.61
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,10,"A",2,0,0,0,0,"Dead graminoid",1.73
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,10,"A",2,0,0,0,0,"Forb",10.45
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,10,"A",2,0,0,0,0,"Graminoid",0.84
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",1,10,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,6,"A",2,0,0,0,0,"Dead graminoid",4.18
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,6,"A",2,0,0,0,0,"Forb",11.27
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,6,"A",2,0,0,0,0,"Graminoid",3.15
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,6,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,7,"A",2,0,0,0,0,"Dead graminoid",6.3
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,7,"A",2,0,0,0,0,"Forb",2.74
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,7,"A",2,0,0,0,0,"Graminoid",7.96
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,7,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,8,"A",2,0,0,0,0,"Dead graminoid",5.61
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,8,"A",2,0,0,0,0,"Forb",7.42
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,8,"A",2,0,0,0,0,"Graminoid",7.26
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,8,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,9,"A",2,0,0,0,0,"Dead graminoid",4.32
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,9,"A",2,0,0,0,0,"Forb",5.42
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,9,"A",2,0,0,0,0,"Graminoid",6.04
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,9,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,10,"A",2,0,0,0,0,"Dead graminoid",3.05
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,10,"A",2,0,0,0,0,"Forb",5.92
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,10,"A",2,0,0,0,0,"Graminoid",2.4
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",2,10,"A",2,0,0,0,0,"Legume",0
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,1,"B",1,0,0,0,0,"Dead graminoid",4.47
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,1,"B",1,0,0,0,0,"Forb",1.4
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,1,"B",1,0,0,0,0,"Graminoid",5.34
"NWT NutNet",2007-08-03,"Pre-treatment (Baseline)",3,1,"B",1,0,0,0,0,"Legume",0
