"Site","Date","Block","Plot","N","P","Micro","K+","Point","Vertical","FieldCode","FieldName","Hits","USDA_Symbol","USDA_Scientific_Name","USDA_Common_Name","USDA_Category","USDA_Family","USDA_Family_Common_Name","USDA_Duration","USDA_Growth_Habit"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,1,1,"KOMY","Kobresia myosuroides",1,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,2,1,"CARUD","Carex rupestris var. drummondiana",1,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,3,1,"ORALA","Oreoxis alpina ssp. alpina",1,"ORALA","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,4,1,"LLSE","Lloydia serotina",1,"LLSE","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,4,2,"CARUD","Carex rupestris var. drummondiana",1,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,5,1,"CARUD","Carex rupestris var. drummondiana",1,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,5,2,"GEROT","Geum rossii",1,"GERO2","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,6,1,"ALGE","Allium geyeri",1,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,6,2,"KOMY","Kobresia myosuroides",1,"KOMY","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,7,1,"TEGR3","Tetraneuris grandiflora",1,"TEGR3","Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","graylocks four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,8,1,"CARO2","Campanula rotundifolia",1,"CARO2","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,9,1,"LLSE","Lloydia serotina",1,"LLSE","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"NWT NutNet","2017-07-07",1,1,0,0,0,0,10,1,"ERSI3","Erigeron simplex",1,"ERSI3","Erigeron simplex Greene","onestem fleabane","Dicot","Asteraceae","Aster family","Perennial","Subshrub, Forb/herb"
