"Site","Date","Block","Plot","N","P","K+","FullTreatment","Code","Name","Hits","Present","USDA_Symbol","USDA_Scientific_Name","USDA_Common_Name","USDA_Category","USDA_Family","USDA_Family_Common_Name","USDA_Duration","USDA_Growth_Habit","USDA_Native_Status"
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","2BARE","Bare ground",12,1,"2BARE",NA,"Bare Ground",NA,NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","2LICHN","Lichen",0,0,"2LICHN",NA,"Lichen",NA,NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","2LTR","Litter",9,1,"2LTR",NA,"Litter",NA,NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","2MOSS","Moss",0,0,"2MOSS",NA,"Moss",NA,NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","2RF","Rock fragment",0,0,"2RF",NA,"Rock, fragments",NA,NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","2WOOD","Downed wood",0,0,"2LTRWS",NA,"Litter, woody, <2.5 cm",NA,NA,NA,NA,NA,NA
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","ACMIA","Achillea millefolium L. var alpicola",0,0,"ACMIA","Achillea millefolium L. var. alpicola (Rydb.) Garrett","common yarrow","Dicot","Asteraceae","Aster family","Perennial","Forb/herb","L48 (N), AK (N)"
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","ALGE","Allium geyeri",2,1,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb","L48 (N), CAN (N)"
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","ANAL4","Antennaria alpina",0,0,"ANAL4","Antennaria alpina (L.) Gaertn.","alpine pussytoes","Dicot","Asteraceae","Aster family","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)"
"NWT NutNet",2013-07-25,1,1,0,0,0,"C","ANSE4","Androsace septentrionalis",0,0,"ANSE4","Androsace septentrionalis L.","pygmyflower rockjasmine","Dicot","Primulaceae","Primrose family","Annual, Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)"
