"Block","Plot","N","P","K+","FullTreatment","Group","ANPP_g"
1,1,0,0,0,"C","Forb",8.432
1,1,0,0,0,"C","Grass",6.937
1,1,0,0,0,"C","Legume",0
1,1,0,0,0,"C","Total",15.369
1,2,0,0,1,"K","Forb",2.083
1,2,0,0,1,"K","Grass",10.596
1,2,0,0,1,"K","Legume",0
1,2,0,0,1,"K","Total",12.679
1,3,0,1,0,"P","Forb",8.303
1,3,0,1,0,"P","Grass",8.075
1,3,0,1,0,"P","Legume",0
1,3,0,1,0,"P","Total",16.378
1,4,1,0,0,"N","Forb",9.681
1,4,1,0,0,"N","Grass",15.827
1,4,1,0,0,"N","Legume",0
1,4,1,0,0,"N","Total",25.508
1,5,0,1,1,"P+K","Forb",11.923
1,5,0,1,1,"P+K","Grass",3.712
1,5,0,1,1,"P+K","Legume",0.841
1,5,0,1,1,"P+K","Total",16.476
1,6,1,0,1,"N+K","Forb",13.75
1,6,1,0,1,"N+K","Grass",6.428
1,6,1,0,1,"N+K","Legume",0
1,6,1,0,1,"N+K","Total",20.178
1,7,1,1,0,"N+P","Forb",21.359
1,7,1,1,0,"N+P","Grass",21.041
1,7,1,1,0,"N+P","Legume",0
1,7,1,1,0,"N+P","Total",42.4
1,8,1,1,1,"N+P+K","Forb",12.642
1,8,1,1,1,"N+P+K","Grass",20.329
1,8,1,1,1,"N+P+K","Legume",0
1,8,1,1,1,"N+P+K","Total",32.971
1,9,0,0,0,"C","Forb",7.183
1,9,0,0,0,"C","Grass",10.221
1,9,0,0,0,"C","Legume",0.153
1,9,0,0,0,"C","Total",17.557
1,10,1,1,1,"N+P+K","Forb",11.298
1,10,1,1,1,"N+P+K","Grass",15.914
1,10,1,1,1,"N+P+K","Legume",0
1,10,1,1,1,"N+P+K","Total",27.212
2,1,0,0,0,"C","Forb",4.03
2,1,0,0,0,"C","Grass",8.426
2,1,0,0,0,"C","Legume",0
2,1,0,0,0,"C","Total",12.456
2,2,0,0,1,"K","Forb",12.785
2,2,0,0,1,"K","Grass",7.96
2,2,0,0,1,"K","Legume",0
2,2,0,0,1,"K","Total",20.745
2,3,0,1,0,"P","Forb",6.382
2,3,0,1,0,"P","Grass",5.918
2,3,0,1,0,"P","Legume",0
2,3,0,1,0,"P","Total",12.3
2,4,1,0,0,"N","Forb",9.341
2,4,1,0,0,"N","Grass",14.205
2,4,1,0,0,"N","Legume",0
2,4,1,0,0,"N","Total",23.546
2,5,0,1,1,"P+K","Forb",8.566
2,5,0,1,1,"P+K","Grass",7.736
2,5,0,1,1,"P+K","Legume",0
2,5,0,1,1,"P+K","Total",16.302
2,6,1,0,1,"N+K","Forb",8.631
2,6,1,0,1,"N+K","Grass",10.11
2,6,1,0,1,"N+K","Legume",0
2,6,1,0,1,"N+K","Total",18.741
2,7,1,1,0,"N+P","Forb",3.968
2,7,1,1,0,"N+P","Grass",30.991
2,7,1,1,0,"N+P","Legume",0
2,7,1,1,0,"N+P","Total",34.959
2,8,1,1,1,"N+P+K","Forb",17.572
2,8,1,1,1,"N+P+K","Grass",17.028
2,8,1,1,1,"N+P+K","Legume",0
2,8,1,1,1,"N+P+K","Total",34.6
2,9,0,0,0,"C","Forb",4.411
2,9,0,0,0,"C","Grass",16.702
2,9,0,0,0,"C","Legume",0
2,9,0,0,0,"C","Total",21.113
2,10,1,1,1,"N+P+K","Forb",10.134
2,10,1,1,1,"N+P+K","Grass",18.507
2,10,1,1,1,"N+P+K","Legume",0
2,10,1,1,1,"N+P+K","Total",28.641
3,1,0,0,0,"C","Forb",2.37
3,1,0,0,0,"C","Grass",4.496
3,1,0,0,0,"C","Legume",0
3,1,0,0,0,"C","Total",6.866
3,2,0,0,1,"K","Forb",3.295
3,2,0,0,1,"K","Grass",7.611
3,2,0,0,1,"K","Legume",0
3,2,0,0,1,"K","Total",10.906
3,3,0,1,0,"P","Forb",3.038
3,3,0,1,0,"P","Grass",7.38
3,3,0,1,0,"P","Legume",0
3,3,0,1,0,"P","Total",10.418
3,4,1,0,0,"N","Forb",3.145
3,4,1,0,0,"N","Grass",15.075
3,4,1,0,0,"N","Legume",0
3,4,1,0,0,"N","Total",18.22
3,5,0,1,1,"P+K","Forb",7.976
3,5,0,1,1,"P+K","Grass",10.759
3,5,0,1,1,"P+K","Legume",0
3,5,0,1,1,"P+K","Total",18.735
3,6,1,0,1,"N+K","Forb",3.582
3,6,1,0,1,"N+K","Grass",11.229
3,6,1,0,1,"N+K","Legume",0
3,6,1,0,1,"N+K","Total",14.811
3,7,1,1,0,"N+P","Forb",12.345
3,7,1,1,0,"N+P","Grass",14.791
3,7,1,1,0,"N+P","Legume",0
3,7,1,1,0,"N+P","Total",27.136
3,8,1,1,1,"N+P+K","Forb",11.772
3,8,1,1,1,"N+P+K","Grass",10.318
3,8,1,1,1,"N+P+K","Legume",0
3,8,1,1,1,"N+P+K","Total",22.09
3,9,0,0,0,"C","Forb",4.244
3,9,0,0,0,"C","Grass",6.753
3,9,0,0,0,"C","Legume",0
3,9,0,0,0,"C","Total",10.997
3,10,1,1,1,"N+P+K","Forb",9.753
3,10,1,1,1,"N+P+K","Grass",20.515
3,10,1,1,1,"N+P+K","Legume",0
3,10,1,1,1,"N+P+K","Total",30.268
4,1,0,0,0,"C","Forb",6.892
4,1,0,0,0,"C","Grass",5.511
4,1,0,0,0,"C","Legume",0
4,1,0,0,0,"C","Total",12.403
4,2,0,0,1,"K","Forb",5.183
4,2,0,0,1,"K","Grass",6.757
4,2,0,0,1,"K","Legume",2.267
4,2,0,0,1,"K","Total",14.207
4,3,0,1,0,"P","Forb",10.522
4,3,0,1,0,"P","Grass",6.826
4,3,0,1,0,"P","Legume",0
4,3,0,1,0,"P","Total",17.348
4,4,1,0,0,"N","Forb",5.12
4,4,1,0,0,"N","Grass",11.577
4,4,1,0,0,"N","Legume",0
4,4,1,0,0,"N","Total",16.697
4,5,0,1,1,"P+K","Forb",2.524
4,5,0,1,1,"P+K","Grass",9.37
4,5,0,1,1,"P+K","Legume",0.501
4,5,0,1,1,"P+K","Total",12.395
4,6,1,0,1,"N+K","Forb",11.48
4,6,1,0,1,"N+K","Grass",6.82
4,6,1,0,1,"N+K","Legume",0
4,6,1,0,1,"N+K","Total",18.3
4,7,1,1,0,"N+P","Forb",13.136
4,7,1,1,0,"N+P","Grass",18.155
4,7,1,1,0,"N+P","Legume",0
4,7,1,1,0,"N+P","Total",31.291
4,8,1,1,1,"N+P+K","Forb",18.92
4,8,1,1,1,"N+P+K","Grass",37.53
4,8,1,1,1,"N+P+K","Legume",0
