"Block","Plot","N","P","K+","FullTreatment","Code","Name","Group","Hits","Present","USDA_Symbol","Scientific_Name","Common_Name","Category","Family","Family_Common_Name","Duration","Growth_Habit","Native_Status"
1,1,0,0,0,"C","2BARE","Bare ground","Ground cover",12,1,"2BARE",NA,"Bare Ground",NA,NA,NA,NA,NA,NA
1,1,0,0,0,"C","2LICHN","Lichen","Ground cover",0,0,"2LICHN",NA,"Lichen",NA,NA,NA,NA,NA,NA
1,1,0,0,0,"C","2LTR","Litter","Ground cover",9,1,"2LTR",NA,"Litter",NA,NA,NA,NA,NA,NA
1,1,0,0,0,"C","2MOSS","Moss","Ground cover",0,0,"2MOSS",NA,"Moss",NA,NA,NA,NA,NA,NA
1,1,0,0,0,"C","2RF","Rock fragment","Ground cover",0,0,"2RF",NA,"Rock, fragments",NA,NA,NA,NA,NA,NA
1,1,0,0,0,"C","2WOOD","Downed wood","Ground cover",0,0,"2LTRWS",NA,"Litter, woody, <2.5 cm",NA,NA,NA,NA,NA,NA
1,1,0,0,0,"C","ACMIA","Achillea millefolium L. var alpicola","Forb",0,0,"ACMIA","Achillea millefolium L. var. alpicola (Rydb.) Garrett","common yarrow","Dicot","Asteraceae","Aster family","Perennial","Forb/herb","L48 (N), AK (N)"
1,1,0,0,0,"C","ALGE","Allium geyeri","Forb",2,1,"ALGE","Allium geyeri S. Watson","Geyer's onion","Monocot","Liliaceae","Lily family","Perennial","Forb/herb","L48 (N), CAN (N)"
1,1,0,0,0,"C","ANAL4","Antennaria alpina","Forb",0,0,"ANAL4","Antennaria alpina (L.) Gaertn.","alpine pussytoes","Dicot","Asteraceae","Aster family","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)"
1,1,0,0,0,"C","ANSE4","Androsace septentrionalis","Forb",0,0,"ANSE4","Androsace septentrionalis L.","pygmyflower rockjasmine","Dicot","Primulaceae","Primrose family","Annual, Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N)"
1,1,0,0,0,"C","ARFEF3","Arenaria fendleri var. fendleri","Forb",1,1,"ARFEF3","Arenaria fendleri A. Gray var. fendleri","Fendler's sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb","L48 (N)"
1,1,0,0,0,"C","ARSC","Artemisia scopulorum","Forb",4,1,"ARSC","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb","L48 (N)"
1,1,0,0,0,"C","CANI2","Carex nigricans","Grass",0,0,"CANI2","Carex nigricans C.A. Mey.","black alpine sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid","L48 (N), AK (N), CAN (N)"
1,1,0,0,0,"C","CAOC4","Castilleja occidentalis","Forb",0,0,"CAOC4","Castilleja occidentalis Torr.","western Indian paintbrush","Dicot","Scrophulariaceae","Figwort family","Perennial","Subshrub, Forb/herb","L48 (N), CAN (N)"
1,1,0,0,0,"C","CAPU","Calamagrostis purpurascens","Grass",0,0,"CAPU","Calamagrostis purpurascens R. Br.","purple reedgrass","Monocot","Poaceae","Grass family","Perennial","Graminoid","L48 (N), AK (N), CAN (N), GL (N)"
1,1,0,0,0,"C","CAREX","Carex spp  unknown","Grass",0,0,"CAREX","Carex L.","sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid","L48 (N)"
1,1,0,0,0,"C","CARO2","Campanula rotundifolia","Forb",0,0,"CARO2","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb","L48 (N), AK (N), CAN (N), GL (N), SPM (N)"
1,1,0,0,0,"C","CARUD","Carex rupestris var. drummondiana","Grass",28,1,"CARUD","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid","L48 (N), AK (N), CAN (N)"
1,1,0,0,0,"C","CASC12","Carex scopulorum","Grass",0,0,"CASC12","Carex scopulorum T. Holm","mountain sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid","L48 (N), CAN (N)"
