"Block","Plot","N","P","K+","FullTreatment","2BARE","2LICHN","2LTR","2MOSS","2RF","2WOOD","ACMIA","ALGE","ANAL4","ANSE4","ARFEF3","ARSC","CANI2","CAOC4","CAPU","CAREX","CARO2","CARUD","CASC12","CAUN2","CEARS2","CHJA","DECE","DRAU","DRST4","ELYMUS","ERCA14","ERME2","ERNA","ERPI6","ERSI3","FEBR","FORB1","FORB2","GERO2","GRASS1","GRASS2","HEMO3","KOMY","LEPY2","LLSE","LUSP4","MELA3","MIOB2","NOMOM","ORALA","PACA15","PAPU2","PEPA3","PHPU5","POAL2","POARG","POBI6","PODI2","POPU3","POVI","POVI3","PRAN","SARH2","SEDES","SELA","SIACS2","SOSIN","TEAC","TEGR3","TOPY","TRPAP","TRSP2","VIOLET"
1,1,0,0,0,"C",12,0,9,0,0,0,0,2,0,0,1,4,0,0,0,0,0,28,0,5,0,0.25,2,0,0,0,0,0,1,0,0.25,4,1,0,17,0,0,0,18,0,9,0,0,8,0,6,0,0,2,0.25,3,0,1,0,0,0,0,0,0,8,1,4,1,1,4,0,0.25,0,1
1,2,0,0,1,"K",5,2,7,0,0,0,2,0.25,0.25,0,3,0,0,0,0.25,0,0,4,0,8,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,66,0,5,0,1,6,0,21,0,0,0,5,1,0,1,0,0,0,2,0.25,1,6,0.25,0,0.25,4,0,0,0,0,1
1,3,0,1,0,"P",3,0,10,3,0,0,0,0.25,2,0,0.25,18,0,0,1,0,4,12,2,1,1,7,0.25,0,0,0,0,0,0,0,0,4,0,0,25,0,0,0,5,1,3,0,0,8,0,0.25,0,0,0,2,0,0.25,2,1,0,0,5,0,0,15,3,0,0,0,3,0,0,3,0.25
1,4,1,0,0,"N",1,0,2,0,0,0,0,8,1,0,6,7,0,0.25,2,0,3,12,8,4,1,0,2,0,0,0,0,0.25,1,0,0,3,0,0,10,0,0,0,26,0.25,7,9,4,9,0,14,0,0,0,9,0,0.25,3,5,0,0,3,0.25,0.25,10,7,3,0,0,9,0,0,4,0
1,5,0,1,1,"P+K",1,0,14,0,0,0,0,8,0.25,0,7,4,0,0,0,2,4,14,0,3,0.25,2,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,35,3,2,0.25,0.25,11,0,2,0,0,0.25,3,0,3,1,0,0,0,3,0.25,1,9,5,0,5,0,1,0,12,2,0
1,6,1,0,1,"N+K",0,0,1,0,0,0,0,0,0,0,4,0,0,0.25,0,0,0,40,0,12,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,53,0.25,9,0,2,3,0,13,0,0,4,5,0,2,2,0.25,0,0,2,0.25,1,2,2,9,0,2,3,0,0,1,1
1,7,1,1,0,"N+P",0,0,0,0,0,0,0,10,0,0,15,0,0,0,0.25,0,2,25,1,8,15,0,1,0,0,0.25,2,0,0,0,3,4,0,0,2,0,0,0,38,0,8,0,4,5,0,22,0,0,5,2,5,5,3,10,2,0,0,2,0,1,3,3,4,1,10,0,0,11,5
1,8,1,1,1,"N+P+K",0,0,0,0,0,0,0,11,0,0,5,1,0,0,1,0,0,13,18,18,0,0,5,0,1,0,0,0,0,0,1,3,0,1,15,1,0,4,68,0,3,0,10,2,0,28,0,0,0,2,3,0,2,4,0,0,0.25,0,0,0,0,0,1,0,4,0,0,8,1
1,9,0,0,0,"C",1,4,1,0,4,0,0,7,0,0,1,5,0,0,0,0,0,34,14,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,25,0,0,0,16,0,0,0,2,11,0,13,0,0,1,6,0,4,1,13,8,0,9,0,0,7,0.25,5,0,6,4,0,9,0,1
1,10,1,1,1,"N+P+K",0.25,0,2,0,0,0,0,11,0.25,12,0,6,0,0,0,4,5,36,0,0.25,7,0,3,0,0,0,1,2,0.25,2,0,15,0,0,7,0,0,0,5,0,3,1,6,16,0,7,0,3,0,17,0,4,2,6,0,13,0.25,1,0.25,4,3,7,3,6,6,0,0,3,1
