site,yr,date,plotid,block,plot,n,p,k,trt,point,hit,clean_code2,simple_name,Common_Name,Category,Family,Growth_Habit,fxnl_grp,nutnet_grp
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,1,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,2,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,3,1,ORALA,Oreoxis alpina,alpine oreoxis,Dicot,Apiaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,4,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,4,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,5,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,5,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,6,1,ALGE,Allium geyeri,Geyer's onion,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,6,2,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,7,1,TEGR3,Tetraneuris grandiflora,graylocks four-nerve daisy,Dicot,Asteraceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,8,1,CARO2,Campanula rotundifolia,bluebell bellflower,Dicot,Campanulaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,9,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,10,1,ERSI3,Erigeron simplex,onestem fleabane,Dicot,Asteraceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,11,1,POTEN,Potentilla sp.,cinquefoil,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,11,2,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,12,1,CARO2,Campanula rotundifolia,bluebell bellflower,Dicot,Campanulaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,13,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,14,1,POBI6,Polygonum bistortoides,American bistort,Dicot,Polygonaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,15,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,15,2,CARO2,Campanula rotundifolia,bluebell bellflower,Dicot,Campanulaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,16,1,SELA,Sedum lanceolatum,spearleaf stonecrop,Dicot,Crassulaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,17,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,18,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,19,1,ORALA,Oreoxis alpina,alpine oreoxis,Dicot,Apiaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,19,2,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,20,1,TEGR3,Tetraneuris grandiflora,graylocks four-nerve daisy,Dicot,Asteraceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,21,1,FEBR,Festuca brachyphylla,alpine fescue,Monocot,Poaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,21,2,MELA3,Mertensia lanceolata,prairie bluebells,Dicot,Boraginaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,22,1,MELA3,Mertensia lanceolata,prairie bluebells,Dicot,Boraginaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,22,2,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,23,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,24,1,SEDES,Selaginella densa,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Forb/herb,Forb,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,25,1,ARFEF3,Arenaria fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,26,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,27,1,MIOB2,Minuartia obtusiloba,twinflower sandwort,Dicot,Caryophyllaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,27,2,TRSP2,Trisetum spicatum,spike trisetum,Monocot,Poaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,28,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,29,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,30,1,SEDES,Selaginella densa,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Forb/herb,Forb,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,31,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,31,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,32,1,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,33,1,CHJA,Chionophila jamesii,Rocky Mountain snowlover,Dicot,Scrophulariaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,34,1,ARFEF3,Arenaria fendleri,Fendler's sandwort,Dicot,Caryophyllaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,35,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,36,1,FEBR,Festuca brachyphylla,alpine fescue,Monocot,Poaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,37,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,38,1,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,39,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,40,1,ORALA,Oreoxis alpina,alpine oreoxis,Dicot,Apiaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,41,1,POBI6,Polygonum bistortoides,American bistort,Dicot,Polygonaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,41,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,42,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,42,2,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,43,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,43,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,44,1,CAUN2,Campanula uniflora,arctic bellflower,Dicot,Campanulaceae,"Subshrub, Forb/herb",Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,44,2,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,45,1,SEDES,Selaginella densa,Rocky Mountain spikemoss,Lycopod,Selaginellaceae,Forb/herb,Forb,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,46,1,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,46,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,47,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,48,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,49,1,2BARE,Bare Ground,Bare Ground,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,50,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,51,1,2LTR,Litter,Litter,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,52,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,52,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,53,1,2LICHN,Lichen,Lichen,NA,NA,NA,Ground cover,Ground cover
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,54,1,PHPU5,Phlox pulvinata,cushion phlox,Dicot,Polemoniaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,54,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,55,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,55,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,56,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,57,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,58,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,59,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
nutnet,2017,2017-07-07,B1_1,B1,1,0,0,0,C,60,1,CHJA,Chionophila jamesii,Rocky Mountain snowlover,Dicot,Scrophulariaceae,Forb/herb,Forb,Forb
