site,plotid,block,plot,n,p,k,trt
nutnet,B1_1,B1,1,0,0,0,C
nutnet,B1_2,B1,2,0,0,1,K
nutnet,B1_3,B1,3,0,1,0,P
nutnet,B1_4,B1,4,1,0,0,N
nutnet,B1_5,B1,5,0,1,1,P+K
nutnet,B1_6,B1,6,1,0,1,N+K
nutnet,B1_7,B1,7,1,1,0,N+P
nutnet,B1_8,B1,8,1,1,1,N+P+K
nutnet,B1_9,B1,9,0,0,0,C
nutnet,B1_10,B1,10,1,1,1,N+P+K
nutnet,B2_1,B2,1,0,0,0,C
nutnet,B2_2,B2,2,0,0,1,K
nutnet,B2_3,B2,3,0,1,0,P
nutnet,B2_4,B2,4,1,0,0,N
nutnet,B2_5,B2,5,0,1,1,P+K
nutnet,B2_6,B2,6,1,0,1,N+K
nutnet,B2_7,B2,7,1,1,0,N+P
nutnet,B2_8,B2,8,1,1,1,N+P+K
nutnet,B2_9,B2,9,0,0,0,C
nutnet,B2_10,B2,10,1,1,1,N+P+K
nutnet,B3_1,B3,1,0,0,0,C
nutnet,B3_2,B3,2,0,0,1,K
nutnet,B3_3,B3,3,0,1,0,P
nutnet,B3_4,B3,4,1,0,0,N
nutnet,B3_5,B3,5,0,1,1,P+K
nutnet,B3_6,B3,6,1,0,1,N+K
nutnet,B3_7,B3,7,1,1,0,N+P
nutnet,B3_8,B3,8,1,1,1,N+P+K
nutnet,B3_9,B3,9,0,0,0,C
nutnet,B3_10,B3,10,1,1,1,N+P+K
nutnet,B4_1,B4,1,0,0,0,C
nutnet,B4_2,B4,2,0,0,1,K
nutnet,B4_3,B4,3,0,1,0,P
nutnet,B4_4,B4,4,1,0,0,N
nutnet,B4_5,B4,5,0,1,1,P+K
nutnet,B4_6,B4,6,1,0,1,N+K
nutnet,B4_7,B4,7,1,1,0,N+P
nutnet,B4_8,B4,8,1,1,1,N+P+K
nutnet,B4_9,B4,9,0,0,0,C
nutnet,B4_10,B4,10,1,1,1,N+P+K
