site,yr,plot,snow,snow_notes,meadow,trt,point,hit,clean_code2,simple_name,Common_Name,Category,Family,Growth_Habit,fxnl_grp,nutnet_grp
SDL,2016,1,no snow,never affected,dry,C,1,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,2,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,3,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,3,2,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,4,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,5,1,ORALA,Oreoxis alpina,alpine oreoxis,Dicot,Apiaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,6,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,7,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,7,2,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,8,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,9,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,10,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,10,2,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,11,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,12,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,13,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,13,2,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,14,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,15,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,16,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,16,2,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,17,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,18,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,19,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,19,2,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,20,1,KOMY,Kobresia myosuroides,Bellardi bog sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,21,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,22,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,22,2,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,23,1,ORALA,Oreoxis alpina,alpine oreoxis,Dicot,Apiaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,24,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,25,1,CARUD,Carex rupestris,Drummond's sedge,Monocot,Cyperaceae,Graminoid,Grass,Grass
SDL,2016,1,no snow,never affected,dry,C,26,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,27,1,TEACC,Tetraneuris acaulis,caespitose four-nerve daisy,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,28,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,29,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,29,2,ARSC,Artemisia scopulorum,alpine sagebrush,Dicot,Asteraceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,30,1,GERO2,Geum rossii,Ross' avens,Dicot,Rosaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,31,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,32,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,33,1,CARO2,Campanula rotundifolia,bluebell bellflower,Dicot,Campanulaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,34,1,LLSE,Lloydia serotina,common alplily,Monocot,Liliaceae,Forb/herb,Forb,Forb
SDL,2016,1,no snow,never affected,dry,C,35,1,TRDA2,Trifolium dasyphyllum,alpine clover,Dicot,Fabaceae,Forb/herb,Forb,Forb
