plot_2003,trt,plot,jgs_plot,plot_num2,plot_num3,plot_num4,meadow,snow
99,N,8,"099, 493 (NN)",493,NA,NA,dry,no snow
261,N+P,12,"261, 498 (NP)",498,NA,NA,dry,no snow
262,N,5,"262, 488 (NN)",488,NA,NA,dry,no snow
264,N,24,"264, 452 (NN)",452,NA,NA,mesic,no snow
266,C,20,"266, 445 (CC)",445,NA,NA,mesic,no snow
267,C,19,"267, 444 (CC)",444,NA,NA,mesic,no snow
269,N,NA,NA,NA,NA,NA,NA,NA
270,P,45,NA,NA,NA,NA,snowbed,snow
272,N+P,44,NA,NA,NA,NA,snowbed,snow
274,N+P,42,NA,NA,NA,NA,snowbed,snow
275,P,46,NA,NA,NA,NA,snowbed,snow
276,P,48,NA,NA,NA,NA,snowbed,snow
277,P,47,NA,NA,NA,NA,snowbed,snow
278,N,39,NA,NA,NA,NA,snowbed,snow
279,N,23,279 (NN),NA,NA,NA,mesic,no snow
280,P,31,"280, 449 (PP)",449,NA,NA,mesic,no snow
281,N+P,26,"281, 439 (NP)",439,NA,NA,mesic,no snow
283,P,30,"283, 441 (PP)",441,NA,NA,mesic,no snow
287,P,14,"287, 491 (PP)",491,NA,NA,dry,no snow
289,P,15,"289, 500 (PP)",500,NA,NA,dry,no snow
290,N+P,10,"290, 495 (NP)",495,NA,NA,dry,no snow
292,N,7,"292, 486 (NN)",486,NA,NA,dry,no snow
293,N+P,28,"293, 404, 210, 220 (NP)",404,210,220,mesic,no snow
294,N,21,"294, 440 (NN)",440,NA,NA,mesic,no snow
295,N,22,"295, 448 (NN)",448,NA,NA,mesic,no snow
296,P,16,"296, 485 (PP)",485,NA,NA,dry,no snow
297,N,38,NA,NA,NA,NA,snowbed,snow
298,N+P,25,"298, 442 (NP)",442,NA,NA,mesic,no snow
299,N,40,NA,NA,NA,NA,snowbed,snow
389,C,35,NA,NA,NA,NA,snowbed,snow
392,N+P,43,NA,NA,NA,NA,snowbed,snow
393,N+P,41,NA,NA,NA,NA,snowbed,snow
394,C,34,NA,NA,NA,NA,snowbed,snow
395,C,33,NA,NA,NA,NA,snowbed,snow
396,C,36,NA,NA,NA,NA,snowbed,snow
400,P,61,"400, 467 (PP)",467,NA,NA,dry,snow
403,N+P,27,"403, 450 (NP)",450,NA,NA,mesic,no snow
406,P,32,"406, 451 (PP)",451,NA,NA,mesic,no snow
408,N+P,9,"408, 487 (NP)",487,NA,NA,dry,no snow
409,N,6,"409, 489 (NN)",489,NA,NA,dry,no snow
410,N+P,11,"410, 492 (NP)",492,NA,NA,dry,no snow
411,P,13,"411, 496 (PP)",496,NA,NA,dry,no snow
412,P,64,"412, 453 (PP)",453,NA,NA,dry,snow
413,N,56,"413, 455 (NN)",455,NA,NA,dry,snow
414,P,63,"414, 463, 399 (PP)",463,399,NA,dry,snow
415,N,54,"415, 464 (NN)",464,NA,NA,dry,snow
416,P,62,"416, 462 (PP)",462,NA,NA,dry,snow
417,N,53,"417, 863, 465 (NN)",863,465,NA,dry,snow
418,P,78,"418, 482 (PP)",482,NA,NA,mesic,snow
419,N,71,"419, 483 (NN)",483,NA,NA,mesic,snow
420,P,77,"420, 478 (PP)",478,NA,NA,mesic,snow
435,P,29.5,"397, 435, 438 (PP)",435,438,NA,mesic,no snow
436,C,18,"268, 436, 437 (CC)",436,437,NA,mesic,no snow
709,C,3,"709, 494 (CC)",494,NA,NA,dry,no snow
710,C,1,"710, 490 (CC)",490,NA,NA,dry,no snow
711,C,4,"711, 499 (CC)",499,NA,NA,dry,no snow
712,C,2,"712, 497 (CC)",497,NA,NA,dry,no snow
864,N,55,"864, 472 (NN)",472,NA,NA,dry,snow
866,N+P,59,"866, 456 (NP)",456,NA,NA,dry,snow
868,N+P,57,"868, 466 (NP)",466,NA,NA,dry,snow
869,N+P,60,"869, 454 (NP)",454,NA,NA,dry,snow
870,C,17,"870, 230 (CC)",230,NA,NA,mesic,no snow
871,N+P,75,871 (NP),NA,NA,NA,mesic,snow
872,P,79,"872, 480 (PP)",480,NA,NA,mesic,snow
873,N+P,74,"873, 481 (NP)",481,NA,NA,mesic,snow
875,N,NA,875 (NN),NA,NA,NA,NA,NA
877,N+P,73,"877, 471 (NP)",471,NA,NA,mesic,snow
880,N,72,"880, 470 (NN)",470,NA,NA,mesic,snow
881,P,80,"881, 469 (PP)",469,NA,NA,mesic,snow
882,C,67,"882, 475 (CC)",475,NA,NA,mesic,snow
883,C,66,"883, 474 (CC)",474,NA,NA,mesic,snow
884,N,70,"884, 484 (NN)",484,NA,NA,mesic,snow
885,C,65,"885, 476 (CC)",476,NA,NA,mesic,snow
886,N+P,76,"886, 468 (NP)",468,NA,NA,mesic,snow
887,C,68,"887, 473 (CC)",473,NA,NA,mesic,snow
888,C,49,"888, 458 (CC)",458,NA,NA,dry,snow
889,C,50,"889, 459 (CC)",459,NA,NA,dry,snow
890,C,51,"890, 460 (CC)",460,NA,NA,dry,snow
891,C,52,"891, 457 (CC)",457,NA,NA,dry,snow
894,N+P,58,"894, 461 (NP)",461,NA,NA,dry,snow
