site,surveydate,plot,jgs_plot,trt,meadow,snow,clean_code2,hits
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,2LTR,1
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,2RF,0.25
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,ALGE,11
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,ARSC,1
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,CARO2,1
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,CARUD,11
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,CASC12,1
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,FEBR,1
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,GERO2,11
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,KOMY,21
sdl,2005-06-27,1,"710, 490 (CC)",C,dry,no snow,LLSE,0.25
sdl,2005-06-27,1,"710, 490 (CC)",C,dry,no snow,NOFEG,0.25
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,ORALA,0.25
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,POBI6,1
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,POVI3,5
sdl,2005-06-27,1,"710, 490 (CC)",C,dry,no snow,SENEC,0.25
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,TEGR3,2
sdl,2005-07-21,1,"710, 490 (CC)",C,dry,no snow,TRDA2,18
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,2LTR,4
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,ALGE,6
sdl,2005-06-30,2,"712, 497 (CC)",C,dry,no snow,ARSC,0.25
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,CARO2,3
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,CARUD,2
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,CEARS2,1
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,ELYMU,2
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,ERSI3,1
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,FESTU,5
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,GERO2,14
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,KOMY,3
sdl,2005-06-30,2,"712, 497 (CC)",C,dry,no snow,LLSE,0.25
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,MELA3,1
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,ORALA,13
sdl,2005-06-30,2,"712, 497 (CC)",C,dry,no snow,PHPU5,0.25
sdl,2005-07-22,2,"712, 497 (CC)",C,dry,no snow,TRDA2,30
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,2LICHN,4
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,2LTR,5
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,2RF,2
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,ALGE,2
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,CAPU,7
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,CARO2,3
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,CARUD,3
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,CEARS2,1
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,DECE,1
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,ELYMU,1
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,FESTU,1
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,GERO2,10
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,KOMY,15
sdl,2005-06-27,3,"709, 494 (CC)",C,dry,no snow,MELA3,0.25
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,MIOB2,2
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,ORALA,3
sdl,2005-06-27,3,"709, 494 (CC)",C,dry,no snow,PHPU5,0.25
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,POBI6,3
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,PODI2,1
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,POGL,2
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,POVI,1
sdl,2005-07-22,3,"709, 494 (CC)",C,dry,no snow,TEACC,1
sdl,2005-06-27,3,"709, 494 (CC)",C,dry,no snow,TEGR3,0.25
sdl,2005-06-27,3,"709, 494 (CC)",C,dry,no snow,TRDA2,0.25
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,2LICHN,5
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,2LTR,3
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,2RF,4
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,ALGE,1
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,ARSC,2
sdl,2005-06-27,4,"711, 499 (CC)",C,dry,no snow,CAOC4,0.25
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,CARUD,3
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,ERPI6,1
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,GERO2,4
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,KOMY,20
sdl,2005-06-27,4,"711, 499 (CC)",C,dry,no snow,LLSE,0.25
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,ORALA,7
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,PHPU5,1
sdl,2005-06-27,4,"711, 499 (CC)",C,dry,no snow,POBI6,0.25
sdl,2005-07-22,4,"711, 499 (CC)",C,dry,no snow,TRDA2,27
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,2LTR,10
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,ARFEF3,0.25
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,ARSC,6
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,CAPU,5
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,CARO2,1
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,FEBR,14
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,FESTU,3
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,GERO2,8
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,KOMY,2
sdl,2005-06-27,5,"262, 488 (NN)",N,dry,no snow,LLSE,0.25
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,MIOB2,3
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,NOFEG,0.25
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,ORALA,3
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,POBI6,1
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,POGL,0.25
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,POVI3,7
sdl,2005-07-19,5,"262, 488 (NN)",N,dry,no snow,SIACS2,1
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,2LTR,6
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,ALGE,3
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,ARSC,3
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,CAPU,3
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,CARO2,0.25
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,CARUD,9
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,DECE,1
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,GERO2,7
sdl,2005-07-19,6,"409, 489 (NN)",N,dry,no snow,KOMY,16
