site,yr,date,plotid,clean_code2,hits
nutnet,2013,2013-07-25,B1_1,2BARE,12
nutnet,2013,2013-07-25,B1_1,2FORB,1
nutnet,2013,2013-07-25,B1_1,2LTR,9
nutnet,2013,2013-07-25,B1_1,ALGE,2
nutnet,2013,2013-07-25,B1_1,ARFEF3,1
nutnet,2013,2013-07-25,B1_1,ARSC,4
nutnet,2013,2013-07-25,B1_1,CARUD,28
nutnet,2013,2013-07-25,B1_1,CAUN2,5
nutnet,2013,2013-07-25,B1_1,CHJA,0.25
nutnet,2013,2013-07-25,B1_1,DECE,2
nutnet,2013,2013-07-25,B1_1,ERNA,1
nutnet,2013,2013-07-25,B1_1,ERSI3,0.25
nutnet,2013,2013-07-25,B1_1,FEBR,4
nutnet,2013,2013-07-25,B1_1,GERO2,17
nutnet,2013,2013-07-25,B1_1,KOMY,18
nutnet,2013,2013-07-25,B1_1,LLSE,9
nutnet,2013,2013-07-25,B1_1,MIOB2,8
nutnet,2013,2013-07-25,B1_1,ORALA,6
nutnet,2013,2013-07-25,B1_1,PEPA3,2
nutnet,2013,2013-07-25,B1_1,PHPU5,0.25
nutnet,2013,2013-07-25,B1_1,POAL2,3
nutnet,2013,2013-07-25,B1_1,POBI6,1
nutnet,2013,2013-07-25,B1_1,SEDES,8
nutnet,2013,2013-07-25,B1_1,SELA,1
nutnet,2013,2013-07-25,B1_1,SIACS2,4
nutnet,2013,2013-07-25,B1_1,SOSIN,1
nutnet,2013,2013-07-25,B1_1,TEACC,1
nutnet,2013,2013-07-25,B1_1,TEGR3,4
nutnet,2013,2013-07-25,B1_1,TRPAP,0.25
nutnet,2013,2013-07-25,B1_1,VIOLA,1
nutnet,2013,2013-07-26,B1_2,2BARE,5
nutnet,2013,2013-07-26,B1_2,2LICHN,2
nutnet,2013,2013-07-26,B1_2,2LTR,7
nutnet,2013,2013-07-26,B1_2,ACMIA,2
nutnet,2013,2013-07-26,B1_2,ALGE,0.25
nutnet,2013,2013-07-26,B1_2,ANAL4,0.25
nutnet,2013,2013-07-26,B1_2,ARFEF3,3
nutnet,2013,2013-07-26,B1_2,CAPU,0.25
nutnet,2013,2013-07-26,B1_2,CARUD,4
nutnet,2013,2013-07-26,B1_2,CAUN2,8
nutnet,2013,2013-07-26,B1_2,CEARS2,0.25
nutnet,2013,2013-07-26,B1_2,DRST4,0.25
nutnet,2013,2013-07-26,B1_2,ERNA,0.25
nutnet,2013,2013-07-26,B1_2,KOMY,66
nutnet,2013,2013-07-26,B1_2,LLSE,5
nutnet,2013,2013-07-26,B1_2,MELA3,1
nutnet,2013,2013-07-26,B1_2,MIOB2,6
nutnet,2013,2013-07-26,B1_2,ORALA,21
nutnet,2013,2013-07-26,B1_2,PHPU5,5
nutnet,2013,2013-07-26,B1_2,POAL2,1
nutnet,2013,2013-07-26,B1_2,POBI6,1
nutnet,2013,2013-07-26,B1_2,POVI3,2
nutnet,2013,2013-07-26,B1_2,PRAN,0.25
nutnet,2013,2013-07-26,B1_2,SARH2,1
nutnet,2013,2013-07-26,B1_2,SEDES,6
nutnet,2013,2013-07-26,B1_2,SELA,0.25
nutnet,2013,2013-07-26,B1_2,SOSIN,0.25
nutnet,2013,2013-07-26,B1_2,TEACC,4
nutnet,2013,2013-07-26,B1_2,VIOLA,1
nutnet,2013,2013-07-25,B1_3,2BARE,3
nutnet,2013,2013-07-25,B1_3,2LTR,10
nutnet,2013,2013-07-25,B1_3,2MOSS,3
nutnet,2013,2013-07-25,B1_3,ALGE,0.25
nutnet,2013,2013-07-25,B1_3,ANAL4,2
nutnet,2013,2013-07-25,B1_3,ARFEF3,0.25
nutnet,2013,2013-07-25,B1_3,ARSC,18
nutnet,2013,2013-07-25,B1_3,CAPU,1
nutnet,2013,2013-07-25,B1_3,CARO2,4
nutnet,2013,2013-07-25,B1_3,CARUD,12
nutnet,2013,2013-07-25,B1_3,CASC12,2
nutnet,2013,2013-07-25,B1_3,CAUN2,1
nutnet,2013,2013-07-25,B1_3,CEARS2,1
nutnet,2013,2013-07-25,B1_3,CHJA,7
nutnet,2013,2013-07-25,B1_3,DECE,0.25
nutnet,2013,2013-07-25,B1_3,FEBR,4
nutnet,2013,2013-07-25,B1_3,GERO2,25
nutnet,2013,2013-07-25,B1_3,KOMY,5
nutnet,2013,2013-07-25,B1_3,LEPY2,1
nutnet,2013,2013-07-25,B1_3,LLSE,3
nutnet,2013,2013-07-25,B1_3,MIOB2,8
nutnet,2013,2013-07-25,B1_3,ORALA,0.25
nutnet,2013,2013-07-25,B1_3,PHPU5,2
nutnet,2013,2013-07-25,B1_3,POARG,0.25
nutnet,2013,2013-07-25,B1_3,POBI6,2
nutnet,2013,2013-07-25,B1_3,PODI2,1
nutnet,2013,2013-07-25,B1_3,POVI3,5
nutnet,2013,2013-07-25,B1_3,SEDES,15
nutnet,2013,2013-07-25,B1_3,SELA,3
nutnet,2013,2013-07-25,B1_3,TEGR3,3
nutnet,2013,2013-07-25,B1_3,TRSP2,3
nutnet,2013,2013-07-25,B1_3,VIOLA,0.25
nutnet,2013,2013-07-26,B1_4,2BARE,1
nutnet,2013,2013-07-26,B1_4,2LTR,2
nutnet,2013,2013-07-26,B1_4,ALGE,8
nutnet,2013,2013-07-26,B1_4,ANAL4,1
nutnet,2013,2013-07-26,B1_4,ARFEF3,6
nutnet,2013,2013-07-26,B1_4,ARSC,7
nutnet,2013,2013-07-26,B1_4,CAOC4,0.25
nutnet,2013,2013-07-26,B1_4,CAPU,2
nutnet,2013,2013-07-26,B1_4,CARO2,3
nutnet,2013,2013-07-26,B1_4,CARUD,12
nutnet,2013,2013-07-26,B1_4,CASC12,8
nutnet,2013,2013-07-26,B1_4,CAUN2,4
nutnet,2013,2013-07-26,B1_4,CEARS2,1
nutnet,2013,2013-07-26,B1_4,DECE,2
nutnet,2013,2013-07-26,B1_4,ERME2,0.25
nutnet,2013,2013-07-26,B1_4,ERNA,1
nutnet,2013,2013-07-26,B1_4,FEBR,3
nutnet,2013,2013-07-26,B1_4,GERO2,10
nutnet,2013,2013-07-26,B1_4,KOMY,26
nutnet,2013,2013-07-26,B1_4,LEPY2,0.25
nutnet,2013,2013-07-26,B1_4,LLSE,7
nutnet,2013,2013-07-26,B1_4,LUSP4,9
nutnet,2013,2013-07-26,B1_4,MELA3,4
nutnet,2013,2013-07-26,B1_4,MIOB2,9
nutnet,2013,2013-07-26,B1_4,ORALA,14
nutnet,2013,2013-07-26,B1_4,PHPU5,9
nutnet,2013,2013-07-26,B1_4,POARG,0.25
nutnet,2013,2013-07-26,B1_4,POBI6,3
nutnet,2013,2013-07-26,B1_4,PODI2,5
nutnet,2013,2013-07-26,B1_4,POVI3,3
nutnet,2013,2013-07-26,B1_4,PRAN,0.25
nutnet,2013,2013-07-26,B1_4,SARH2,0.25
nutnet,2013,2013-07-26,B1_4,SEDES,10
nutnet,2013,2013-07-26,B1_4,SELA,7
nutnet,2013,2013-07-26,B1_4,SIACS2,3
nutnet,2013,2013-07-26,B1_4,TEGR3,9
nutnet,2013,2013-07-26,B1_4,TRSP2,4
nutnet,2013,2013-07-26,B1_5,2BARE,1
nutnet,2013,2013-07-26,B1_5,2LTR,14
nutnet,2013,2013-07-26,B1_5,ALGE,8
nutnet,2013,2013-07-26,B1_5,ANAL4,0.25
nutnet,2013,2013-07-26,B1_5,ARFEF3,7
nutnet,2013,2013-07-26,B1_5,ARSC,4
nutnet,2013,2013-07-26,B1_5,CAREX,2
nutnet,2013,2013-07-26,B1_5,CARO2,4
nutnet,2013,2013-07-26,B1_5,CARUD,14
nutnet,2013,2013-07-26,B1_5,CAUN2,3
nutnet,2013,2013-07-26,B1_5,CEARS2,0.25
nutnet,2013,2013-07-26,B1_5,CHJA,2
nutnet,2013,2013-07-26,B1_5,DECE,1
nutnet,2013,2013-07-26,B1_5,FEBR,6
nutnet,2013,2013-07-26,B1_5,GERO2,1
nutnet,2013,2013-07-26,B1_5,KOMY,35
nutnet,2013,2013-07-26,B1_5,LEPY2,3
nutnet,2013,2013-07-26,B1_5,LLSE,2
nutnet,2013,2013-07-26,B1_5,LUSP4,0.25
nutnet,2013,2013-07-26,B1_5,MELA3,0.25
nutnet,2013,2013-07-26,B1_5,MIOB2,11
nutnet,2013,2013-07-26,B1_5,ORALA,2
nutnet,2013,2013-07-26,B1_5,PEPA3,0.25
nutnet,2013,2013-07-26,B1_5,PHPU5,3
nutnet,2013,2013-07-26,B1_5,POARG,3
nutnet,2013,2013-07-26,B1_5,POBI6,1
nutnet,2013,2013-07-26,B1_5,POVI3,3
nutnet,2013,2013-07-26,B1_5,PRAN,0.25
nutnet,2013,2013-07-26,B1_5,SARH2,1
