plot,old_plot,trt
1,710,control
2,712,control
3,709,control
4,711,control
5,262,N
6,291,N
7,292,N
8,99,N
9,263,N+P
10,290,N+P
11,300,N+P
12,261,N+P
13,285,P
14,287,P
15,289,P
16,296,P
17,NA,control
18,NA,control
19,NA,control
20,NA,control
21,NA,N
22,NA,N
23,NA,N
24,NA,N
25,NA,N+P
26,NA,N+P
27,NA,N+P
28,NA,N+P
29,NA,P
30,NA,P
31,NA,P
32,NA,P
33,NA,NA
34,NA,NA
35,NA,NA
36,NA,NA
37,NA,NA
38,NA,NA
39,NA,NA
40,NA,NA
41,NA,NA
42,NA,NA
43,NA,NA
44,NA,NA
45,NA,NA
46,NA,NA
47,NA,NA
48,NA,NA
49,NA,control
50,NA,control
51,NA,control
52,NA,control
53,NA,N
54,NA,N
55,NA,N
56,NA,N
57,NA,N+P
58,NA,N+P
59,NA,N+P
60,NA,N+P
61,NA,P
62,NA,P
63,NA,P
64,NA,P
65,NA,control
66,NA,control
67,NA,control
68,NA,control
69,NA,N
70,NA,N
71,NA,N
72,NA,N
73,NA,N+P
74,NA,N+P
75,NA,N+P
76,NA,N+P
77,NA,P
78,NA,P
79,NA,P
80,NA,P
81,NA,control
82,NA,control
83,NA,control
84,NA,control
85,NA,control
86,NA,control
NA,286,N
NA,96,P
NA,0,control
NA,0,N
NA,0,N+P
