date,plot_2003,plot,trt,meadow,snow,clean_code2,hit,test
2003-07-24T00:00:00Z,99,8,N,dry,no snow,ARSC,7,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,CAREX,1,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,CARO2,1,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,CARUD,4,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,CASC12,3,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,ERSI3,1,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,GERO2,18,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,KOMY,25,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,LLSE,11,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,MIBI9,5,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,ORALA,3,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,POAL2,6,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,POBI6,2,1
2003-07-24T00:00:00Z,99,8,N,dry,no snow,TRSP2,3,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,ARSC,7,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,CAPU,15,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,CARO2,22,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,CEARS2,2,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,ERPI6,3,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,GERO2,12,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,KOMY,8,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,LLSE,1,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,MELA3,2,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,ORALA,13,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,POBI6,2,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,POGL,7,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,SELA,1,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,TEACC,1,1
2003-07-24T00:00:00Z,261,12,N+P,dry,no snow,TRDA2,5,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,ARFEF3,2,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,ARSC,11,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,GERO2,16,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,KOMY,29,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,LLSE,2,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,LUSP4,14,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,MIBI9,2,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,ORALA,3,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,POBI6,6,1
2003-08-01T00:00:00Z,262,5,N,dry,no snow,POVI3,6,1
2003-07-29T00:00:00Z,264,24,N,mesic,no snow,ARFEF3,1,1
