"Site","Yr","Date","Plot","Meadow","Snow","SnowNotes","Trt","USDA_Symbol","Hits","SimpleName","USDA_Scientific_Name","USDA_Common_Name","USDA_Category","USDA_Family","USDA_Family_Common_Name","USDA_Duration","USDA_Growth_Habit"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","2LTR",9,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","ARSC",2,"Artemisia scopulorum","Artemisia scopulorum A. Gray","alpine sagebrush","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","CAHEE",0.25,"Carex heteroneura","Carex heteroneura W. Boott var. epapillosa (Mack.) F.J. Herm.","different-nerve sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","CARO2",0.25,"Campanula rotundifolia","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","CARUD",14,"Carex rupestris","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","DRAU",0.25,"Draba aurea","Draba aurea Vahl ex Hornem.","golden draba","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","ERNA",1,"Eritrichium nanum","Eritrichium nanum (Vill.) Schrad. ex Gaudin","arctic alpine forget-me-not","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","GERO2",10,"Geum rossii","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","KOMY",29,"Kobresia myosuroides","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","LLSE",6,"Lloydia serotina","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","MIOB2",1,"Minuartia obtusiloba","Minuartia obtusiloba (Rydb.) House","twinflower sandwort","Dicot","Caryophyllaceae","Pink family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","NOFEG",2,"Noccaea fendleri","Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch","alpine pennycress","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","ORALA",2,"Oreoxis alpina","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","PHPU5",0.25,"Phlox pulvinata","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","POBI6",1,"Polygonum bistortoides","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","POVI3",4,"Polygonum viviparum","Polygonum viviparum L.","alpine bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","SELA",1,"Sedum lanceolatum","Sedum lanceolatum Torr.","spearleaf stonecrop","Dicot","Crassulaceae","Stonecrop family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","SIACS2",0.25,"Silene acaulis","Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John","moss campion","Dicot","Caryophyllaceae","Pink family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","TEGR3",0.25,"Tetraneuris grandiflora","Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker","graylocks four-nerve daisy","Dicot","Asteraceae","Aster family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","TRDA2",15,"Trifolium dasyphyllum","Trifolium dasyphyllum Torr. & A. Gray","alpine clover","Dicot","Fabaceae","Pea family","Perennial","Forb/herb"
"sdl",1997,"1997-07-15",1,"DM","no snow","never affected","CC","VIAD",1,"Viola adunca","Viola adunca Sm.","hookedspur violet","Dicot","Violaceae","Violet family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","2BARE",1,"Bare Ground",NA,"Bare Ground",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","2LTR",9,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","CARO2",1,"Campanula rotundifolia","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","CARUD",10,"Carex rupestris","Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey","Drummond's sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","ERSI3",1,"Erigeron simplex","Erigeron simplex Greene","onestem fleabane","Dicot","Asteraceae","Aster family","Perennial","Subshrub, Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","GERO2",14,"Geum rossii","Geum rossii (R. Br.) Ser.","Ross' avens","Dicot","Rosaceae","Rose family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","KOMY",10,"Kobresia myosuroides","Kobresia myosuroides (Vill.) Fiori","Bellardi bog sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","LLSE",0.25,"Lloydia serotina","Lloydia serotina (L.) Salisb. ex Rchb.","common alplily","Monocot","Liliaceae","Lily family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","MELA3",0.25,"Mertensia lanceolata","Mertensia lanceolata (Pursh) DC.","prairie bluebells","Dicot","Boraginaceae","Borage family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","NOFEG",4,"Noccaea fendleri","Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch","alpine pennycress","Dicot","Brassicaceae","Mustard family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","ORALA",17,"Oreoxis alpina","Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina","alpine oreoxis","Dicot","Apiaceae","Carrot family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","PHPU5",1,"Phlox pulvinata","Phlox pulvinata (Wherry) Cronquist","cushion phlox","Dicot","Polemoniaceae","Phlox family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","POBI6",0.25,"Polygonum bistortoides","Polygonum bistortoides Pursh","American bistort","Dicot","Polygonaceae","Buckwheat family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","SEDES",1,"Selaginella densa","Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon","Rocky Mountain spikemoss","Lycopod","Selaginellaceae","Spike-moss family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",2,"DM","no snow","never affected","CC","TRDA2",31,"Trifolium dasyphyllum","Trifolium dasyphyllum Torr. & A. Gray","alpine clover","Dicot","Fabaceae","Pea family","Perennial","Forb/herb"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","2LICHN",4,"Lichen",NA,"Lichen",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","2LTR",10,"Litter",NA,"Litter",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","2RF",2,"Rock, fragments",NA,"Rock, fragments",NA,NA,NA,NA,NA
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","CAHEE",1,"Carex heteroneura","Carex heteroneura W. Boott var. epapillosa (Mack.) F.J. Herm.","different-nerve sedge","Monocot","Cyperaceae","Sedge family","Perennial","Graminoid"
"sdl",1997,"1997-07-16",3,"DM","no snow","never affected","CC","CARO2",3,"Campanula rotundifolia","Campanula rotundifolia L.","bluebell bellflower","Dicot","Campanulaceae","Bellflower family","Perennial","Forb/herb"
