lump_code,clean_code2,simple_name,Scientific_Name_x,easy to ID,explanation
,ACMIA,Achillea millefolium,Achillea millefolium L. var. alpicola (Rydb.) Garrett,Y,
,,,,,
,AGME3,Agrostis mertensii,Agrostis mertensii Trin.,N,"very, very tricky to ID and not very abundant - I'd probably just drop from analysis"
,,,,,
,ALGE,Allium geyeri,Allium geyeri S. Watson,Y,
,,,,,
,ANSE4,Androsace septentrionalis,Androsace septentrionalis L.,Y,
,,,,,
,ANAL4,Antennaria alpina,Antennaria alpina (L.) Gaertn.,N,"lump Antennarias - genus is easy to ID, species almost impossible to differentiate"
,,,,,
ANAL4,ANME2,Antennaria media,Antennaria media Greene,Y,
,,,,,
,ARFEF3,Arenaria fendleri,Arenaria fendleri A. Gray var. fendleri,Y,
,,,,,
,ARSC,Artemisia scopulorum,Artemisia scopulorum A. Gray,Y,
,,,,,
,CAPU,Calamagrostis purpurascens,Calamagrostis purpurascens R. Br.,M,prety easy to ID but can look really similar to Elymus and often grows in similar places - maybe could lump the two?
,,,,,
,CALE4,Caltha leptosepala,Caltha leptosepala DC.,Y,
,,,,,
,CARO2,Campanula rotundifolia,Campanula rotundifolia L.,Y,
,,,,,
CARO2,CAUN2,Campanula uniflora,Campanula uniflora L.,N,"this one has given us tons of trouble - it can be really hard to differentiate from CAMROT before it flowers -- if not too many hits, I'd maybe just drop from analysis"
,,,,,
,CAAL6,Carex albonigra,Carex albonigra Mack.,N,
,,,,,
CAREX,CAAQ,Carex aquatilis,Carex aquatilis Wahlenb.,N,"this species is subalpine, I think, and grows only where it's really wet. I've only seen it on trail near cable gate. I'd be suspicious of any ID for something in any of Tim's plots"
,,,,,
CAHEE,CAHEC,Carex heteroneura,Carex heteroneura W. Boott var. chalciolepis (T. Holm) F.J. Herm.,Y,Combine C. heteroneura species
,,,,,
,CAHEE,Carex heteroneura,Carex heteroneura W. Boott var. epapillosa (Mack.) F.J. Herm.,Y,
,,,,,
,CANI2,Carex nigricans,Carex nigricans C.A. Mey.,M,Pretty easy to ID if in flower but I wouldn't expect to find in any of Tim's plots… very wet meadow/marshy
,,,,,
,CANO3,Carex nova,Carex nova L.H. Bailey,M,
,,,,,
,CARUD,Carex rupestris,Carex rupestris All. var. drummondiana (Dewey) L.H. Bailey,Y,"I'd probably lump Carexes as C. rupestris, C. heteroneura, and then everything else - many of them are fairly easy to ID if in flower but usually aren't in flower…"
,,,,,
,CASC12,Carex scopulorum,Carex scopulorum T. Holm,Y,
,,,,,
,CAREX,Carex sp.,Carex L.,N,
,,,,,
,CAOC4,Castilleja occidentalis,Castilleja occidentalis Torr.,Y,
,,,,,
,CEARS2,Cerastium arvense,Cerastium arvense L. ssp. strictum (L.) Ugborogho,Y,
,,,,,
,CHJA,Chionophila jamesii,Chionophila jamesii Benth.,Y,
,,,,,
HEMO3,DAIN,Danthonia intermedia,Danthonia intermedia Vasey,M,
,,,,,
,DECE,Deschampsia cespitosa,Deschampsia cespitosa (L.) P. Beauv.,Y,
,,,,,
DRABA,DRAU,Draba aurea,Draba aurea Vahl ex Hornem.,N,lump all Draba spp - all grow in dry places but are difficult to differentiate
,,,,,
DRABA,DRBRC,Draba breweri,Draba breweri S. Watson var. cana (Rydb.) Rollins,N,
,,,,,
,DRABA,Draba sp.,Draba L.,N,
,,,,,
DRABA,DRST4,Draba streptocarpa,Draba streptocarpa A. Gray,N,
,,,,,
,DROC,Dryas octopetala,Dryas octopetala L.,Y,
,,,,,
CAPU,ELYMU,Elymus sp.,Elymus L.,M,
,,,,,
,ERME2,Erigeron melanocephalus,Erigeron melanocephalus (A. Nelson) A. Nelson,Y,
,,,,,
,ERPI6,Erigeron pinnatisectus,Erigeron pinnatisectus (A. Gray) A. Nelson,Y,
,,,,,
,ERSI3,Erigeron simplex,Erigeron simplex Greene,Y,
,,,,,
,ERNA,Eritrichium nanum,Eritrichium nanum (Vill.) Schrad. ex Gaudin,Y,
,,,,,
,ERCA14,Erysimum capitatum,Erysimum capitatum (Douglas ex Hook.) Greene,M,Very easy if in flower… probably no one would have called it ERYCAP unless it had flower
,,,,,
,FEBR,Festuca brachyphylla,Festuca brachyphylla Schult. ex Schult. & Schult. f.,Y,
,,,,,
FEBR,FESTU,Festuca sp.,Festuca L.,N,lump w/ F. brachyphylla - that's what we call all Festucas
,,,,,
,GEAL2,Gentiana algida,Gentiana algida Pall.,Y,
,,,,,
,GERO2,Geum rossii,Geum rossii (R. Br.) Ser.,Y,
,,,,,
,HEMO3,Helictotrichon mortonianum,Helictotrichon mortonianum (Scribn.) Henr.,N,I'd maybe lump this with Danthonia - they look extremely similar
,,,,,
CAREX,JUNCU,Juncus sp.,Juncus L.,Y,"CTW: juncus only found in sdl in 2012, and tim had made a note in another file to change it to carex"
,,,,,
,KOMY,Kobresia myosuroides,Kobresia myosuroides (Vill.) Fiori,Y,
,,,,,
,LEPY2,Lewisia pygmaea,Lewisia pygmaea (A. Gray) B.L. Rob.,Y,
,,,,,
,LLSE,Lloydia serotina,Lloydia serotina (L.) Salisb. ex Rchb.,Y,
,,,,,
,LUSP4,Luzula spicata,Luzula spicata (L.) DC.,Y,
,,,,,
,MELA3,Mertensia lanceolata,Mertensia lanceolata (Pursh) DC.,Y,
,,,,,
MIOB2,MIBI9,Minuartia biflora,Minuartia biflora (L.) Schinz & Thell.,N,this species isn't in CO - lump anything IDed as M. biflora w/ M. obtusiloba
,,,,,
,MIOB2,Minuartia obtusiloba,Minuartia obtusiloba (Rydb.) House,Y,
,,,,,
,NOFEG,Noccaea fendleri,Noccaea fendleri (A. Gray) Holub ssp. glauca (A. Nelson) Al-Shehbaz & M. Koch,Y,
,,,,,
,ORALA,Oreoxis alpina,Oreoxis alpina (A. Gray) J.M. Coult. & Rose ssp. alpina,Y,
,,,,,
,PACA15,Packera cana,Packera cana (Hook.) W.A. Weber & √Å. L√∂ve,Y,
,,,,,
,PAPU2,Paronychia pulvinata,Paronychia pulvinata A. Gray,Y,
,,,,,
,PEPA3,Pedicularis parryi,Pedicularis parryi A. Gray,Y,
,,,,,
,PHPU5,Phlox pulvinata,Phlox pulvinata (Wherry) Cronquist,Y,
,,,,,
POA,POAL2,Poa alpina,Poa alpina L.,Y,
,,,,,
POA,POARG,Poa arctica,Poa arctica R. Br. ssp. grayana (Vasey) √Å. L√∂ve & D. L√∂ve & Kapoor,N,"I'd lump P. arctica, glauca and sp.; P. alpina is the only one that's easy to ID even if no flower"
,,,,,
POA,POGL,Poa glauca,Poa glauca Vahl,N,
,,,,,
,POA,Poa sp.,Poa L.,N,
,,,,,
POVI,POPU3,Polemonium pulcherrimum,Polemonium pulcherrimum Hook.,Y,subalpine species - I'd be surprised if found in any of Tim's plots
,,,,,
,POVI,Polemonium viscosum,Polemonium viscosum Nutt.,Y,
,,,,,
,POBI6,Polygonum bistortoides,Polygonum bistortoides Pursh,Y,"P. bistortoides and viviparum are easy to differentiate if in flower but not always so much if only leaves… If they seem inconsistent b/t years, I'd maybe just lump the two species"
,,,,,
POBI6,POVI3,Polygonum viviparum,Polygonum viviparum L.,Y,
,,,,,
,PODI2,Potentilla diversifolia,Potentilla diversifolia Lehm.,Y,
,,,,,
PODI2,POTEN,Potentilla sp.,Potentilla L.,N,lump w/ P. diversifolia or maybe just drop -- Potentillas are extremely difficult to differentiate 
,,,,,
,PRAN,Primula angustifolia,Primula angustifolia Torr.,Y,
,,,,,
,RHIN11,Rhodiola integrifolia,Rhodiola integrifolia Raf.,Y,
,,,,,
,RHRH4,Rhodiola rhodantha,Rhodiola rhodantha (A. Gray) H. Jacobsen,Y,
,,,,,
,SAGL,Salix glauca,Salix glauca L.,M,S. glauca & planifolia grow in the same areas & can hybridize -- lump the two but keep S. nivalis separate
,,,,,
,SANI8,Salix nivalis,Salix nivalis Hook.,Y,
,,,,,
SAGL,SAPL2,Salix planifolia,Salix planifolia Pursh,M,
,,,,,
,SARH2,Saxifraga rhomboidea,Saxifraga rhomboidea Greene,Y,
,,,,,
,SELA,Sedum lanceolatum,Sedum lanceolatum Torr.,Y,
,,,,,
,SEDES,Selaginella densa,Selaginella densa Rydb. var. scopulorum (Maxon) R. Tryon,Y,
,,,,,
PACA15,SENEC,Senecio sp.,Senecio L.,M,"you might be able to lump this w/ Packera cana… I think there are only two Sencio sp., both are now called Packera -- Packera cana grows in very dry places, Packera crocata in very wet places"
,,,,,
,SIPR,Sibbaldia procumbens,Sibbaldia procumbens L.,Y,
,,,,,
,SIACS2,Silene acaulis,Silene acaulis (L.) Jacq. var. subacaulescens (F.N. Williams) Fernald & H. St. John,Y,
,,,,,
SOSIN,SOMU,Solidago multiradiata,Solidago multiradiata Aiton,M,lump Solidagos - they're very similar
,,,,,
,SOSIN,Solidago simplex,Solidago simplex Kunth ssp. simplex var. nana (A. Gray) Ringius,M,
,,,,,
,STLO2,Stellaria longipes,Stellaria longipes Goldie,Y,
,,,,,
,TEACC,Tetraneuris acaulis,Tetraneuris acaulis (Pursh) Greene var. caespitosa A. Nelson,Y,
,,,,,
,TEGR3,Tetraneuris grandiflora,Tetraneuris grandiflora (Torr. & A. Gray ex A. Gray) K.F. Parker,Y,
,,,,,
,TOPY,Tonestus pygmaeus,Tonestus pygmaeus (Torr. & A. Gray) A. Nelson,Y,
,,,,,
,TRDA2,Trifolium dasyphyllum,Trifolium dasyphyllum Torr. & A. Gray,Y,
,,,,,
,TRPAP,Trifolium parryi,Trifolium parryi A. Gray ssp. parryi,Y,
,,,,,
,TRSP2,Trisetum spicatum,Trisetum spicatum (L.) K. Richt.,Y,
,,,,,
,VIAD,Viola adunca,Viola adunca Sm.,Y,
,,,,,
VIAD,VILA10,Viola labradorica,Viola labradorica Schrank,,synonym or old name for V. adunca - lump all Viola sp. Into V. adunca
,,,,,
VIAD,VIOLA,Viola sp.,Viola L.,,
