LTER_site,local_site,plotid,site,plot,rem,nut,winsize,increment,timestep,FI,smooth3_FI
NWT,Longs,1_CAC,1,CAC,A,C,4,0,2005,3.804792959021401,4.92542557732749
NWT,Longs,1_CAC,1,CAC,A,C,4,1,2006,4.00691402452086,4.92542557732749
NWT,Longs,1_CAC,1,CAC,A,C,4,2,2007,6.964569748440209,4.92542557732749
NWT,Longs,1_CAC,1,CAC,A,C,4,3,2008,4.7030513058355075,4.743631097239418
NWT,Longs,1_CAC,1,CAC,A,C,4,4,2009,4.015754945263961,4.743631097239418
NWT,Longs,1_CAC,1,CAC,A,C,4,5,2010,5.512087040618786,4.743631097239418
NWT,Longs,1_CAC,1,CAC,A,C,4,6,2011,4.180246656958357,4.109061903190646
NWT,Longs,1_CAC,1,CAC,A,C,4,7,2012,3.3911974385015817,4.109061903190646
NWT,Longs,1_CAC,1,CAC,A,C,4,8,2013,4.755741614112001,4.109061903190646
NWT,Longs,1_CAC,1,CAC,A,C,4,9,2014,4.0764364021890325,3.548357836958429
NWT,Longs,1_CAC,1,CAC,A,C,4,10,2015,3.0202792717278255,3.548357836958429
NWT,Longs,1_CAN,1,CAN,A,N,4,0,2005,3.3598548140695255,3.2785668730465756
NWT,Longs,1_CAN,1,CAN,A,N,4,1,2006,3.336839574146586,3.2785668730465756
NWT,Longs,1_CAN,1,CAN,A,N,4,2,2007,3.139006230923615,3.2785668730465756
NWT,Longs,1_CAN,1,CAN,A,N,4,3,2008,3.8021666567770307,3.0763099208527755
NWT,Longs,1_CAN,1,CAN,A,N,4,4,2009,2.6434369036217635,3.0763099208527755
NWT,Longs,1_CAN,1,CAN,A,N,4,5,2010,2.7833262021595324,3.0763099208527755
NWT,Longs,1_CAN,1,CAN,A,N,4,6,2011,3.5232740970885383,4.469943209747508
NWT,Longs,1_CAN,1,CAN,A,N,4,7,2012,4.654973596980311,4.469943209747508
NWT,Longs,1_CAN,1,CAN,A,N,4,8,2013,5.231581935173675,4.469943209747508
NWT,Longs,1_CAN,1,CAN,A,N,4,9,2014,3.7739936320771146,3.227427919880029
NWT,Longs,1_CAN,1,CAN,A,N,4,10,2015,2.7113398519541563,3.227427919880029
NWT,Longs,1_CAN,1,CAN,A,N,4,11,2016,3.1969502756088173,3.227427919880029
NWT,Longs,1_CAN,1,CAN,A,N,4,12,2017,2.824298829085815,2.651212756971312
NWT,Longs,1_CAN,1,CAN,A,N,4,13,2018,2.478126684856809,2.651212756971312
NWT,Longs,1_CAX,1,CAX,A,X,4,0,2005,3.4081217584699557,3.5953727016390515
NWT,Longs,1_CAX,1,CAX,A,X,4,1,2006,3.9723283624434105,3.5953727016390515
NWT,Longs,1_CAX,1,CAX,A,X,4,2,2007,3.405667984003788,3.5953727016390515
NWT,Longs,1_CAX,1,CAX,A,X,4,3,2008,3.3637699705948867,2.8232092593813114
NWT,Longs,1_CAX,1,CAX,A,X,4,4,2009,2.300013650361847,2.8232092593813114
NWT,Longs,1_CAX,1,CAX,A,X,4,5,2010,2.8058441571872015,2.8232092593813114
NWT,Longs,1_CAX,1,CAX,A,X,4,6,2011,3.0360846826764507,3.276303878288394
NWT,Longs,1_CAX,1,CAX,A,X,4,7,2012,3.322869625157776,3.276303878288394
NWT,Longs,1_CAX,1,CAX,A,X,4,8,2013,3.4699573270309556,3.276303878288394
NWT,Longs,1_CAX,1,CAX,A,X,4,9,2014,4.591233631000482,4.912540943990702
NWT,Longs,1_CAX,1,CAX,A,X,4,10,2015,4.9623701393131565,4.912540943990702
NWT,Longs,1_CAX,1,CAX,A,X,4,11,2016,5.184019061658468,4.912540943990702
NWT,Longs,1_CAX,1,CAX,A,X,4,12,2017,4.5889833304414225,4.615455025950922
NWT,Longs,1_CAX,1,CAX,A,X,4,13,2018,4.641926721460423,4.615455025950922
NWT,Longs,1_CBX,1,CBX,B,X,4,0,2005,3.449403735260155,3.8254238500963886
NWT,Longs,1_CBX,1,CBX,B,X,4,1,2006,3.361487222800271,3.8254238500963886
NWT,Longs,1_CBX,1,CBX,B,X,4,2,2007,4.665380592228741,3.8254238500963886
NWT,Longs,1_CBX,1,CBX,B,X,4,3,2008,3.5534927448545255,3.955336210913486
NWT,Longs,1_CBX,1,CBX,B,X,4,4,2009,4.481650182994927,3.955336210913486
NWT,Longs,1_CBX,1,CBX,B,X,4,5,2010,3.8308657048910058,3.955336210913486
NWT,Longs,1_CBX,1,CBX,B,X,4,6,2011,3.6545686549778,3.9397054074289244
NWT,Longs,1_CBX,1,CBX,B,X,4,7,2012,4.9025126265847065,3.9397054074289244
NWT,Longs,1_CBX,1,CBX,B,X,4,8,2013,3.2620349407242664,3.9397054074289244
NWT,Longs,1_CBX,1,CBX,B,X,4,9,2014,5.3952176320340826,5.028153455540855
NWT,Longs,1_CBX,1,CBX,B,X,4,10,2015,4.597133993878951,5.028153455540855
NWT,Longs,1_CBX,1,CBX,B,X,4,11,2016,5.092108740709531,5.028153455540855
NWT,Longs,1_CBX,1,CBX,B,X,4,12,2017,3.9209535633221577,4.1024640797688585
NWT,Longs,1_CBX,1,CBX,B,X,4,13,2018,4.283974596215559,4.1024640797688585
NWT,Longs,1_CDC,1,CDC,D,C,4,0,2005,3.4191197709602412,3.942260105705708
NWT,Longs,1_CDC,1,CDC,D,C,4,1,2006,3.8927450917726496,3.942260105705708
NWT,Longs,1_CDC,1,CDC,D,C,4,2,2007,4.514915454384231,3.942260105705708
NWT,Longs,1_CDC,1,CDC,D,C,4,3,2008,3.8282917733362276,3.9805226888408356
