eco_year,sumallPC1,sumallPC2,MAT,wnt_meanT,spr_meanT,sum_meanT,fal_meanT,tot_precip,wnt_precip,spr_precip,sum_precip,fal_precip,moisturedeficit,sum_moisturedeficit,fal_moisturedeficit,PET,spr_PET,sum_PET,fal_PET,GDD,sum_GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,iceoff_GL4
1982,-1.313458171311622,-0.14098504017232316,-3.748767123287671,-12.667222222222222,-7.532608695652174,5.951086956521739,-0.9093406593406593,626.95,233.22,132.6,196,65.13,31.529158115205746,3.4132968791335587,28.11586123607219,282.84693382530537,4.455459649643434,193.23358435927483,85.15788981638711,355.5,271,104,58,79,97,207
1983,-1.0678605603989586,0.1033947349222308,-3.8732876712328768,-9.775,-8.646739130434783,6.5,-3.697802197802198,607.56,100.23,226.2,216,65.13,4.520948768807309,0,4.520948768807309,246.49869434559434,4.48169173707944,192.7151745688965,49.30182803961841,333,284.5,86,51,98,99,208
1984,-0.948864379042035,0.7702905949357765,-4.255464480874317,-13.417582417582418,-7.429347826086956,6.451086956521739,-2.708791208791209,692.82,109.59,150.15,327,106.08,14.019143311226884,0.22978639657416391,13.789356914652721,282.688099687998,22.704097819998815,200.36115304968445,59.622848818314694,367,275.5,72,59,108,111,201
1985,0.11608967979841435,-1.3772724999835242,-3.737945205479452,-13.148888888888889,-4.804347826086956,6.794021739130435,-4,542.43,139.62,154.44,99,149.37,34.53039165103355,33.411880961282726,1.118510689750823,285.1176288130341,26.311503017928224,209.26991821160735,49.536207583498516,389.55,312.55,63,38,48,124,187
1986,-0.7199575496472551,-0.3946748812718189,-3.735342465753425,-11.933333333333334,-5.608695652173913,6.375,-3.954945054945055,703.2,213.32999999999998,180.96,165,143.91,30.223024583126346,10.496675944037344,19.726348639089004,260.5882256356463,9.400933922006073,205.0779623665112,46.10932934712902,343.5,281.5,79,56,89,107,201
1987,0.808922299370789,-0.1088009668516733,-1.516027397260274,-10.116666666666667,-2.6684782608695654,8.445652173913043,-1.915934065934066,547.13,132.6,137.28,170,107.25,29.155521592178353,10.831947554307192,18.323574037871158,303.9378265058265,45.034832983205845,206.22272691406604,52.680266608554604,506.5,400,6,37,115,140,178
1988,1.0904948673447954,-1.2101039398458224,-1.685792349726776,-11.917582417582418,-4.771739130434782,9.576086956521738,0.2802197802197802,664.6899999999999,224.25,290.94,91,58.5,83.2097765468778,50.61596625887414,32.59381028800366,325.5576353316831,31.44708464969701,217.93639021051752,75.41896114740285,622,460.5,45,36,96,131,189
1989,-0.06637325184218566,-0.8192706993580855,-1.7383561643835617,-10.922222222222222,-2.967391304347826,7.5271739130434785,-0.7802197802197802,620.02,218.01,138.06,145,118.95,75.4787195650524,28.807631590522295,46.6710879745301,304.62174038130775,43.418646505748534,196.19975287400445,65.0033410015548,497.5,362,50,48,79,119,192
1990,0.10080867632030802,0.5067327966919761,-1.7465753424657535,-11.233333333333333,-3.739130434782609,8.315217391304348,-0.521978021978022,876.68,287.82,193.05,248,147.81,40.47277542830696,0.5679078270417388,39.904867601265224,301.31292272765114,19.93730816576403,205.0165885535303,76.35902600835678,536,399,81,37,112,144,189
1991,-0.22578423464513156,0.3148829922768721,-2.0657534246575344,-11.122222222222222,-4.744565217391305,7.5978260869565215,-0.17032967032967034,899.15,280.41,239.85,242,136.89,16.713059251450147,6.355825853661105,10.357233397789043,312.58709889106035,31.34675976398192,204.42826042762195,76.81207869945646,488,338,69,48,103,122,189
1992,-0.17416002704178735,-0.44031336928574644,-1.273224043715847,-8.631868131868131,-2.233695652173913,7.396739130434782,-1.7087912087912087,749.11,198.51,189.93,184,176.67,40.391927758515834,12.229454009460877,28.16247374905496,312.11226864076303,38.34465841738162,196.6636542281798,77.10395599520157,455,322.5,58,51,113,150,189
1993,-0.38246316822184256,-1.5365640787590207,-2.202739726027397,-10.688888888888888,-4.282608695652174,6.858695652173913,-0.8681318681318682,790.61,176.28,300.69,167,146.64000000000001,82.29107118708787,52.57118429551186,29.719886891576003,319.5239602276115,30.23413710534781,203.99430004876365,85.29552307350004,443.5,303.5,73,45,65,123,216
