year,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
1968,NA,NA,NA,NA,NA,211,216,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,154,NA,NA,NA,NA,176,181,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,166,NA,175,180,180,207,207,NA,283,NA,283,283,283,283,283,NA
1983,173,NA,174,181,181,208,209,169,293,NA,286,286,286,288,286,NA
1984,173,NA,168,164,162,201,208,159,NA,NA,NA,NA,NA,284,284,NA
1985,154,NA,160,158,162,187,193,150,NA,NA,273,273,273,273,269,NA
1986,168,NA,170,170,172,201,205,156,307,NA,291,289,291,289,289,NA
1987,132,NA,134,137,139,178,178,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,151,NA,NA,NA,NA,189,NA,NA,NA,264,NA,NA,NA,310,308,NA
1989,154,NA,168,166,169,192,194,131,306,257,306,306,306,299,299,NA
1990,167,NA,160,161,161,189,195,154,NA,256,305,305,305,286,284,NA
1991,147,NA,141,163,155,189,195,144,NA,262,301,301,301,301,301,NA
1992,144,NA,136,147,139,189,203,138,308,271,308,303,299,299,299,308
1993,168,NA,174,174,166,216,229,152,301,NA,301,301,301,291,284,NA
1994,151,NA,148,153,151,180,183,135,302,251,298,298,297,286,285,311
1995,183,NA,182,163,182,220,235,170,303,271,NA,NA,NA,278,278,NA
1996,153,NA,167,154,153,199,199,142,310,261,310,310,310,275,275,NA
1997,165,NA,169,171,169,200,211,147,308,268,296,296,296,291,289,NA
1998,168,NA,169,177,171,200,206,155,298,267,292,292,292,283,281,NA
1999,173,NA,173,177,174,195,202,151,313,257,299,301,301,289,299,NA
2000,145,NA,142,151,145,183,190,135,309,272,307,307,307,305,300,311
2001,139,NA,153,159,155,183,195,132,298,256,287,287,299,284,284,359
2002,139,NA,122,139,141,159,173,104,296,273,296,291,291,291,296,309
2003,158,NA,163,166,159,193,199,149,NA,268,304,303,303,301,301,NA
2004,152,NA,152,164,160,189,197,145,311,260,305,305,305,301,295,316
2005,149,NA,150,163,161,196,204,140,312,258,307,311,311,309,308,319
2006,158,NA,158,158,152,186,189,130,295,257,295,295,290,288,288,325
2007,160,NA,154,157,155,182,188,143,313,280,296,308,295,293,293,320
2008,166,NA,162,168,166,192,205,157,313,262,308,308,308,310,305,319
2009,166,NA,153,170,154,196,203,140,307,264,303,307,295,295,294,327
2010,163,NA,157,164,163,191,196,145,NA,266,NA,NA,NA,300,292,NA
2011,178,NA,178,181,179,217,222,163,NA,258,NA,NA,NA,299,297,NA
2012,126,NA,129,129,141,168,176,108,301,276,300,300,299,297,296,319
2013,162,NA,162,166,162,188,194,155,295,266,293,293,293,288,285,309
2014,164,NA,172,165,160,196,202,144,310,273,307,307,305,304,299,322
2015,172,NA,164,171,168,189,193,141,310,281,304,300,302,296,296,323
2016,157,NA,160,162,164,182,189,149,NA,NA,322,324,324,316,310,NA
2017,169,NA,173,172,169,199,NA,148,300,NA,294,294,296,290,289,313
