eco_year,sumallPC1,sumallPC2,sum_meanT,sum_precip,sum_moisturedeficit,sum_PET,sum_GDD,fivedayrunning5C,fivedayrunning12C,GSLthreedayneg3C,iceoff_GL4
1982,-1.34532685713895,-0.150673963417979,5.95108695652174,196,3.41329687913356,193.233584359275,271,104,58,97,207
1983,-1.09405169962353,0.0916060147606326,6.5,216,0,192.715174568896,284.5,86,51,99,208
1984,-0.988019243420959,0.715270562741727,6.45108695652174,327,0.229786396574164,200.361153049684,275.5,72,59,111,201
1985,0.126705436339395,-1.30709542367234,6.79402173913043,99,33.4118809612827,209.269918211607,312.55,63,38,124,187
1986,-0.738917486317747,-0.359331489009986,6.375,165,10.4966759440373,205.077962366511,281.5,79,56,107,201
1987,0.820463239774422,-0.132422499516865,8.44565217391304,170,10.8319475543072,206.222726914066,400,6,37,140,178
1988,1.15063594411713,-0.938237113511643,9.57608695652174,91,50.6159662588741,217.936390210518,460.5,45,36,131,189
1989,-0.0609603388657568,-0.774375448145031,7.52717391304348,145,28.8076315905223,196.199752874004,362,50,48,119,192
1990,0.11457736649347,0.504847143288018,8.31521739130435,248,0.567907827041739,205.01658855353,399,81,37,144,189
1991,-0.236832170426651,0.303783770043742,7.59782608695652,242,6.3558258536611,204.428260427622,338,69,48,122,189
1992,-0.174767653737223,-0.51023759352777,7.39673913043478,184,12.2294540094609,196.66365422818,322.5,58,51,150,189
1993,-0.356597875083232,-1.33757338236492,6.85869565217391,167,52.5711842955119,203.994300048764,303.5,73,45,123,216
1994,0.992535551913789,-0.535480133012682,9.17391304347826,132,25.4713290818455,211.708357743862,437,48,35,156,180
1995,-0.931487678786906,0.61120763137285,7.79891304347826,334,26.5126781646961,199.836386202346,367,96,68,117,220
1996,0.590906149827268,-0.727388547274339,8.83152173913044,124,36.1104062340462,214.241064634031,412.5,66,39,140,199
1997,-0.258911380910378,0.0671052781885551,7.83695652173913,207,4.6646186461035,202.680643774882,340.5,69,51,139,200
1998,-0.87867717797382,0.663074414758622,7.29347826086957,310,0.0655513192299128,189.778173382579,331,78,57,122,200
1999,-0.419579680463415,1.12174500397347,7.81521739130435,367,1.02373184475037,206.722749650284,336,80,51,134,195
2000,0.721721814911199,-0.0994149593178664,9.10326086956522,160,19.0950141556514,207.639524075382,440,58,29,128,183
2001,0.173744005283471,1.06609437467725,8.76086956521739,246,0.912081902544102,209.458476449864,411.5,58,39,86,183
2002,1.58329773734867,0.354789312500084,10.2608695652174,161,21.0760233783342,221.653740700636,528,45,29,130,159
2003,0.719241263662634,0.0796905185764599,8.84239130434783,204,15.5921647033525,207.799042970331,434,42,27,141,193
2004,-0.616593173401464,0.175749521937294,6.27173913043478,271,3.42502559497268,196.684125430056,274.5,65,36,103,189
2005,-0.00647274824062173,-0.0528615283331086,7.91847826086957,215,14.6188716591937,197.338161015102,375.5,77,22,115,196
2006,0.609303723258941,0.197588491760338,8.95652173913044,219,23.5116740120724,218.011707150687,416.5,74,34,130,186
2007,0.517457187863358,0.908703886626073,9.38586956521739,228,9.15288951562638,213.778238985491,466.5,59,46,110,182
2008,-0.166126017124821,0.633226679207778,8.17934782608696,239,0.922169437487983,202.809082817128,400.5,79,47,121,192
2009,-0.45357268184667,-0.60828121914337,6.90760869565217,153,14.5905277228212,201.10779762041,310.5,76,54,130,196
2010,-0.0214989644721953,0.0354054910363538,8.01630434782609,192,3.14996189818459,204.838012978624,358.5,86,37,138,191
2011,0.000807600558122797,1.2885627304986,9.22880434782609,313,4.47295024590778,213.187040328442,443.049170673781,68,55,139,217
2012,1.23440789271739,0.869943791445681,9.6920652173913,270,13.6868497405349,217.28880005929,475.74015642039,23,33,135,168
2013,0.513036285246486,0.552601257485495,9.25576086956522,177,0.418699125526691,213.857699961412,445.349468795242,72,40,133,188
2014,-0.532160773798665,-0.298710123391966,6.99032608695652,182,0.979517516496122,195.119919279559,300.220636666149,65,54,140,196
2015,-0.552271177505983,-1.11229765251021,6.44739130434783,154.89,21.6265230769912,198.510837731297,260.545789878301,93,50,145,189
2016,-0.743235659743827,-0.644625563091061,6.47826086956522,167,6.16223186201043,189.855909387771,274.5,94,48,127,182
2017,0.308109983523435,0.450938450350387,8.8804347826087,187.71,3.74152282711108,212.656185269,411,66,38,125,199
2018,0.399109256043639,-1.10292768598829,7.81815217391304,126.462,31.8518721832554,201.426142938472,354.201780928682,58,36,140,177
