eco_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
1982,-0.348131868131868,-6.24554347826087,7.37054347826087,-12.4334444444444,-2.86901369863014,350.779167006872,475.398333709239,81,57,79,103,65.13,132.6,196,233.22,626.95,32.8958785380655,293.592716911872,4.59639330492153,28.299485233144,9.43392090822283,198.591922249325,85.5668737543242,NA,NA,NA,NA,NA,NA,166,NA,175,180,180,207,207,NA,283,NA,283,283,283,283,283,NA
1983,-3.04461538461538,-7.32086956521739,7.91086956521739,-9.63377777777778,-2.98580821917808,373.542344088183,454.143961866007,85,50,98,99,65.13,226.2,216,100.23,607.56,5.67937585295127,258.847809366481,0,5.67937585295127,7.8754135802009,198.171017787232,52.8013779990481,NA,NA,NA,NA,NA,NA,173,NA,174,181,181,208,209,169,293,NA,286,286,286,288,286,NA
1984,-2.09406593406593,-6.14,7.86282608695652,-13.1583516483516,-3.35920765027322,359.41088023668,499.544709024774,72,51,108,111,106.08,150.15,327,109.59,692.82,16.6859521432972,293.992327063361,0.742744449653369,15.9432076936438,27.6408144230613,203.619985862254,62.7315267780454,NA,NA,NA,NA,NA,NA,173,NA,168,164,162,201,208,159,NA,NA,NA,NA,NA,284,284,NA
1985,-3.34175824175824,-3.59597826086957,8.18326086956522,-12.9051111111111,-2.85898630136986,399.478436882137,528.47550158341,46,37,86,124,149.37,154.44,99,139.62,542.43,46.5858321352884,301.068518766149,44.8682723185824,1.71755981670606,36.673044679038,211.150708947312,53.2447651397994,NA,NA,NA,NA,NA,NA,154,NA,160,158,162,187,193,150,NA,NA,273,273,273,273,269,NA
1986,-3.28857142857143,-4.37380434782609,7.78413043478261,-11.7162222222222,-2.84923287671233,363.974286635261,460.403241472188,62,46,89,118,143.91,180.96,165,213.33,703.2,31.8416899551592,270.17140745629,10.5476477688643,21.2940421862949,14.1447563181876,207.434812006303,48.5918391317991,NA,NA,NA,NA,NA,NA,168,NA,170,170,172,201,205,156,307,NA,291,289,291,289,289,NA
1987,-1.31802197802198,-1.52913043478261,9.78836956521739,-9.96744444444444,-0.704547945205479,493.18952668892,661.977743685321,4,10,115,140,107.25,137.28,170,132.6,547.13,33.9306080612009,321.270008130593,13.5368795138338,20.393728547367,53.5569056558726,211.266827237082,56.4462752376384,NA,NA,NA,NA,NA,NA,132,NA,134,137,139,178,178,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,0.801428571428571,-3.57173913043478,10.8821739130435,-11.702967032967,-0.872896174863388,566.281689588867,789.876917056302,43,15,96,131,58.5,290.94,91,224.25,664.69,94.5513351577627,335.622726115305,58.4679246826798,36.0834104750829,35.0180412153172,222.620211271504,77.5488594044397,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,189,NA,NA,NA,264,NA,NA,NA,310,308,NA
1989,-0.223296703296703,-1.81413043478261,8.89619565217391,-10.7514444444444,-0.921643835616438,447.150498137262,649.410625909992,9,46,79,119,118.95,138.06,145,218.01,620.02,81.9259792765169,321.153968171896,30.6264011843059,51.299578092211,48.7328457597444,202.463731886958,69.9573905251935,NA,NA,NA,NA,NA,NA,154,NA,168,166,169,192,194,131,306,257,306,306,306,299,299,NA
1990,0.0220879120879121,-2.56108695652174,9.65684782608696,-11.0466666666667,-0.929808219178082,490.051785121113,684.372860197966,50,36,112,140,147.81,193.05,248,287.82,876.68,47.8804867671337,316.279040221824,4.31438868948912,43.5660980776446,26.9058078816044,210.906161612332,78.4670707278876,NA,NA,NA,NA,NA,NA,167,NA,160,161,161,189,195,154,NA,256,305,305,305,286,284,NA
1991,0.364725274725275,-3.53673913043478,8.96913043478261,-10.9388888888889,-1.23706849315069,428.331159579001,636.491549718947,69,41,103,122,136.89,239.85,242,280.41,899.15,24.8994513651938,323.168136300257,12.7674726214635,12.1319787437303,35.5578574193803,208.713742247257,78.8965366336194,NA,NA,NA,NA,NA,NA,147,NA,141,163,155,189,195,144,NA,262,301,301,301,301,301,NA
