year,GDD
1982,433.430744821794
1983,487.726570113508
1984,483.734118027558
1985,515.068952760397
1986,469.046366073967
1987,729.425926634826
1988,769.124403559529
1989,676.501733058796
1990,678.545106407974
1991,622.604409822813
1992,642.786302374427
1993,524.188080440111
1994,733.825413943522
1995,584.229208547662
1996,686.672927071498
1997,618.053953147977
1998,614.115296713029
1999,618.501430979531
2000,779.086359503957
2001,706.97644477814
2002,808.149886829464
2003,748.662222633729
2004,509.822526972852
2005,679.436979819194
2006,673.225882143723
2007,784.40533697395
2008,665.632656310999
2009,534.87850025736
2010,650.031358604593
2011,695.207136772358
2012,909.550628485345
2013,769.6465
2014,695.333
2015,789.803
2016,799.225
2017,765.1605
2018,898.249
