year,GDD
1982,475.398333709239
1983,454.143961866007
1984,499.544709024774
1985,528.47550158341
1986,460.403241472188
1987,661.977743685321
1988,789.876917056302
1989,649.410625909992
1990,684.372860197966
1991,636.491549718947
1992,618.120801266723
1993,595.042458222931
1994,710.405345082316
1995,586.843603604209
1996,675.232653835324
1997,596.172029912912
1998,614.334403602053
1999,617.169674539161
2000,776.427130777309
2001,718.203154456843
2002,836.578182767007
2003,723.573978810455
2004,541.738850024589
2005,625.460074681625
2006,748.818418154971
2007,716.355441089989
2008,679.512046629513
2009,577.66841055141
2010,576.73547292918
2011,734.261669988202
2012,882.039740914103
2013,779.843879676656
2014,664.8825
2015,751.014
2016,827.011
2017,798.957
2018,860.0015
