year,season,GDDsum
1982,sum,350.779167006872
1983,sum,373.542344088183
1984,sum,359.41088023668
1985,sum,399.478436882137
1986,sum,363.974286635261
1987,sum,493.18952668892
1988,sum,566.281689588867
1989,sum,447.150498137262
1990,sum,490.051785121113
1991,sum,428.331159579001
1992,sum,417.232125572143
1993,sum,390.730757906168
1994,sum,537.367408544805
1995,sum,463.354459558032
1996,sum,508.778430652058
1997,sum,438.964044132381
1998,sum,422.417988705481
1999,sum,437.719511633096
2000,sum,541.058303590336
2001,sum,511.634962905304
2002,sum,627.041757815893
2003,sum,533.86262311247
2004,sum,359.620557398475
2005,sum,463.730394512238
2006,sum,516.384009082175
2007,sum,568.477724384364
2008,sum,492.694691048105
2009,sum,397.423990978822
2010,sum,451.943619632566
2011,sum,545.447017910698
2012,sum,650.314875225887
2013,sum,573.412
2014,sum,466.1
2015,sum,533.959
2016,sum,572.2005
2017,sum,536.0155
2018,sum,605.525
