year,month,frosts0,frostsneg3
1982,1,31,31
1983,1,31,31
1984,1,31,31
1985,1,31,31
1986,1,31,31
1987,1,31,31
1988,1,31,31
1989,1,31,31
1990,1,31,31
1991,1,31,31
1992,1,31,31
1993,1,31,31
1994,1,31,31
1995,1,31,31
1996,1,31,31
1997,1,31,29
1998,1,31,31
1999,1,31,31
2000,1,31,31
2001,1,31,31
2002,1,31,31
2003,1,31,31
2004,1,31,31
2005,1,31,31
2006,1,31,31
2007,1,31,31
2008,1,31,31
2009,1,31,31
2010,1,31,31
2011,1,31,31
2012,1,31,31
2013,1,31,31
2014,1,31,31
2015,1,31,30
2016,1,31,31
2017,1,31,31
2018,1,31,31
1982,2,28,28
1983,2,28,28
1984,2,29,29
1985,2,28,28
1986,2,28,28
1987,2,28,28
1988,2,29,29
1989,2,28,28
1990,2,28,28
1991,2,28,28
1992,2,29,29
1993,2,28,28
1994,2,28,28
1995,2,28,28
1996,2,29,29
1997,2,28,28
1998,2,28,28
1999,2,28,28
2000,2,29,29
2001,2,28,28
2002,2,28,28
2003,2,28,28
2004,2,29,29
2005,2,28,28
2006,2,28,28
2007,2,28,28
2008,2,29,29
2009,2,28,28
2010,2,28,28
2011,2,28,28
2012,2,29,29
2013,2,28,28
2014,2,28,28
2015,2,28,28
2016,2,29,29
2017,2,27,26
2018,2,28,28
1982,3,31,31
1983,3,31,30
1984,3,31,31
1985,3,31,31
1986,3,31,30
1987,3,31,29
1988,3,31,31
1989,3,28,26
1990,3,31,31
1991,3,31,31
1992,3,31,31
1993,3,31,30
1994,3,31,30
1995,3,31,29
1996,3,31,30
1997,3,30,28
1998,3,31,29
1999,3,31,30
2000,3,31,31
2001,3,31,31
2002,3,31,31
2003,3,31,31
2004,3,30,25
2005,3,31,31
2006,3,31,30
2007,3,31,29
2008,3,31,31
2009,3,31,30
2010,3,31,31
2011,3,31,31
2012,3,31,24
2013,3,31,30
2014,3,31,31
2015,3,31,26
2016,3,31,30
2017,3,28,23
2018,3,31,31
1982,4,30,30
1983,4,30,30
1984,4,30,30
1985,4,30,28
1986,4,30,30
1987,4,27,20
1988,4,30,27
1989,4,28,23
1990,4,30,27
1991,4,30,28
1992,4,25,23
1993,4,30,30
1994,4,28,21
1995,4,30,30
1996,4,30,27
1997,4,30,29
1998,4,30,29
1999,4,30,29
2000,4,29,24
2001,4,28,25
2002,4,29,26
2003,4,30,25
2004,4,30,29
2005,4,30,27
2006,4,29,24
2007,4,29,27
2008,4,30,29
2009,4,30,27
2010,4,30,29
2011,4,30,30
2012,4,28,22
2013,4,30,28
2014,4,29,25
2015,4,29,26
2016,4,30,25
2017,4,29,25
2018,4,28,25
1982,5,30,29
1983,5,31,26
1984,5,23,16
1985,5,26,14
1986,5,29,26
1987,5,18,9
1988,5,20,15
1989,5,22,13
1990,5,26,13
1991,5,22,12
1992,5,22,8
1993,5,21,10
1994,5,19,5
