year,month,frosts0,frostsneg3
1982,fal,71,57
1983,fal,74,63
1984,fal,75,61
1985,fal,75,70
1986,fal,76,65
1987,fal,74,65
1988,fal,66,49
1989,fal,74,43
1990,fal,69,53
1991,fal,63,50
1992,fal,67,51
1993,fal,60,45
1994,fal,74,59
1995,fal,71,59
1996,fal,67,60
1997,fal,61,52
1998,fal,62,48
1999,fal,63,49
2000,fal,65,39
2001,fal,63,57
2002,fal,63,49
2003,fal,74,61
2004,fal,66,50
2005,fal,75,61
2006,fal,61,47
2007,fal,70,56
2008,fal,66,48
2009,fal,71,47
2010,fal,73,61
2011,fal,66,47
2012,fal,67,51
2013,fal,66,45
2014,fal,65,52
2015,fal,53,40
2016,fal,48,35
2017,fal,51,32
2018,fal,66,46
1982,spr,91,90
1983,spr,92,86
1984,spr,84,77
1985,spr,87,73
1986,spr,90,86
1987,spr,76,58
1988,spr,81,73
1989,spr,78,62
1990,spr,87,71
1991,spr,83,71
1992,spr,78,62
1993,spr,82,70
1994,spr,78,56
1995,spr,91,81
1996,spr,82,62
1997,spr,84,70
1998,spr,81,73
1999,spr,86,73
2000,spr,75,66
2001,spr,76,67
2002,spr,81,72
2003,spr,77,71
2004,spr,81,67
2005,spr,84,74
2006,spr,79,65
2007,spr,82,69
2008,spr,87,78
2009,spr,85,72
2010,spr,91,82
2011,spr,88,84
2012,spr,83,62
2013,spr,82,75
2014,spr,77,67
2015,spr,89,65
2016,spr,87,69
2017,spr,80,63
2018,spr,71,62
1982,sum,26,9
1983,sum,17,8
1984,sum,11,8
1985,sum,15,3
1986,sum,14,2
1987,sum,2,0
1988,sum,2,1
1989,sum,17,1
1990,sum,3,2
1991,sum,7,0
1992,sum,10,1
1993,sum,13,4
1994,sum,3,1
1995,sum,14,1
1996,sum,4,0
1997,sum,6,0
1998,sum,14,6
1999,sum,7,2
2000,sum,5,1
2001,sum,5,3
2002,sum,4,0
2003,sum,7,1
2004,sum,14,5
2005,sum,10,4
2006,sum,4,0
2007,sum,6,3
2008,sum,14,5
2009,sum,11,0
2010,sum,8,0
2011,sum,7,0
2012,sum,1,0
2013,sum,3,1
2014,sum,7,2
2015,sum,2,0
2016,sum,2,0
2017,sum,1,0
2018,sum,1,0
1982,wnt,90,90
1983,wnt,90,90
1984,wnt,91,91
1985,wnt,90,90
1986,wnt,90,90
1987,wnt,90,90
1988,wnt,91,90
1989,wnt,90,90
1990,wnt,90,90
1991,wnt,90,90
1992,wnt,91,91
1993,wnt,90,90
1994,wnt,90,90
1995,wnt,90,90
1996,wnt,91,91
1997,wnt,90,88
1998,wnt,90,90
1999,wnt,90,90
2000,wnt,91,91
2001,wnt,90,90
2002,wnt,90,90
2003,wnt,90,90
2004,wnt,91,91
2005,wnt,90,90
2006,wnt,90,90
2007,wnt,90,90
2008,wnt,91,91
2009,wnt,90,90
2010,wnt,90,90
2011,wnt,90,90
2012,wnt,91,91
2013,wnt,90,90
2014,wnt,90,90
2015,wnt,90,86
2016,wnt,91,91
2017,wnt,89,88
2018,wnt,90,90
