year,season,GDDsum
1982,sum,378.785520574789
1983,sum,401.636499231426
1984,sum,387.695384152152
1985,sum,428.992398780162
1986,sum,391.809401488703
1987,sum,450.928992119208
1988,sum,503.068965049199
1989,sum,412.400498797255
1990,sum,462.124051334045
1991,sum,385.401201513592
1992,sum,389.2773990847
1993,sum,295.525423522804
1994,sum,403.5375
1995,sum,394.569076966922
1996,sum,448.589844362936
1997,sum,388.637186747291
1998,sum,381.289502300493
1999,sum,359.5015
2000,sum,535.281564467301
2001,sum,548.436871200752
2002,sum,622.703943323984
2003,sum,548.259158688172
2004,sum,430.102775304108
2005,sum,505.1445
2006,sum,560.0875
2007,sum,599.833
2008,sum,525.2375
2009,sum,454.287
2010,sum,542.39063813676
2011,sum,567.152942061298
2012,sum,642.032
2013,sum,573.412
2014,sum,466.1
2015,sum,533.959
2016,sum,572.2005
2017,sum,536.0155
2018,sum,605.525
