year,def
1982,36.9358728330545
1983,5.83877830727995
1984,17.2259336568927
1985,51.5554056811385
1986,34.4613426534882
1987,32.6333055587399
1988,76.6952958188445
1989,70.4817787700477
1990,50.08909618928
1991,12.1171528947731
1992,40.8750267451946
1993,65.9216334334061
1994,49.3752106315427
1995,41.4799809939743
1996,63.6751544449732
1997,26.0983974240435
1998,21.7476029982014
1999,15.681422108884
2000,39.6255653634049
2001,17.245274708121
2002,41.2002567422925
2003,37.3934277164894
2004,22.1735277510003
2005,27.281788376409
2006,63.2137808207441
2007,45.1893091053877
2008,14.177028301959
2009,26.1785969603137
2010,53.3061446115778
2011,55.9008656693253
2012,38.4074832052838
2013,24.8223213515711
2014,14.0784259815156
2015,37.3601761682896
2016,98.9322447230171
2017,58.6726602248679
2018,57.0197777687655
