eco_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
1982,-1.03945054945055,-7.31402173913043,5.8545652173913,-13.0243333333333,-3.83849315068493,301.235109156789,399.125148834567,82,57,79,96,65.13,132.6,196,233.22,626.95,29.2900207111281,269.745129170458,2.40347846631066,26.8865422448174,5.52110300323539,193.390792797271,70.8332333699511,NA,NA,NA,NA,NA,NA,166,NA,175,180,180,207,207,NA,283,NA,283,283,283,283,283,NA
1983,-3.84857142857143,-8.43630434782609,6.40782608695652,-10.1098888888889,-3.96364383561644,307.863365431112,367.293759229633,86,51,70,98,65.13,226.2,216,100.23,607.56,4.38222214498582,247.827117308074,0,4.38222214498582,6.19547703565752,192.94698233555,48.6846579368666,NA,NA,NA,NA,NA,NA,173,NA,174,181,181,208,209,169,293,NA,286,286,286,288,286,NA
1984,-2.85186813186813,-7.2095652173913,6.35836956521739,-13.7774725274725,-4.34857923497268,305.057156414836,414.746929928955,72,58,100,111,106.08,150.15,327,109.59,692.82,13.7271566926881,284.914954240618,0.245821870457113,13.4813348222309,25.1639401507093,200.873825128984,58.8771889609244,NA,NA,NA,NA,NA,NA,173,NA,168,164,162,201,208,159,NA,NA,NA,NA,NA,284,284,NA
1985,-4.15318681318681,-4.56467391304348,6.70369565217391,-13.5096666666667,-3.82745205479452,343.946081655464,442.111160350666,46,38,44,88,149.37,154.44,99,139.62,542.43,35.657960402208,288.895659666364,34.6434976891359,1.014462713072,31.0426803366532,209.062463586996,48.7905157427157,NA,NA,NA,NA,NA,NA,154,NA,160,158,162,187,193,150,NA,NA,273,273,273,273,269,NA
1986,-4.10791208791209,-5.37586956521739,6.2820652173913,-12.2853333333333,-3.82501369863014,313.321665824284,387.732288136141,62,47,42,107,143.91,180.96,165,213.33,703.2,30.047170489404,262.557955135639,10.6436037421567,19.4035667472473,11.6718547561095,205.534678820972,45.3514215585575,NA,NA,NA,NA,NA,NA,168,NA,170,170,172,201,205,156,307,NA,291,289,291,289,289,NA
1987,-2.05373626373626,-2.90771739130435,8.19652173913044,-10.858,-1.85627397260274,450.928992119208,600.59197916004,4,10,44,113,107.25,137.28,170,132.6,547.13,28.9474672256272,305.250216006986,10.9516536779319,17.9958135476953,45.0100169712633,207.894008398782,52.3461906369407,NA,NA,NA,NA,NA,NA,132,NA,134,137,139,178,178,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,-0.331538461538462,-4.96032608695652,9.37630434782609,-12.7058241758242,-2.13150273224044,503.068965049199,682.741808544347,43,15,81,113,58.5,290.94,91,224.25,664.69,76.6952958188445,314.984355678031,50.5368940593732,26.1584017594713,30.9479932789653,217.587263789877,65.7851002213914,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,189,NA,NA,NA,264,NA,NA,NA,310,308,NA
1989,-1.1556043956044,-3.12630434782609,7.38260869565217,-11.516,-2.05484931506849,412.400498797255,605.403772726173,9,47,76,80,118.95,138.06,145,218.01,620.02,70.4817787700477,300.450465757166,27.0586501277572,43.4231286422905,42.5576260053364,195.605438005352,62.2874017464775,NA,NA,NA,NA,NA,NA,154,NA,168,166,169,192,194,131,306,257,306,306,306,299,299,NA
1990,-0.867472527472528,-1.26336956521739,8.09228260869565,-11.6447777777778,-1.36632876712329,462.124051334045,713.666407326038,32,21,1,137,147.81,193.05,248,287.82,876.68,50.08909618928,322.731301677766,12.2502292946677,37.8388668946123,46.5892632155724,202.240740112762,73.710608113112,NA,NA,NA,NA,NA,NA,167,NA,160,161,161,189,195,154,NA,256,305,305,305,286,284,NA
1991,-0.584725274725275,-4.81380434782609,7.52989130434783,-11.6342222222222,-2.3298904109589,385.401201513592,574.310450537326,69,44,73,105,136.89,239.85,242,280.41,899.15,12.1171528947731,308.67886439614,5.06471577747011,7.05243711730295,31.9422083246765,204.587969801442,72.1486862700209,NA,NA,NA,NA,NA,NA,147,NA,141,163,155,189,195,144,NA,262,301,301,301,301,301,NA
