year,GDD
1982,399.125148834567
1983,367.293759229633
1984,414.746929928955
1985,442.111160350666
1986,387.732288136141
1987,600.59197916004
1988,682.741808544347
1989,605.403772726173
1990,713.666407326038
1991,574.310450537326
1992,566.628829128655
1993,473.614270403428
1994,527.576162776759
1995,494.442014172922
1996,584.744344362936
1997,521.000007354898
1998,537.780002300493
1999,515.77
2000,722.647564467301
2001,774.487763014378
2002,857.541819711267
2003,758.860732343317
2004,653.606752628729
2005,683.529606180041
2006,815.5175
2007,769.678241418976
2008,732.3465
2009,658.126342239816
2010,707.32013813676
2011,815.157805291001
2012,900.5075
2013,781.0515
2014,664.8825
2015,751.014
2016,827.011
2017,798.957
2018,860.0015
