year,pet
1982,269.745129170458
1983,247.827117308074
1984,284.914954240618
1985,288.895659666364
1986,262.557955135639
1987,305.250216006986
1988,314.984355678031
1989,300.450465757166
1990,322.731301677766
1991,308.67886439614
1992,314.083535070926
1993,306.865622250961
1994,305.961236330211
1995,265.402561968425
1996,309.117879961233
1997,297.358562302206
1998,296.879623621026
1999,311.423516868864
2000,345.635369984912
2001,338.83523394018
2002,347.692283092929
2003,314.248725397728
2004,341.48274991357
2005,311.42248091258
2006,360.826957078518
2007,320.759979422365
2008,320.617206157822
2009,333.265071716746
2010,305.067572806463
2011,335.063539238484
2012,357.103436380513
2013,326.84124282656
2014,314.266583703399
2015,337.057075920112
2016,347.3526231125
2017,363.692958567652
2018,339.876128346585
