year,month,frosts0,frostsneg3
1982,fal,76,57
1983,fal,76,66
1984,fal,77,64
1985,fal,76,70
1986,fal,78,68
1987,fal,79,66
1988,fal,77,61
1989,fal,80,60
1990,fal,71,61
1991,fal,75,53
1992,fal,71,52
1993,fal,71,59
1994,fal,82,66
1995,fal,74,62
1996,fal,74,62
1997,fal,63,54
1998,fal,61,49
1999,fal,64,46
2000,fal,63,34
2001,fal,62,51
2002,fal,55,43
2003,fal,72,56
2004,fal,59,41
2005,fal,71,48
2006,fal,55,37
2007,fal,68,53
2008,fal,56,40
2009,fal,55,40
2010,fal,65,53
2011,fal,55,39
2012,fal,63,46
2013,fal,58,39
2014,fal,65,52
2015,fal,53,40
2016,fal,48,35
2017,fal,51,32
2018,fal,66,46
1982,spr,91,91
1983,spr,92,91
1984,spr,89,79
1985,spr,90,75
1986,spr,92,88
1987,spr,90,71
1988,spr,86,76
1989,spr,88,71
1990,spr,87,74
1991,spr,91,76
1992,spr,88,70
1993,spr,91,77
1994,spr,85,66
1995,spr,91,89
1996,spr,83,66
1997,spr,87,76
1998,spr,83,75
1999,spr,89,75
2000,spr,79,67
2001,spr,73,60
2002,spr,79,68
2003,spr,77,69
2004,spr,77,58
2005,spr,84,67
2006,spr,78,66
2007,spr,77,64
2008,spr,86,77
2009,spr,79,63
2010,spr,89,77
2011,spr,87,82
2012,spr,76,56
2013,spr,82,75
2014,spr,77,67
2015,spr,89,65
2016,spr,87,69
2017,spr,80,63
2018,spr,71,62
1982,sum,34,14
1983,sum,27,11
1984,sum,19,10
1985,sum,31,10
1986,sum,30,6
1987,sum,29,3
1988,sum,10,1
1989,sum,26,10
1990,sum,30,5
1991,sum,19,3
1992,sum,40,17
1993,sum,26,12
1994,sum,9,2
1995,sum,21,3
1996,sum,4,2
1997,sum,10,0
1998,sum,17,8
1999,sum,12,3
2000,sum,7,2
2001,sum,6,2
2002,sum,5,0
2003,sum,8,3
2004,sum,9,3
2005,sum,11,4
2006,sum,1,0
2007,sum,3,3
2008,sum,13,6
2009,sum,8,0
2010,sum,4,0
2011,sum,7,0
2012,sum,2,0
2013,sum,3,1
2014,sum,7,2
2015,sum,2,0
2016,sum,2,0
2017,sum,1,0
2018,sum,1,0
1982,wnt,90,90
1983,wnt,90,90
1984,wnt,91,91
1985,wnt,90,90
1986,wnt,90,90
1987,wnt,90,90
1988,wnt,91,90
1989,wnt,90,90
1990,wnt,90,90
1991,wnt,90,90
1992,wnt,91,91
1993,wnt,90,90
1994,wnt,90,90
1995,wnt,90,90
1996,wnt,91,91
1997,wnt,90,88
1998,wnt,90,90
1999,wnt,90,88
2000,wnt,91,91
2001,wnt,90,90
2002,wnt,90,90
2003,wnt,90,90
2004,wnt,91,89
2005,wnt,90,88
2006,wnt,90,89
2007,wnt,90,90
2008,wnt,91,91
2009,wnt,90,90
2010,wnt,90,90
2011,wnt,90,90
2012,wnt,91,90
2013,wnt,90,89
2014,wnt,90,90
2015,wnt,90,86
2016,wnt,91,91
2017,wnt,90,89
2018,wnt,90,90
