year,season,GDDsum
1982,sum,271
1983,sum,284.5
1984,sum,275.5
1985,sum,312.55
1986,sum,281.5
1987,sum,400
1988,sum,460.5
1989,sum,362
1990,sum,399
1991,sum,338
1992,sum,322.5
1993,sum,303.5
1994,sum,437
1995,sum,367
1996,sum,412.5
1997,sum,340.5
1998,sum,331
1999,sum,336
2000,sum,440
2001,sum,411.5
2002,sum,528
2003,sum,434
2004,sum,274.5
2005,sum,375.5
2006,sum,416.5
2007,sum,466.5
2008,sum,400.5
2009,sum,310.5
2010,sum,358.5
2011,sum,443.049170673781
2012,sum,475.74015642039
2013,sum,445.349468795242
2014,sum,300.220636666149
2015,sum,260.545789878301
2016,sum,274.5
2017,sum,411
2018,sum,354.201780928682
