year,def
1982,30.8570257456058
1983,4.52094876880731
1984,14.0191433112269
1985,34.5303916510335
1986,30.2230245831263
1987,29.1555215921784
1988,83.2097765468778
1989,75.4787195650524
1990,40.472775428307
1991,16.7130592514501
1992,40.3919277585158
1993,82.2910711870879
1994,57.9044343075635
1995,42.642431898648
1996,62.8380948352418
1997,23.1080146933657
1998,22.0100397841257
1999,14.3242846884037
2000,34.919798356463
2001,10.3710589975849
2002,26.3775008557567
2003,27.0680028509368
2004,12.9781215831825
2005,20.1513224403605
2006,51.485382730658
2007,28.0315847668367
2008,2.82457853074699
2009,16.6986755908571
2010,27.577294791282
2011,34.6798713221149
2012,27.5939969598663
2013,14.3445907202624
2014,1.54783678084257
2015,29.2379933192881
2016,58.6391078503154
2017,35.8254531329678
2018,42.9546796229139
