"missing_date","logger","complete_nobs","mon","year","tmax_logger","fit","lwr","upr","se","adjr2","pval","RMSE","method"
2010-01-12,"cr23x",22,"1",2010,3.463,0.381004779652497,-1.70635309945149,2.46836265875648,0.424560689140716,0.967577644163871,1.40842995022314e-16,0.906137757082811,"cr23x 2wk lm"
2010-01-13,"cr23x",22,"1",2010,-2.349,-4.98424883438852,-6.93522478302617,-3.03327288575086,0.253225187791507,0.967794675624297,1.31681376501871e-16,0.90035553002346,"cr23x 2wk lm"
2010-01-14,"cr23x",22,"1",2010,-2.767,-5.46356851073781,-7.46216226668895,-3.46497475478667,0.239434341825696,0.964335524221329,3.65827472797865e-16,0.927715670140504,"cr23x 2wk lm"
2010-01-15,"cr23x",22,"1",2010,-4.518,-7.18027324444449,-9.28115398163255,-5.07939250725644,0.215759083578434,0.956791226744148,2.50095813950916e-15,0.983769129696851,"cr23x 2wk lm"
2010-01-16,"cr23x",22,"1",2010,1.405,-1.65018402232284,-3.8558086113438,0.555440566698111,0.347887999908703,0.960925392558719,9.13118102770254e-16,0.998496133822941,"cr23x 2wk lm"
2010-01-17,"cr23x",22,"1",2010,-1.279,-3.99536330605527,-6.06590895454418,-1.92481765756636,0.256526838796883,0.964161530576542,3.84101652864565e-16,0.958887994664771,"cr23x 2wk lm"
2010-01-18,"cr23x",22,"1",2010,-2.829,-5.40575422275717,-7.4215013730691,-3.39000707244523,0.221725004633646,0.966244831043354,2.10838782338988e-16,0.940557522937698,"cr23x 2wk lm"
2010-02-12,"cr23x",27,"2",2010,-9.93,-12.0763903525346,-13.6807648128287,-10.4720158922404,0.172127229401343,0.947280711217877,1.04899182565633e-17,0.759742471718197,"cr23x 2wk lm"
2010-02-13,"cr23x",27,"2",2010,-9.73,-11.9012447056045,-13.3953110363463,-10.4071783748628,0.156590032391012,0.958977313670174,4.53516771096317e-19,0.708335379411709,"cr23x 2wk lm"
2010-05-27,"cr23x",28,"5",2010,14.6,12.0062541826588,10.1229309354376,13.8895774298801,0.242583837519925,0.972443645492551,5.07579595021684e-22,0.883525651519834,"cr23x 2wk lm"
2010-09-21,"cr23x",21,"9",2010,16.38,11.9948934731318,10.5614013833649,13.4283855628987,0.165450249801111,0.910379491005353,1.28977161381406e-11,0.664605958478441,"cr23x 2wk lm"
2010-09-22,"cr23x",21,"9",2010,12.43,8.79853201111921,7.50109359108403,10.0959704311544,0.163801437750895,0.937966869081747,3.86414805814953e-13,0.59785365469632,"cr23x 2wk lm"
2010-09-23,"cr23x",21,"9",2010,6.955,4.44527339517006,2.96208421990783,5.92846257043228,0.376791462839344,0.937435783863841,4.19112376323606e-13,0.600159253899354,"cr23x 2wk lm"
2010-09-24,"cr23x",21,"9",2010,12.6,8.84580503912296,7.55535907916236,10.1362509990835,0.143274573671935,0.961033885210584,4.61479450680276e-15,0.599667886107004,"cr23x 2wk lm"
2010-09-25,"cr23x",21,"9",2010,15.26,11.0129401952337,9.57705568983858,12.4488247006288,0.152923253375051,0.973982316535681,9.88984776204567e-17,0.668772284207951,"cr23x 2wk lm"
2010-09-26,"cr23x",21,"9",2010,18.47,13.8853056858609,12.3343797304749,15.4362316412468,0.217139054292152,0.978902138000025,1.34730341647586e-17,0.708468900926755,"cr23x 2wk lm"
2010-09-27,"cr23x",21,"9",2010,17.55,13.0427178498852,11.5058668454584,14.5795688543121,0.201506023486453,0.981509016799809,3.84436931972913e-18,0.7060822388345,"cr23x 2wk lm"
2010-09-28,"cr23x",21,"9",2010,18.26,13.5849678598517,11.8683250389015,15.3016106808019,0.244002865018612,0.978060845292213,1.95411062221501e-17,0.783037124279556,"cr23x 2wk lm"
2011-01-01,"cr23x",19,"1",2011,-20.28,-20.3859417950236,-23.5227821480433,-17.249101442004,0.870206047591406,0.926887637801672,2.67368379975571e-11,1.20551587829418,"cr23x 2wk lm"
2011-01-02,"cr23x",19,"1",2011,-12.35,-13.7394083059081,-16.4856059588615,-10.9932106529548,0.48371395489274,0.926922922527043,2.66269333369111e-11,1.2084119725774,"cr23x 2wk lm"
2011-01-03,"cr23x",19,"1",2011,-10.8,-12.4439981008866,-15.1421489391356,-9.74584726263762,0.415823593981431,0.925874791923221,3.00674703445725e-11,1.20936514216434,"cr23x 2wk lm"
2011-01-04,"cr23x",19,"1",2011,-11.13,-12.4880568510132,-15.5100951433208,-9.46601855870561,0.465222089595396,0.904785031131619,2.55008671337901e-10,1.35471569143528,"cr23x 2wk lm"
2011-01-05,"cr23x",19,"1",2011,-11.45,-12.8205516283789,-15.8481003794741,-9.79300287728377,0.467555016506825,0.90201212791936,3.25896878937974e-10,1.35667516942681,"cr23x 2wk lm"
2011-01-06,"cr23x",19,"1",2011,-2.917,-5.9619764091148,-8.94501884510108,-2.97893397312851,0.386791682001883,0.900859088122319,3.60160708955108e-10,1.35995250366366,"cr23x 2wk lm"
2011-01-07,"cr23x",19,"1",2011,-4.272,-7.04578236022756,-10.0673083395797,-4.02425638087544,0.366406512120001,0.899243157258239,4.13527781562612e-10,1.38446267457949,"cr23x 2wk lm"
2011-01-08,"cr23x",19,"1",2011,-3.032,-5.89343157718953,-8.87528766855252,-2.91157548582655,0.421240348337626,0.904325923127342,2.65707406236782e-10,1.34909060136182,"cr23x 2wk lm"
2011-01-09,"cr23x",19,"1",2011,-7.68,-9.84790944066567,-12.7918714176149,-6.90394746371642,0.313333301018206,0.893046058925193,6.88798925596803e-10,1.35972961239124,"cr23x 2wk lm"
2011-01-10,"cr23x",19,"1",2011,-18.91,-20.234354484541,-23.6603904818131,-16.8083184872689,0.87827790851097,0.880789793230943,1.74210921951208e-09,1.36584595236027,"cr23x 2wk lm"
2011-02-09,"cr23x",22,"2",2011,-17.17,-17.3767254644684,-21.1867540526871,-13.5666968762497,0.79402773488274,0.889418728855643,3.11021295856337e-11,1.64488627024046,"cr23x 2wk lm"
2011-02-10,"cr23x",22,"2",2011,-15.35,-15.9551111451293,-19.7079019567945,-12.2023203334641,0.692575357861273,0.88977780660024,3.01016351935938e-11,1.6604175053435,"cr23x 2wk lm"
2011-02-11,"cr23x",22,"2",2011,-10.3,-11.8462565314924,-15.3495559827988,-8.34295708018602,0.431393329841285,0.891404550038687,2.5922540879752e-11,1.62311349247397,"cr23x 2wk lm"
2011-02-12,"cr23x",21,"2",2011,-5.655,-7.9912289006385,-11.5240999859501,-4.45835781532691,0.364254799611995,0.886410371737154,1.2395635908163e-10,1.64815497586156,"cr23x 2wk lm"
2011-02-13,"cr23x",20,"2",2011,-3.282,-5.86016308707294,-9.42129195564091,-2.29903421850498,0.439956464047997,0.890228920553413,2.77135774572227e-10,1.6369391630551,"cr23x 2wk lm"
2011-02-14,"cr23x",19,"2",2011,0.591,-2.42469102799066,-6.19621382065476,1.34683176467345,0.664381079705804,0.891032428327728,8.07893050782071e-10,1.65956001490912,"cr23x 2wk lm"
2011-02-21,"cr23x",19,"2",2011,-12.08,-13.7975741125384,-16.1371656018803,-11.4579826231964,0.478542914427505,0.941598903774473,3.93464288018408e-12,1.00033682029591,"cr23x 2wk lm"
2011-07-13,"cr23x",23,"7",2011,16.14,14.2018078648857,12.1786433201224,16.2249724096491,0.209587119615552,0.763380297250775,3.17171100005713e-08,0.950011468940551,"cr23x 2wk lm"
2011-07-14,"cr23x",22,"7",2011,16.24,14.2754683837058,12.2029078152166,16.348028952195,0.213079935065308,0.748929076482572,1.21729337922973e-07,0.970457461699922,"cr23x 2wk lm"
2011-07-15,"cr23x",21,"7",2011,17.07,14.9855818519958,12.8641503396965,17.1070133642952,0.217979221253192,0.7415063134471,3.29745480681063e-07,0.989855627991871,"cr23x 2wk lm"
2011-07-16,"cr23x",20,"7",2011,18.11,15.8562711876414,13.7065980678108,18.0059443074719,0.258595826987291,0.725347468624927,1.1589963503954e-06,0.989987815640863,"cr23x 2wk lm"
2011-07-17,"cr23x",19,"7",2011,18.78,16.3897435166631,14.1384666211857,18.6410204121405,0.317596387921933,0.724454636259117,2.33718904019404e-06,1.01868856826692,"cr23x 2wk lm"
2011-07-18,"cr23x",18,"7",2011,17.79,15.6192111949252,13.3223920438238,17.9160303460267,0.273728488705985,0.719066808415294,5.3660431761725e-06,1.04830555829488,"cr23x 2wk lm"
2011-09-26,"cr23x",21,"9",2011,14.84,12.7444680284954,10.7695698420621,14.7193662149287,0.32068357429772,0.971250171440836,2.55678982809767e-16,0.887395906363144,"cr23x 2wk lm"
2011-09-27,"cr23x",21,"9",2011,15.19,13.0095541456834,10.7881602615176,15.2309480298491,0.377628926911637,0.965640657985625,1.39367856685327e-15,0.99187826521786,"cr23x 2wk lm"
2011-09-28,"cr23x",21,"9",2011,14.9,12.6943596813937,10.4647580826399,14.9239612801476,0.378285705215824,0.967012557630453,9.45768794345592e-16,0.995823955753299,"cr23x 2wk lm"
2011-09-29,"cr23x",21,"9",2011,9.57,7.45202203960163,5.32714718284628,9.57689689635697,0.236031059875528,0.967599179638636,7.97337549488231e-16,0.987398659932005,"cr23x 2wk lm"
2011-09-30,"cr23x",21,"9",2011,15.01,12.8686345925739,10.8014147518447,14.9358544333032,0.355487287717478,0.970934650175012,2.8365356475085e-16,0.921478938540028,"cr23x 2wk lm"
2011-10-01,"cr23x",21,"10",2011,14.09,12.0615532021952,10.0065062524865,14.1166001519039,0.321626877291524,0.971561731956238,2.30504968858379e-16,0.927683221328198,"cr23x 2wk lm"
2011-10-02,"cr23x",21,"10",2011,13.88,11.7652227516669,9.63207305197046,13.8983724513634,0.321456996106794,0.968835666802297,5.50645723454842e-16,0.967147972489758,"cr23x 2wk lm"
