eco_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
1982,-4.67582417582418,-10.2336956521739,3.67391304347826,-15.2704444444444,-6.58449315068493,164,206.5,112,73,62,96,187.638470649,350,200,365.146393352,1102.784864001,0.204140487142062,252.972715000379,0,0.204140487142062,4.19070715815384,196.217987718672,52.5640201235534,NA,NA,NA,NA,NA,NA,166,NA,175,180,180,207,207,NA,283,NA,283,283,283,283,283,NA
1983,-6.82714285714286,-10.3958695652174,4.8804347826087,-13.1936666666667,-6.34553424657534,197.5,212,87,68,78,98,305,601,255,280.547924505,1441.547924505,0.452147950903277,234.747417970637,0.441056144909204,0.0110918059940727,7.49333664938195,193.781922801941,33.4721585193144,NA,NA,NA,NA,NA,NA,173,NA,174,181,181,208,209,169,293,NA,286,286,286,288,286,NA
1984,-4.92307692307692,-9.24369565217391,4.21739130434783,-16.3571428571429,-6.5544262295082,149.5,197.5,73,NA,54,112,385,439,336,330,1490,8.34075896120275,284.645707331395,0,8.34075896120275,23.5258470516962,213.436436324929,47.6834239547696,NA,NA,NA,NA,NA,NA,173,NA,168,164,162,201,208,159,NA,NA,NA,NA,NA,284,284,NA
1985,-7.8956043956044,-7.84782608695652,6.75152173913043,-16.9,-6.41194520547945,287.20305454,308.70305454,87,38,72,114,359.000000002,321.976763771,111.601233639,190.042428246,982.620425658,17.8240912674374,253.848012580295,17.8240912674374,0,8.86787821527016,211.310287711925,33.6698466530993,NA,NA,NA,NA,NA,NA,154,NA,160,158,162,187,193,150,NA,NA,273,273,273,273,269,NA
1986,-5.36813186813187,-5.57608695652174,6.88586956521739,-11.5166666666667,-3.84794520547945,296,333.5,63,48,84,107,383.245782839,428,190,377.988920571,1379.23470341,12.1652820010589,256.368800682753,8.26932230354995,3.89595969750898,12.9063666619969,210.489888682092,32.972545338664,NA,NA,NA,NA,NA,NA,168,NA,170,170,172,201,205,156,307,NA,291,289,291,289,289,NA
1987,-3.24175824175824,-4.32065217391304,7.875,-11.3,-2.6986301369863,355.5,421,48,44,89,138,371,276,164.213237225,269,1080.213237225,7.60781946863555,285.285418022757,3.457432961789,4.15038650684655,37.067983531719,208.156999480925,40.0604350101137,NA,NA,NA,NA,NA,NA,132,NA,134,137,139,178,178,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,-1.47802197802198,-5.6304347826087,9.91304347826087,-14.3076923076923,-2.84836065573771,489,606.5,45,35,103,130,81,384,188,458.314229157,1111.314229157,44.8901013376851,320.057284046859,32.8217587606158,12.0683425770694,32.6832177254043,223.767898483506,63.6061678379485,NA,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,189,NA,NA,NA,264,NA,NA,NA,310,308,NA
1989,-3.10989010989011,-4.54891304347826,6.53260869565217,-13.4428888888889,-3.59002739726027,302.5,404.5,51,48,56,79,268,336,167,345.999999999,1116.999999999,23.5293196616071,273.211729903089,0.794135080961969,22.7351845806452,36.7284761464423,194.013917447021,42.4693363096258,NA,NA,NA,NA,NA,NA,154,NA,168,166,169,192,194,131,306,257,306,306,306,299,299,NA
1990,-2.23417582417582,-5.27315217391304,7.94021739130435,-13.8444444444444,-3.29846575342466,383,482.114810366,82,36,110,123,202,341,195,354,1092,9.12215685876127,285.831208705564,0,9.12215685876127,11.6242777269181,203.839835513099,70.3670954655473,NA,NA,NA,NA,NA,NA,167,NA,160,161,161,189,195,154,NA,256,305,305,305,286,284,NA
1991,-1.69,-6.03913043478261,7.83695652173913,-13.7023333333333,-3.34684931506849,345.5,481.110820981,69,42,102,122,213,343.125703189,219.116484389,277.467258571,1052.709446149,6.09489161333155,306.963869796571,5.23698126928497,0.85791034404658,30.8364688953356,209.740589350926,66.3868115503094,NA,NA,NA,NA,NA,NA,147,NA,141,163,155,189,195,144,NA,262,301,301,301,301,301,NA
