year,pet
1982,252.972715000379
1983,234.747417970637
1984,284.645707331395
1985,253.848012580295
1986,256.368800682753
1987,285.285418022757
1988,320.057284046859
1989,273.211729903089
1990,285.831208705564
1991,306.963869796571
1992,292.67278623881
1993,310.582493356367
1994,304.085556992695
1995,245.414856760303
1996,288.936358964919
1997,274.212668207386
1998,291.093615388662
1999,294.637950571844
2000,317.592551274528
2001,304.537181642409
2002,309.368611742386
2003,270.067523147306
2004,293.00887656827
2005,268.883487094176
2006,317.675758450989
2007,292.207057735493
2008,297.991837123871
2009,309.878667970949
2010,283.841088982029
