water_year,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip
1982,187.638470649,350,200,365.146393352,1102.784864001
1983,305,601,255,280.547924505,1441.547924505
1984,385,439,336,330,1490
1985,359.000000002,321.976763771,111.601233639,190.042428246,982.620425658
1986,383.245782839,428,190,377.988920571,1379.23470341
1987,371,276,164.213237225,269,1080.213237225
1988,81,384,188,458.314229157,1111.314229157
1989,268,336,167,345.999999999,1116.999999999
1990,202,341,195,354,1092
1991,213,343.125703189,219.116484389,277.467258571,1052.709446149
1992,321,371,225.519498069,332.603988308,1250.123486377
1993,234,504,115,482.999999999,1335.999999999
1994,369,417.00000001,162,359.000000002,1307.000000012
1995,305,726.076620623,183,373,1587.076620623
1996,306,351.815752372,108.327072891,425.999999999,1192.142825262
1997,368,458,201,449.000000002,1476.000000002
1998,336,308,271,267.833974562,1182.833974562
1999,244.366704775,387.000000001,268,446.99999999,1346.366704766
2000,145.999999994,281.999999997,163.999999999,430.000000001,1021.999999991
2001,216.375484426,288.999999997,224,271,1000.375484423
2002,236.482863764,178.999999998,148.677226967,307.049345366,871.209436095
2003,284,391,204,331,1210
2004,162,329,262,247.999999999,1000.999999999
2005,261,383,176,259,1079
2006,232,317,179,464.070027975,1192.070027975
2007,255,341,188,353,1137
2008,148,409,195,516,1268
2009,218,401.999999993,180,508,1307.999999993
2010,316.999999998,408,160.000000001,385.000000001,1270
