water_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT
1982,-4.67582417582418,-10.2336956521739,3.67391304347826,-15.2704444444444,-6.58449315068493
1983,-6.82714285714286,-10.3958695652174,4.8804347826087,-13.1936666666667,-6.34553424657534
1984,-4.92307692307692,-9.24369565217391,4.21739130434783,-16.3571428571429,-6.5544262295082
1985,-7.8956043956044,-7.84782608695652,6.75152173913043,-16.9,-6.41194520547945
1986,-5.36813186813187,-5.57608695652174,6.88586956521739,-11.5166666666667,-3.84794520547945
1987,-3.24175824175824,-4.32065217391304,7.875,-11.3,-2.6986301369863
1988,-1.47802197802198,-5.6304347826087,9.91304347826087,-14.3076923076923,-2.84836065573771
1989,-3.10989010989011,-4.54891304347826,6.53260869565217,-13.4428888888889,-3.59002739726027
1990,-2.23417582417582,-5.27315217391304,7.94021739130435,-13.8444444444444,-3.29846575342466
1991,-1.69,-6.03913043478261,7.83695652173913,-13.7023333333333,-3.34684931506849
1992,-3.41373626373626,-3.90076086956522,5.56521739130435,-11.6638461538462,-3.33040983606557
1993,-2.35582417582418,-6.29891304347826,6.66304347826087,-12.5945555555556,-3.60106849315068
1994,-4.63186813186813,-4.84782608695652,9.97282608695652,-13.0994444444444,-3.09301369863014
1995,-3.27472527472527,-7.21195652173913,6.46739130434783,-10.7733333333333,-3.66054794520548
1996,-4.45054945054945,-5.67347826086957,8.66304347826087,-12.9686813186813,-3.57953551912568
1997,-3.59340659340659,-5.70652173913043,7.92880434782609,-12.7832222222222,-3.48778082191781
1998,-2.27428571428571,-4.83152173913043,7.33695652173913,-12.5833333333333,-3.03824657534247
1999,-1.57681318681319,-6,7.53804347826087,-12.2388888888889,-3.0232602739726
2000,-0.428571428571429,-4.51086956521739,8.55978260869565,-11.7582417582418,-2.01229508196721
2001,-3.49241758241758,-4.7370652173913,8.14195652173913,-12.3614444444444,-3.06052054794521
2002,-1.82252747252747,-4.84239130434783,9.36815217391304,-13.7277777777778,-2.69857534246575
2003,-4.25824175824176,-5.84239130434783,7.63586956521739,-12.1055555555556,-3.59452054794521
2004,-2.81835164835165,-3.65760869565217,5.88586956521739,-9.98351648351648,-2.62286885245902
2005,-3.72637362637363,-5.0804347826087,7.50826086956522,-10.9972222222222,-3.0287397260274
2006,-1.8256043956044,-4.87076086956522,7.87880434782609,-13.3357777777778,-2.98523287671233
2007,-4.83208791208791,-3.20652173913043,10.570652173913,-12.35,-2.39375342465753
2008,-0.263736263736264,-6.98913043478261,9.48913043478261,-14.8406593406593,-3.12704918032787
2009,-0.258241758241758,-4.1520652173913,8.94021739130435,-11.9611111111111,-1.80682191780822
2010,-1.69230769230769,-5.64130434782609,9.11097826086957,-13.7376666666667,-2.9347397260274
