year,month,frosts0,frostsneg3
1982,1,31,31
1983,1,31,31
1984,1,31,31
1985,1,31,31
1986,1,31,31
1987,1,31,29
1988,1,31,31
1989,1,31,31
1990,1,31,31
1991,1,31,31
1992,1,31,31
1993,1,31,31
1994,1,31,31
1995,1,31,31
1996,1,31,31
1997,1,31,29
1998,1,31,31
1999,1,31,31
2000,1,31,31
2001,1,31,31
2002,1,31,31
2003,1,31,30
2004,1,31,30
2005,1,31,31
2006,1,31,31
2007,1,31,31
2008,1,31,31
2009,1,31,30
2010,1,31,31
1982,2,28,28
1983,2,28,28
1984,2,29,29
1985,2,28,28
1986,2,28,28
1987,2,28,28
1988,2,29,29
1989,2,28,28
1990,2,28,28
1991,2,28,28
1992,2,29,29
1993,2,28,28
1994,2,28,28
1995,2,28,28
1996,2,29,29
1997,2,28,28
1998,2,28,28
1999,2,28,28
2000,2,29,29
2001,2,28,28
2002,2,28,28
2003,2,28,28
2004,2,29,29
2005,2,28,28
2006,2,28,28
2007,2,28,28
2008,2,29,29
2009,2,28,28
2010,2,28,28
1982,3,31,31
1983,3,31,31
1984,3,31,31
1985,3,31,31
1986,3,31,31
1987,3,31,29
1988,3,31,31
1989,3,30,28
1990,3,31,31
1991,3,31,31
1992,3,31,31
1993,3,31,31
1994,3,31,31
1995,3,31,31
1996,3,31,30
1997,3,31,30
1998,3,31,29
1999,3,31,31
2000,3,31,31
2001,3,31,31
2002,3,31,31
2003,3,31,31
2004,3,31,26
2005,3,31,31
2006,3,31,31
2007,3,31,29
2008,3,31,31
2009,3,31,29
2010,3,31,31
1982,4,30,30
1983,4,30,30
1984,4,30,30
1985,4,30,28
1986,4,28,26
1987,4,26,20
1988,4,29,24
1989,4,26,23
1990,4,30,27
1991,4,29,28
1992,4,27,24
1993,4,30,30
1994,4,30,24
1995,4,30,30
1996,4,30,27
1997,4,30,27
1998,4,29,28
1999,4,30,30
2000,4,29,26
2001,4,28,24
2002,4,30,25
2003,4,30,24
2004,4,30,26
2005,4,28,21
2006,4,28,24
2007,4,28,27
2008,4,30,29
2009,4,29,26
2010,4,30,25
1982,5,31,30
1983,5,29,25
1984,5,26,19
1985,5,31,23
1986,5,28,21
1987,5,22,15
1988,5,19,15
1989,5,26,17
1990,5,29,22
1991,5,23,13
1992,5,26,10
1993,5,27,15
1994,5,24,13
1995,5,31,30
1996,5,21,13
1997,5,26,15
1998,5,21,15
1999,5,27,16
2000,5,20,14
2001,5,22,10
2002,5,23,17
2003,5,20,16
2004,5,21,16
2005,5,25,18
2006,5,22,15
2007,5,22,14
2008,5,25,20
2009,5,20,13
2010,5,26,22
1982,6,28,16
1983,6,20,10
1984,6,16,8
1985,6,11,4
1986,6,5,3
1987,6,2,2
1988,6,2,1
1989,6,20,7
1990,6,6,3
1991,6,6,0
1992,6,10,3
1993,6,13,8
1994,6,3,0
1995,6,17,6
1996,6,3,1
1997,6,7,0
