year,month,frosts0,frostsneg3
1982,fal,82,63
1983,fal,84,71
1984,fal,77,64
1985,fal,84,75
1986,fal,80,71
1987,fal,81,61
1988,fal,67,49
1989,fal,77,59
1990,fal,67,56
1991,fal,69,49
1992,fal,69,51
1993,fal,60,48
1994,fal,72,61
1995,fal,72,59
1996,fal,76,66
1997,fal,74,53
1998,fal,63,49
1999,fal,68,52
2000,fal,63,39
2001,fal,69,57
2002,fal,67,46
2003,fal,77,66
2004,fal,67,51
2005,fal,78,66
2006,fal,64,48
2007,fal,76,63
2008,fal,59,48
2009,fal,60,42
2010,fal,67,57
1982,spr,92,91
1983,spr,90,86
1984,spr,87,80
1985,spr,92,82
1986,spr,87,78
1987,spr,79,64
1988,spr,79,70
1989,spr,82,68
1990,spr,90,80
1991,spr,83,72
1992,spr,84,65
1993,spr,88,76
1994,spr,85,68
1995,spr,92,91
1996,spr,82,70
1997,spr,87,72
1998,spr,81,72
1999,spr,88,77
2000,spr,80,71
2001,spr,81,65
2002,spr,84,73
2003,spr,81,71
2004,spr,82,68
2005,spr,84,70
2006,spr,81,70
2007,spr,81,70
2008,spr,86,80
2009,spr,80,68
2010,spr,87,78
1982,sum,40,19
1983,sum,25,12
1984,sum,21,8
1985,sum,13,5
1986,sum,5,3
1987,sum,9,2
1988,sum,2,1
1989,sum,23,7
1990,sum,8,3
1991,sum,6,0
1992,sum,20,5
1993,sum,19,10
1994,sum,4,1
1995,sum,24,8
1996,sum,3,1
1997,sum,11,0
1998,sum,16,9
1999,sum,11,3
2000,sum,9,4
2001,sum,7,4
2002,sum,5,0
2003,sum,19,7
2004,sum,19,8
2005,sum,14,7
2006,sum,9,2
2007,sum,4,3
2008,sum,12,8
2009,sum,9,0
2010,sum,11,0
1982,wnt,90,90
1983,wnt,90,90
1984,wnt,91,91
1985,wnt,90,90
1986,wnt,90,90
1987,wnt,90,88
1988,wnt,91,91
1989,wnt,90,90
1990,wnt,90,90
1991,wnt,90,90
1992,wnt,91,91
1993,wnt,90,90
1994,wnt,88,87
1995,wnt,90,90
1996,wnt,91,91
1997,wnt,90,88
1998,wnt,90,90
1999,wnt,90,90
2000,wnt,91,91
2001,wnt,90,90
2002,wnt,90,90
2003,wnt,90,89
2004,wnt,91,86
2005,wnt,90,90
2006,wnt,90,90
2007,wnt,90,90
2008,wnt,91,91
2009,wnt,90,89
2010,wnt,90,90
