date,Year,Month,Day,TMIN,TMAX,PCP
1981-01-01,1981,1,1,-10,-2,0
1981-01-02,1981,1,2,-10,-7,0
1981-01-03,1981,1,3,-11,-5,0
1981-01-04,1981,1,4,-10,-5,0
1981-01-05,1981,1,5,-16.52259096,-10.73299836,0
1981-01-06,1981,1,6,-10,-6,0
1981-01-07,1981,1,7,-7,-2,0
1981-01-08,1981,1,8,-7,-3,0
1981-01-09,1981,1,9,-9,-5,0
1981-01-10,1981,1,10,-10,-6,0
1981-01-11,1981,1,11,-10,-7,0
1981-01-12,1981,1,12,-7,-3,0
1981-01-13,1981,1,13,-9,0,0
1981-01-14,1981,1,14,-10,-4,0
1981-01-15,1981,1,15,-15,-9,1
1981-01-16,1981,1,16,-18,-11,4
1981-01-17,1981,1,17,-13,-10,1
1981-01-18,1981,1,18,-15,-11,2
1981-01-19,1981,1,19,-16,-14,1
1981-01-20,1981,1,20,-12,-9,0
1981-01-21,1981,1,21,-13.0021356,-4.810947076,0
1981-01-22,1981,1,22,-12.08117227,-1.937587798,0
1981-01-23,1981,1,23,-5.931873093,0.849375418,0
1981-01-24,1981,1,24,-12.81456982,-6.15117404,3
1981-01-25,1981,1,25,-19,-7,9
1981-01-26,1981,1,26,-21,-16,4
1981-01-27,1981,1,27,-18,-12,7
1981-01-28,1981,1,28,-11,-10,5
1981-01-29,1981,1,29,-17.48307794,-10.66444904,1
1981-01-30,1981,1,30,-15.38943315,-8.415574893,3
1981-01-31,1981,1,31,-21.71313308,-15.99078969,3
1981-02-01,1981,2,1,-23.62053364,-18.58713509,1
1981-02-02,1981,2,2,-25,-18,2
1981-02-03,1981,2,3,-18,-13,0
1981-02-04,1981,2,4,-21.09265051,-12.90680934,1
1981-02-05,1981,2,5,-18.11663288,-11.18889328,0
1981-02-06,1981,2,6,-16.77092377,-12.11762971,2
1981-02-07,1981,2,7,-18.11832543,-14.18434672,8
1981-02-08,1981,2,8,-17.95677817,-13.60631581,5
1981-02-09,1981,2,9,-24.8906341,-16.57709942,6
1981-02-10,1981,2,10,-31.07351505,-24.52652411,3
1981-02-11,1981,2,11,-21.29274604,-14.63213648,0
1981-02-12,1981,2,12,-15,-9.352165202,0
1981-02-13,1981,2,13,-15,-4,0
1981-02-14,1981,2,14,-10,-5,0
1981-02-15,1981,2,15,-14,-10,1
1981-02-16,1981,2,16,-13,-5,0
1981-02-17,1981,2,17,-13,-6,6
1981-02-18,1981,2,18,-14,-7,0
1981-02-19,1981,2,19,-10,-3,0
1981-02-20,1981,2,20,-20,-3,3
1981-02-21,1981,2,21,-22,-19,5
1981-02-22,1981,2,22,-20,-12,5
1981-02-23,1981,2,23,-14,-5,0
1981-02-24,1981,2,24,-8,-3,0
1981-02-25,1981,2,25,-9,-1,0
1981-02-26,1981,2,26,-15,-5,5
1981-02-27,1981,2,27,-16,-8,2
1981-02-28,1981,2,28,-13,-8,1
1981-03-01,1981,3,1,-13,-9,2
1981-03-02,1981,3,2,-14,-7,3
1981-03-03,1981,3,3,-15,-9,6
1981-03-04,1981,3,4,-18,-13,3
1981-03-05,1981,3,5,-15,-5,0
1981-03-06,1981,3,6,-16,-6,4
1981-03-07,1981,3,7,-16,-11,3
1981-03-08,1981,3,8,-17,-12,2
1981-03-09,1981,3,9,-17,-12,3
1981-03-10,1981,3,10,-16,-7,3
1981-03-11,1981,3,11,-17,-10,0
1981-03-12,1981,3,12,-14,-8,2
1981-03-13,1981,3,13,-15,-11,2
1981-03-14,1981,3,14,-14,-3,1
1981-03-15,1981,3,15,-14,-9,0
1981-03-16,1981,3,16,-13,-7,3
1981-03-17,1981,3,17,-18,-14,6
1981-03-18,1981,3,18,-18,-15,4
1981-03-19,1981,3,19,-17,-9,3
1981-03-20,1981,3,20,-15,-7,7
1981-03-21,1981,3,21,-15,-10,13
1981-03-22,1981,3,22,-15,-8.017389015,2
1981-03-23,1981,3,23,-14.59286926,-8,1
1981-03-24,1981,3,24,-14,-6,10
1981-03-25,1981,3,25,-15,-6,1
1981-03-26,1981,3,26,-7,0,0
1981-03-27,1981,3,27,-13,-5,0
1981-03-28,1981,3,28,-15,-11,11
1981-03-29,1981,3,29,-16,-9,5
1981-03-30,1981,3,30,-20,-9,12
1981-03-31,1981,3,31,-20,-10,10
1981-04-01,1981,4,1,-12,-3,0
1981-04-02,1981,4,2,-9,2,0
1981-04-03,1981,4,3,-17,-9,16.48835345
1981-04-04,1981,4,4,-19,-11.92908438,11.25385459
1981-04-05,1981,4,5,-15.95353436,-7.137555907,0
1981-04-06,1981,4,6,-8.289048474,-1,0
1981-04-07,1981,4,7,-12,-4,8.118857955
1981-04-08,1981,4,8,-14,-9,17.138934
1981-04-09,1981,4,9,-9,0,0
1981-04-10,1981,4,10,-3,4,0
1981-04-11,1981,4,11,-5,1,0
1981-04-12,1981,4,12,-5,3,0
1981-04-13,1981,4,13,-8,-1,0
1981-04-14,1981,4,14,-7,3,0
1981-04-15,1981,4,15,-6,2,3
1981-04-16,1981,4,16,-7,1,0
1981-04-17,1981,4,17,-3,5,1
1981-04-18,1981,4,18,-3,4,0
1981-04-19,1981,4,19,-5,-2,8
1981-04-20,1981,4,20,-8,0,5
1981-04-21,1981,4,21,-10,-1,8
1981-04-22,1981,4,22,-11,-8,6
1981-04-23,1981,4,23,-9,1,0
1981-04-24,1981,4,24,-3,6,0
1981-04-25,1981,4,25,0,8,0
1981-04-26,1981,4,26,1,8,0
1981-04-27,1981,4,27,-6,5,0
1981-04-28,1981,4,28,-5,4,0
1981-04-29,1981,4,29,-5,5,0
1981-04-30,1981,4,30,-2,4,1
1981-05-01,1981,5,1,-1,7,0
1981-05-02,1981,5,2,-5,7,10
1981-05-03,1981,5,3,-9,-1,13
1981-05-04,1981,5,4,-10,-1,2
1981-05-05,1981,5,5,-6,2,7
1981-05-06,1981,5,6,-8,-4,7
1981-05-07,1981,5,7,-13,-6,4
1981-05-08,1981,5,8,-14,-10,9
1981-05-09,1981,5,9,-14,-4,4
1981-05-10,1981,5,10,-10,-1,0
1981-05-11,1981,5,11,-11,-2,9
1981-05-12,1981,5,12,-12,-4,6
1981-05-13,1981,5,13,-12,-6,4
1981-05-14,1981,5,14,-6,4,0
1981-05-15,1981,5,15,-4,5,2
1981-05-16,1981,5,16,-7,-5,12
1981-05-17,1981,5,17,-8,-4,15
1981-05-18,1981,5,18,-9,-2,8
1981-05-19,1981,5,19,-3,1,6.333333333
1981-05-20,1981,5,20,-1,1,0
1981-05-21,1981,5,21,-11,-4,6.333333333
1981-05-22,1981,5,22,-7,-4,6.333333333
1981-05-23,1981,5,23,-4,2,0
1981-05-24,1981,5,24,-5,1,0
1981-05-25,1981,5,25,-4,2,3.794973523
1981-05-26,1981,5,26,-2,4,2.388686074
1981-05-27,1981,5,27,-3,5,0
1981-05-28,1981,5,28,-3,5,9.578733606
1981-05-29,1981,5,29,-4,-1,15.84682067
1981-05-30,1981,5,30,-5,5,2.388686074
1981-05-31,1981,5,31,-3,4,0
1981-06-01,1981,6,1,1,4,0
1981-06-02,1981,6,2,-3,7,0
1981-06-03,1981,6,3,-4,3,12.91208196
1981-06-04,1981,6,4,-5,2,9.252885219
1981-06-05,1981,6,5,-3,4,0
1981-06-06,1981,6,6,-1,11,0
1981-06-07,1981,6,7,-1,8,2.408875905
1981-06-08,1981,6,8,6,11,0
1981-06-09,1981,6,9,2,11,0
1981-06-10,1981,6,10,1,12,0
1981-06-11,1981,6,11,1,12,4.304210424
1981-06-12,1981,6,12,1,12,0
1981-06-13,1981,6,13,-3,7,0
1981-06-14,1981,6,14,-6,-2,2.29540841
1981-06-15,1981,6,15,-7,-3,0
1981-06-16,1981,6,16,-7,7,0
1981-06-17,1981,6,17,-1,9,0
1981-06-18,1981,6,18,-2,6,0
