eco_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
1991,-0.922527472527473,-5.54184782608696,8.88804347826087,-11.9665555555556,-2.33723287671233,420.445,540.175,69,49,108,124,175.67,240.56,240.7,280.67,937.6,5.02713031215365,307.572727810616,5.02713031215365,0,22.3828388669782,212.035110877685,73.1547780659528,NA,NA,NA,NA,NA,NA,147,NA,141,163,155,189,195,144,NA,262,301,301,301,301,301,NA
1992,-1.09967032967033,-1.23380434782609,6.74782608695652,-9.19505494505495,-1.17357923497268,305.955,467.245,42,50,70,107,205.75,190.53,183.03,198.72,778.03,21.7643700490376,323.456597939819,10.7412042972944,11.0231657517432,54.8834926965652,192.351096979064,76.2220082641892,NA,NA,NA,NA,NA,NA,144,NA,136,147,139,189,203,138,308,271,308,303,299,299,299,308
1993,-1.5578021978022,-5.4070652173913,6.01869565217391,-12.0103333333333,-3.19567123287671,266.815,401.905,76,58,65,97,161.55,300,166.36,176.01,803.92,54.6647571830201,300.10808602474,39.3531970500844,15.3115601329357,20.8317524882501,199.726837149314,79.5494963871762,143.928571428571,125,126.625,158.176470588235,180.2,155.6,168,NA,174,174,166,216,229,152,301,NA,301,301,301,291,284,NA
1994,-4.2632967032967,-3.64445652173913,8.18380434782609,-12.7376666666667,-3.05953424657534,374.975,483.35,48,36,70,129,212.12,157.5,131.8,367.86,869.28,33.382898418929,302.827531082513,18.328535768849,15.05436265008,41.1432432154302,207.971978230498,53.229703133416,110.276595744681,104,100.285714285714,114.5,134,108,151,NA,148,153,151,180,183,135,302,251,298,298,297,286,285,311
1995,-1.80197802197802,-5.29663043478261,7.86728260869565,-9.19288888888889,-2.06805479452055,377,463.39,94,68,77,104,168.92,438.69,333.36,252.75,1193.72,35.3216886392403,263.269456054001,27.0911202289215,8.23056841031885,5.25389868433762,199.441861330769,58.5736960388941,180.057971014493,165.4375,165.125,182.578947368421,200.307692307692,176.4,183,NA,182,163,182,220,235,170,303,271,NA,NA,NA,278,278,NA
1996,-1.47208791208791,-3.94086956521739,9.24445652173913,-10.6750549450549,-1.68704918032787,442.63,560.58,65,39,109,114,252.48,286.62,122.6,417.82,1079.52,55.6600554892793,306.090778296212,36.384935177944,19.2751203113352,32.5193850454153,215.157470067387,58.4139231834096,153.810126582278,87.8181818181818,97.75,157.961538461538,191.173913043478,147.4,153,NA,167,154,153,199,199,142,310,261,310,310,310,275,275,NA
1997,-1.28912087912088,-4.54010869565217,8.4225,-11.5771111111111,-2.19745205479452,386.75,510.66,67,50,103,138,367.53,306.73,205.61,447.54,1327.41,20.2430672520343,297.216799722984,5.1916182684224,15.0514489836119,21.6110163226335,205.44150297787,68.7127819473169,155.5,138.75,128,160.045454545455,178.944444444444,147,165,NA,169,171,169,200,211,147,308,268,296,296,296,291,289,NA
1998,-1.31142857142857,-4.59445652173913,7.84445652173913,-11.0791111111111,-2.23961643835616,365.19,501.405,78,56,110,122,236.19,199.9,309.44,282.02,1027.55,5.61071708401099,294.167865350703,0.118803919273939,5.49191316473705,25.1067563410273,191.655645649105,77.4054633605712,160.652173913043,139,150,160.68,175.235294117647,147,168,NA,169,177,171,200,206,155,298,267,292,292,292,283,281,NA
1999,0.162417582417582,-4.76826086956522,7.90934782608696,-10.2575555555556,-1.69704109589041,342.215,482.09,80,52,95,133,163.36,362.89,364.81,342.67,1233.73,7.82467605535978,309.072020659497,0.400373842092923,7.42430221326686,19.7370398986332,206.748805287821,81.6312350782908,157.285714285714,135.75,137,164,174.526315789474,152,173,NA,173,177,174,195,202,151,313,257,299,301,301,289,299,NA
2000,1.03549450549451,-2.74195652173913,9.9970652173913,-9.91747252747253,-0.384672131147541,507.63,674.01,58,29,127,129,150.51,370.54,159.36,439.22,1119.63,22.5485956769381,343.025618642539,20.8533562044972,1.69523947244095,37.4257154907644,210.355080476108,95.2448226756662,128.25974025974,61,94,139.038461538462,158.473684210526,133,145,NA,142,151,145,183,190,135,309,272,307,307,307,305,300,311
2001,-0.548571428571428,-2.26304347826087,10.2666304347826,-9.829,-0.543013698630137,521.41,703.37,57,38,86,110,154.56,303.79,244.44,301.97,1004.76,3.10112352433958,335.869889344256,1.43009763791096,1.67102588642861,41.8179582689492,215.915214282185,78.1367167931217,134.695652173913,115.3125,117,142.666666666667,154.7,134.6,139,NA,153,159,155,183,195,132,298,256,287,287,299,284,284,359
