year,pet
1991,307.572727810616
1992,323.456597939819
1993,300.10808602474
1994,302.827531082513
1995,263.269456054001
1996,306.090778296212
1997,297.216799722984
1998,294.167865350703
1999,309.072020659497
2000,343.025618642539
2001,335.869889344256
2002,345.370894319813
2003,305.216252906319
2004,339.439319062635
2005,308.369130994632
2006,354.980993316685
2007,316.084072979841
2008,318.644717210086
2009,329.797801273509
2010,301.860755264646
2011,331.035852268728
2012,352.126507717034
2013,322.822891505729
