water_year,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip
1991,175.67,240.56,240.7,280.67,937.6
1992,205.75,190.53,183.03,198.72,778.03
1993,161.55,300,166.36,176.01,803.92
1994,212.12,157.5,131.8,367.86,869.28
1995,168.92,438.69,333.36,252.75,1193.72
1996,252.48,286.62,122.6,417.82,1079.52
1997,367.53,306.73,205.61,447.54,1327.41
1998,236.19,199.9,309.44,282.02,1027.55
1999,163.36,362.89,364.81,342.67,1233.73
2000,150.51,370.54,159.36,439.22,1119.63
2001,154.56,303.79,244.44,301.97,1004.76
2002,210,168.65,160.28,358.31,897.24
2003,216.74,435.4,203.16,253.02,1108.32
2004,175.44,296.58,270.24,237.42,979.68
2005,231.68,274.59,213.76,289.65,1009.68
2006,237.31,259.65,217.92,391.04,1105.92
2007,260.07,234.35,227.76,299.5,1021.68
2008,128.22,347.04,238.56,408.66,1122.48
2009,188.96,241.11,150.99,344.86,925.92
2010,185.54,281.26,191.04,317.52,975.36
2011,239.73,426.99,312.24,492.72,1471.68
2012,204.96,89.98,269.28,331.26,895.48
2013,152.14,242.59,176.64,220.35,791.72
