water_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT
1991,-0.922527472527473,-5.54184782608696,8.88804347826087,-11.9665555555556,-2.33723287671233
1992,-1.09967032967033,-1.23380434782609,6.74782608695652,-9.19505494505495,-1.17357923497268
1993,-1.5578021978022,-5.4070652173913,6.01869565217391,-12.0103333333333,-3.19567123287671
1994,-4.2632967032967,-3.64445652173913,8.18380434782609,-12.7376666666667,-3.05953424657534
1995,-1.80197802197802,-5.29663043478261,7.86728260869565,-9.19288888888889,-2.06805479452055
1996,-1.47208791208791,-3.94086956521739,9.24445652173913,-10.6750549450549,-1.68704918032787
1997,-1.28912087912088,-4.54010869565217,8.4225,-11.5771111111111,-2.19745205479452
1998,-1.31142857142857,-4.59445652173913,7.84445652173913,-11.0791111111111,-2.23961643835616
1999,0.162417582417582,-4.76826086956522,7.90934782608696,-10.2575555555556,-1.69704109589041
2000,1.03549450549451,-2.74195652173913,9.9970652173913,-9.91747252747253,-0.384672131147541
2001,-0.548571428571428,-2.26304347826087,10.2666304347826,-9.829,-0.543013698630137
2002,1.21428571428571,-2.58032608695652,11.2488043478261,-10.5315555555556,-0.109150684931507
2003,-0.742747252747253,-2.59391304347826,9.85978260869565,-9.26144444444444,-0.637424657534246
2004,0.680879120879121,-1.32141304347826,8.39630434782609,-9.32505494505494,-0.370846994535519
2005,-0.252747252747253,-2.96565217391304,9.59630434782609,-7.84044444444444,-0.324986301369863
2006,1.3243956043956,-1.98021739130435,10.586847826087,-10.3897777777778,-0.0623287671232877
2007,-1.11373626373626,-1.37271739130435,10.8710869565217,-9.38744444444444,-0.19827397260274
2008,1.58637362637363,-4.69663043478261,9.76326086956522,-11.8158241758242,-1.2698087431694
2009,1.06945054945055,-2.52217391304348,8.98869565217391,-9.37455555555556,-0.414986301369863
2010,-0.245604395604396,-3.56076086956522,10.3269565217391,-11.0457777777778,-1.07939726027397
2011,1.14164835164835,-3.77271739130435,10.5392391304348,-10.0488888888889,-0.487643835616438
2012,-0.0575824175824175,0.11054347826087,11.5658695652174,-9.39098901098901,0.585819672131147
2013,1.3889010989011,-4.0045652173913,10.6854347826087,-10.4531111111111,-0.547260273972603
