"year" "AET.Jan" "AET.Feb" "AET.Mar" "AET.Apr" "AET.May" "AET.Jun" "AET.Jul" "AET.Aug" "AET.Sep" "AET.Oct" "AET.Nov" "AET.Dec" "DEF.Jan" "DEF.Feb" "DEF.Mar" "DEF.Apr" "DEF.May" "DEF.Jun" "DEF.Jul" "DEF.Aug" "DEF.Sep" "DEF.Oct" "DEF.Nov" "DEF.Dec" "SUR.Jan" "SUR.Feb" "SUR.Mar" "SUR.Apr" "SUR.May" "SUR.Jun" "SUR.Jul" "SUR.Aug" "SUR.Sep" "SUR.Oct" "SUR.Nov" "SUR.Dec" "PET.Jan" "PET.Feb" "PET.Mar" "PET.Apr" "PET.May" "PET.Jun" "PET.Jul" "PET.Aug" "PET.Sep" "PET.Oct" "PET.Nov" "PET.Dec"
"1" 1990 0 0 0.30393153197026 12.2135632104586 32.2423292029177 61.1902799467472 61.2180122297013 65.3605450843377 62.8729171815158 9.55174160121959 3.10694524866325 0 0 0 0 0 0 8.07065140754207 3.55291880137449 0 0 0 0 0 0 0 6.42050590802974 112.244666949541 297.236981437082 123.940681652107 0 18.4594117859472 6.31977544545251 9.79610444908663 19.9117109499406 0 0 0 0.303931531970251 12.2135632104586 32.2423292029177 69.2609313542893 66.4012547894628 64.6769434766778 58.6953753182143 11.3524574990753 3.10694524866325 0
"2" 1991 0 0 0 1.24970140806973 21.1331374589085 59.6883714414657 71.7174189643437 70.8650699764088 47.6581451829999 17.6926703678131 0 0 0 0 0 0 0 0 4.28406210725295 0.7430682049007 2.32636731357744 8.69679843816575 0 0 0 0.569999999999993 0 10.1175485919303 203.711369181091 368.52879063222 22.1293005059185 14.0660525703053 0 0 0 0 0 0 0 1.24970140806973 21.1331374589085 59.6883714414657 78.3268913033429 74.0198481328763 48.696682614355 27.5253256498342 0 0
"3" 1992 0 0 0 16.2247814458023 38.658711250763 54.2177438634083 63.7318359021302 60.3389751430014 51.4411427243163 13.9704502785211 0 0 0 0 0 0 0 0 3.93891490949925 6.80228938779513 4.69998264412201 10.6115774888137 0 0 0 0 0 103.462756487777 296.255222269237 58.4417205291219 0 0 0 0 0 0 0 0 0 16.2247814458023 38.6587112507629 54.2177438634082 69.1678736016497 68.9654795140063 53.3811253684382 26.1683710187379 0 0
"4" 1993 0 0 0 0.393233855335756 20.4385186329144 47.6887448207914 72.4720752675864 38.7566374857601 30.9253581343792 6.0669033092126 0 0.482606503169139 0 0 0 0 0 0 7.23467849086985 32.1185185592145 10.3336668687534 4.7206957813266 0 0 0 0 0 0 85.5506371666174 344.405412059209 174.90392827943 0 0 0 0 0 0 0 0 0.393233855335756 20.4385186329143 47.6887448207915 79.7067537584563 72.3313385700659 41.4454058020571 11.7842973313589 0 0.482606503169137
"5" 1994 0 0 0 9.4856698875057 31.6575733279244 66.3086987879543 56.3441032962128 69.0777855238887 39.5741741611417 8.82798565325317 3.44801997873326 0 0 0 0 0 0 0 11.3083253390222 7.02021042982674 8.23056841031885 0 0 0 0 0 0 23.293163968121 283.865401952076 264.79603020001 0 0 0 0 23.5572543497656 0 0 0 0 9.48566988750569 31.6575733279245 66.3086987879542 69.744279745292 71.9189996972519 48.4786782308082 6.64699782935265 3.44801997873325 0
"6" 1995 0 0 0.252879251167482 0.238863445854902 4.76215598731524 42.9102154305418 69.7648860369178 57.177294910904 26.7010414226299 11.1309947676303 0.257654220443932 0 0 0 0 0 0 0 0.0367737460685937 27.0543464828529 19.2751203113352 0 0 0 0 0 5.99015914883252 2.9756365541451 109.576875852685 613.663538489458 234.599393475659 0 0 8.98022599811095 3.22592022284974 0 0 0 0.252879251167485 0.238863445854892 4.76215598731524 42.910215430542 69.8016597829864 86.7299861172409 47.0252741953353 11.1309947676303 0.257654220443925 0
"7" 1996 0 0 0.210866332163642 3.73768081600708 28.5708378972446 62.2386707215451 64.1433025153729 48.5528800835559 28.9388604244887 23.2117994125928 0.404522339865974 0 0 0 0 0 0 0 11.8424879569066 24.5424472210374 15.0514489836119 0 0 0 0 0 2.96738366783636 31.5303151039929 268.521274822755 511.036041893254 0 0 67.3077460860571 67.1735185844228 12.1676043831185 0 0 0 0.210866332163641 3.73768081600708 28.5708378972446 62.2386707215452 78.5668824253911 74.3519169204504 45.0964601948581 23.2117994125928 0.404522339865967 0
"8" 1997 1.45149847516329 0 0.929055814975214 0.958558356839326 19.723402150819 56.1593365657312 70.2306713860674 73.2718310458549 54.0309823260786 17.7117100557497 0.635236319280462 0 0 0 0 0 0 0 4.54668402606466 0.644934242357739 5.43680484811583 0.0551083166212254 0 0 17.4198060848367 0 7.21394418502479 9.03694164316067 182.564248649181 607.588913674269 40.2926890478707 16.4077736606768 0 2.2238451899415 3.91583312195984 0 1.4514984751633 0 0.929055814975218 0.958558356839323 19.723402150819 56.1593365657311 74.7773554121321 74.5048110000066 56.8103950015659 19.9598320397249 0.635236319280458 0
"9" 1998 0 0 0.848704531163937 1.57879641508147 22.6792553947818 40.2382067403331 78.4233513085477 73.5103988285624 57.7685655335205 16.865772124674 1.74446999463048 0.954940394751633 0 0 0 0 0 0 0.118803919273939 0 7.42430221326686 0 0 0 0 0 8.45422690883606 12.7642035849185 212.212173165218 386.419067979667 59.288629119065 36.8168548665561 0 3.22028343448807 12.7510300053695 8.76755960524837 0 0 0.848704531163928 1.57879641508147 22.6792553947819 40.2382067403331 78.5421552278217 72.8752836809497 64.9775169167279 14.9092481669324 1.74446999463048 0.954940394751632
"10" 1999 0 0 0.603705772813229 0.219090320944989 18.914243804875 51.8144656890295 80.663681109083 73.8702846476156 47.2278131939427 30.722465084123 18.065461440997 0 0 0 0 0 0 0 0.400373842092923 0 0.0881683604409219 0 1.60707111200003 0 0 0 4.93822926718677 12.979201519055 165.786567955125 596.02259727097 92.2202172909167 31.8612874845337 0 0 0 0 0 0 0.603705772813227 0.219090320944989 18.914243804875 51.8144656890297 81.0640549511759 73.8702846476156 44.6364049357755 30.9358851868936 19.6725325529971 0
