year,month,frosts0,frostsneg3
1991,1,31,31
1992,1,31,31
1993,1,31,31
1994,1,31,31
1995,1,31,31
1996,1,31,31
1997,1,31,29
1998,1,31,31
1999,1,31,31
2000,1,31,31
2001,1,31,31
2002,1,31,30
2003,1,31,31
2004,1,31,31
2005,1,31,30
2006,1,31,31
2007,1,31,31
2008,1,31,31
2009,1,31,31
2010,1,31,31
2011,1,31,31
2012,1,31,31
2013,1,31,31
1991,2,28,28
1992,2,29,29
1993,2,28,28
1994,2,28,28
1995,2,28,28
1996,2,29,29
1997,2,28,28
1998,2,28,28
1999,2,28,28
2000,2,29,29
2001,2,28,28
2002,2,28,28
2003,2,28,28
2004,2,29,29
2005,2,28,28
2006,2,28,27
2007,2,28,28
2008,2,29,29
2009,2,28,28
2010,2,28,28
2011,2,28,28
2012,2,29,29
2013,2,28,28
1991,3,31,31
1992,3,31,31
1993,3,31,31
1994,3,31,31
1995,3,31,30
1996,3,31,31
1997,3,31,30
1998,3,31,30
1999,3,31,30
2000,3,31,31
2001,3,31,31
2002,3,31,31
2003,3,31,31
2004,3,27,22
2005,3,31,31
2006,3,31,30
2007,3,31,25
2008,3,31,31
2009,3,31,25
2010,3,31,31
2011,3,31,31
2012,3,30,23
2013,3,31,30
1991,4,30,29
1992,4,24,22
1993,4,30,30
1994,4,30,22
1995,4,30,30
1996,4,30,27
1997,4,30,29
1998,4,30,29
1999,4,30,29
2000,4,29,25
2001,4,25,19
2002,4,27,21
2003,4,29,21
2004,4,29,22
2005,4,28,24
2006,4,27,21
2007,4,27,26
2008,4,30,27
2009,4,28,22
2010,4,29,24
2011,4,30,29
2012,4,24,18
2013,4,30,28
1991,5,29,10
1992,5,21,6
1993,5,28,15
1994,5,24,9
1995,5,30,27
1996,5,21,6
1997,5,25,16
1998,5,22,15
1999,5,28,16
2000,5,17,11
2001,5,12,9
2002,5,18,14
2003,5,18,13
2004,5,16,9
2005,5,22,10
2006,5,19,9
2007,5,18,11
2008,5,24,17
2009,5,17,6
2010,5,26,20
2011,5,26,22
2012,5,19,10
2013,5,20,15
1991,6,0,0
1992,6,13,3
1993,6,15,8
1994,6,4,1
1995,6,17,3
1996,6,4,1
1997,6,9,0
1998,6,13,8
1999,6,11,3
2000,6,6,2
2001,6,5,2
2002,6,5,0
2003,6,7,2
2004,6,6,3
2005,6,9,3
2006,6,0,0
2007,6,4,3
2008,6,7,5
2009,6,3,0
2010,6,3,0
2011,6,4,0
2012,6,2,0
2013,6,2,1
1991,7,0,0
1992,7,3,1
1993,7,4,2
1994,7,3,1
1995,7,3,0
1996,7,0,0
1997,7,1,0
1998,7,0,0
1999,7,0,0
2000,7,0,0
2001,7,0,0
2002,7,0,0
2003,7,0,0
2004,7,0,0
2005,7,0,0
2006,7,0,0
2007,7,0,0
2008,7,0,0
2009,7,0,0
2010,7,0,0
2011,7,0,0
2012,7,0,0
2013,7,0,0
1991,8,0,0
1992,8,4,3
1993,8,3,1
1994,8,0,0
1995,8,0,0
1996,8,0,0
1997,8,0,0
1998,8,0,0
1999,8,0,0
2000,8,0,0
2001,8,0,0
2002,8,0,0
2003,8,0,0
2004,8,2,0
2005,8,0,0
2006,8,0,0
2007,8,0,0
2008,8,1,0
2009,8,0,0
2010,8,0,0
2011,8,0,0
2012,8,0,0
2013,8,0,0
1991,9,6,0
1992,9,12,6
1993,9,13,8
1994,9,24,9
1995,9,12,5
1996,9,14,8
1997,9,9,9
1998,9,7,1
1999,9,3,0
2000,9,14,4
2001,9,4,3
2002,9,3,3
2003,9,7,2
2004,9,10,5
2005,9,10,4
2006,9,4,0
2007,9,10,7
2008,9,7,3
2009,9,4,0
2010,9,7,5
2011,9,2,0
2012,9,10,0
2013,9,4,0
1991,10,28,21
1992,10,22,14
1993,10,23,17
1994,10,27,26
1995,10,31,26
1996,10,29,24
1997,10,22,16
1998,10,24,19
1999,10,26,17
2000,10,22,13
2001,10,24,15
2002,10,21,15
2003,10,29,23
2004,10,15,7
2005,10,29,13
2006,10,22,12
2007,10,25,18
2008,10,19,14
2009,10,20,11
2010,10,29,25
2011,10,18,11
2012,10,22,16
2013,10,22,14
1991,11,29,27
1992,11,30,30
1993,11,30,30
1994,11,30,30
1995,11,30,26
1996,11,30,30
1997,11,30,29
1998,11,30,29
1999,11,30,28
2000,11,23,16
2001,11,30,30
2002,11,28,23
2003,11,30,29
2004,11,30,29
2005,11,28,25
2006,11,30,23
2007,11,29,25
2008,11,28,19
2009,11,27,26
2010,11,27,20
2011,11,29,25
2012,11,30,29
2013,11,28,23
1991,12,31,31
1992,12,31,31
1993,12,31,31
1994,12,31,31
1995,12,31,31
1996,12,31,31
1997,12,31,31
1998,12,31,31
1999,12,31,28
2000,12,31,31
2001,12,31,31
2002,12,31,31
2003,12,31,31
2004,12,30,29
2005,12,31,31
2006,12,31,31
2007,12,31,31
2008,12,31,31
2009,12,31,31
2010,12,31,31
2011,12,31,31
2012,12,31,30
2013,12,31,30
