year,month,frosts0,frostsneg3
1991,fal,63,48
1992,fal,64,50
1993,fal,66,55
1994,fal,81,65
1995,fal,73,57
1996,fal,73,62
1997,fal,61,54
1998,fal,61,49
1999,fal,59,45
2000,fal,59,33
2001,fal,58,48
2002,fal,52,41
2003,fal,66,54
2004,fal,55,41
2005,fal,67,42
2006,fal,56,35
2007,fal,64,50
2008,fal,54,36
2009,fal,51,37
2010,fal,63,50
2011,fal,49,36
2012,fal,62,45
2013,fal,54,37
1991,spr,90,70
1992,spr,76,59
1993,spr,89,76
1994,spr,85,62
1995,spr,91,87
1996,spr,82,64
1997,spr,86,75
1998,spr,83,74
1999,spr,89,75
2000,spr,77,67
2001,spr,68,59
2002,spr,76,66
2003,spr,78,65
2004,spr,72,53
2005,spr,81,65
2006,spr,77,60
2007,spr,76,62
2008,spr,85,75
2009,spr,76,53
2010,spr,86,75
2011,spr,87,82
2012,spr,73,51
2013,spr,81,73
1991,sum,0,0
1992,sum,20,7
1993,sum,22,11
1994,sum,7,2
1995,sum,20,3
1996,sum,4,1
1997,sum,10,0
1998,sum,13,8
1999,sum,11,3
2000,sum,6,2
2001,sum,5,2
2002,sum,5,0
2003,sum,7,2
2004,sum,8,3
2005,sum,9,3
2006,sum,0,0
2007,sum,4,3
2008,sum,8,5
2009,sum,3,0
2010,sum,3,0
2011,sum,4,0
2012,sum,2,0
2013,sum,2,1
1991,wnt,90,90
1992,wnt,91,91
1993,wnt,90,90
1994,wnt,90,90
1995,wnt,90,90
1996,wnt,91,91
1997,wnt,90,88
1998,wnt,90,90
1999,wnt,90,87
2000,wnt,91,91
2001,wnt,90,90
2002,wnt,90,89
2003,wnt,90,90
2004,wnt,90,89
2005,wnt,90,89
2006,wnt,90,89
2007,wnt,90,90
2008,wnt,91,91
2009,wnt,90,90
2010,wnt,90,90
2011,wnt,90,90
2012,wnt,91,90
2013,wnt,90,89
