Year,Month,Day,TMIN,TMAX,PCP
1990,1,1,-14.19,-7.01,0
1990,1,2,-15.78,-9.27,0
1990,1,3,-22.82,-11.73,0
1990,1,4,-21.59,-17.33,0.02
1990,1,5,-20.91,-11.46,0.46
1990,1,6,-10.58,-4.47,0
1990,1,7,-10.5,-7.88,0.47
1990,1,8,-9.7,-5.37,11.69
1990,1,9,-7.42,-3.16,20.24
1990,1,10,-6.32,0.82,0
1990,1,11,-6.39,-1.77,0
1990,1,12,-9.6,2.82,0.11
1990,1,13,-8.95,-2.65,2.53
1990,1,14,-9.98,-6.83,0.03
1990,1,15,-14.34,-4.8,0.69
1990,1,16,-15.58,-12.1,0.02
1990,1,17,-17.45,-8.7,0.46
1990,1,18,-16.76,-6.66,0.1
1990,1,19,-17.36,-12.06,2.3
1990,1,20,-17.46,-10.5,0.06
1990,1,21,-14.24,-5.1,1.41
1990,1,22,-13.06,-1.53,0.84
1990,1,23,-15.51,-12.16,4.18
1990,1,24,-22.99,-16.69,16.97
1990,1,25,-22.47,-11.52,4.14
1990,1,26,-19.32,-2.22,0.13
1990,1,27,-25.77,-20.91,3.18
1990,1,28,-23.53,-16.25,4.53
1990,1,29,-19.39,-13.64,3.71
1990,1,30,-19.37,-7.73,0.71
1990,1,31,-11.56,-5.61,0.51
1990,2,1,-12.17,-6.93,1.18
1990,2,2,-20.32,-11.47,0.69
1990,2,3,-20.55,-10.56,0
1990,2,4,-12.76,-5.19,0
1990,2,5,-13.01,-4.31,0
1990,2,6,-14.14,-5.91,0
1990,2,7,-11.29,-4.89,0.28
1990,2,8,-17.73,-10.6,6.6
1990,2,9,-19.39,-11.97,4.48
1990,2,10,-13.43,-8.24,18.61
1990,2,11,-9.43,2.52,4.83
1990,2,12,-7.37,-0.52,0.05
1990,2,13,-21,-7.08,1.2
1990,2,14,-21.77,-7.03,1.77
1990,2,15,-27.56,-17.94,14.76
1990,2,16,-26.77,-16.51,11.6
1990,2,17,-16.89,-13.29,2.33
1990,2,18,-15.68,-8.39,0.95
1990,2,19,-17.05,-6.54,6.04
1990,2,20,-14.05,-4.56,1.38
1990,2,21,-13.84,-9.07,0
1990,2,22,-14.09,-9.67,0.16
1990,2,23,-11.37,-4.37,3.7
1990,2,24,-9.47,-0.81,0.46
1990,2,25,-7.3,-0.75,0
1990,2,26,-9.62,0.77,0.03
1990,2,27,-14.4,-0.13,0.71
1990,2,28,-14.1,-1.67,0.46
1990,3,1,-11.5,-5.1,0
1990,3,2,-12.23,-3.32,0.08
1990,3,3,-8.89,-0.7,2.36
1990,3,4,-10.33,-0.91,12.02
1990,3,5,-9.99,0.62,1.72
1990,3,6,-11.61,-5.46,7.92
1990,3,7,-13.14,-7.47,2.49
1990,3,8,-8.32,-0.52,4.43
1990,3,9,-6.44,3.42,1.38
1990,3,10,-5.93,2.75,0
1990,3,11,-7.19,4.14,0.05
1990,3,12,-12.41,-5.69,1.51
1990,3,13,-16.96,-7.08,8.91
1990,3,14,-19.87,-13.5,14.98
1990,3,15,-17.12,-11.8,11.35
1990,3,16,-15.02,-9,1.97
1990,3,17,-11.07,-4.64,3.17
1990,3,18,-9.12,-2.04,4.14
1990,3,19,-10.1,-1.94,0.02
1990,3,20,-6.2,2.97,0.51
1990,3,21,-4.51,0.2,1.2
1990,3,22,-4.34,2.76,1.21
1990,3,23,-7.43,-0.48,1.41
1990,3,24,-10.14,-0.1,0.69
1990,3,25,-7.28,-0.36,0
1990,3,26,-6.02,2.71,0.08
1990,3,27,-4.9,5.57,1.97
1990,3,28,-9.3,-0.87,3.01
1990,3,29,-10.87,-3.04,0.51
1990,3,30,-10.28,-0.51,1.15
1990,3,31,-9.4,-0.1,0
1990,4,1,-7.11,1.73,0
1990,4,2,-5.76,9.26,0
1990,4,3,-3.21,6.8,0
1990,4,4,-4.02,3.68,0.13
1990,4,5,-8.63,-1.48,2.99
1990,4,6,-10.87,2.43,0
1990,4,7,-6.02,0.9,0.06
1990,4,8,-5.08,3.86,1.57
1990,4,9,-6.05,1.73,4.47
1990,4,10,-6,0.44,2.3
1990,4,11,-4.22,2.33,0.05
1990,4,12,-3.91,0.1,1.21
1990,4,13,-5.62,-0.29,1.54
1990,4,14,-2.79,5.07,3.71
1990,4,15,-0.12,7.21,0.71
1990,4,16,-4.71,2.68,0.46
1990,4,17,-0.98,7.59,0.08
1990,4,18,-2.27,5.74,1.89
1990,4,19,-3.02,2.89,1.15
1990,4,20,-2.23,7.93,0
1990,4,21,0.22,9.94,0
1990,4,22,0.51,8.98,0.03
1990,4,23,-0.8,6.87,0.88
1990,4,24,-2.31,3.21,4.55
1990,4,25,-4.22,3.84,4.35
1990,4,26,-9.91,-0.94,5.45
1990,4,27,-10.65,-1.71,14.76
1990,4,28,-10.12,5.1,11.81
1990,4,29,-13.17,-5.05,7.5
1990,4,30,-12.33,-3.2,8.51
1990,5,1,-10.67,6.77,0
1990,5,2,-3.83,5.36,0.02
1990,5,3,-7.3,0.57,0.51
1990,5,4,-7.6,3.65,1.15
1990,5,5,-7.54,6.36,0
1990,5,6,-0.84,9.22,0.03
1990,5,7,-0.22,8.88,0.77
1990,5,8,-10.37,3.48,1.9
1990,5,9,-10.61,-3.17,1.38
1990,5,10,-5.84,8.4,0.1
1990,5,11,-3.32,3.29,2.36
1990,5,12,-3.74,3.08,1.38
1990,5,13,-0.12,4.88,0
1990,5,14,0.43,7.24,0.16
1990,5,15,-4.18,2.3,3.74
1990,5,16,-5.64,-2.08,1.38
1990,5,17,-3.7,7.5,0
1990,5,18,-0.25,9.73,0
1990,5,19,-0.88,8.15,0
1990,5,20,-0.91,5.78,0
1990,5,21,0.2,12.61,0
1990,5,22,3.33,13.41,0
1990,5,23,5.06,14.92,0
1990,5,24,2.93,13.08,0
1990,5,25,1.4,12.14,0
1990,5,26,-0.84,10.78,0
1990,5,27,-0.97,8.78,0.13
1990,5,28,1.98,14.8,3.04
1990,5,29,0.4,4.59,1.25
1990,5,30,1.06,7.53,2.3
1990,5,31,1.22,11.1,1.25
1990,6,1,-7.59,11.46,30.17
1990,6,2,-8.23,4.13,32.66
1990,6,3,-0.22,11.98,0
1990,6,4,7.5,17.16,0
1990,6,5,6.46,17.73,0
1990,6,6,6.81,18.31,0
1990,6,7,6.43,14.31,0
1990,6,8,5.04,17.49,0
1990,6,9,6.39,19.66,0
1990,6,10,5.92,14.94,0.04
1990,6,11,4.47,16.52,0.92
1990,6,12,1.35,9.61,0
1990,6,13,1.74,12.23,0
1990,6,14,2.07,13.12,0
1990,6,15,2.22,11.32,0.04
1990,6,16,-1.83,6.96,0.92
1990,6,17,-2.22,11.31,0
1990,6,18,4.35,15.76,0
1990,6,19,0.05,8.22,0
1990,6,20,-1.18,10.47,0
1990,6,21,2.13,9.16,0
1990,6,22,1.39,11.97,0
1990,6,23,5.54,15.4,0
