year,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,rock_meltout,sb_meltout,sf_meltout,st_meltout,wm_meltout
1993,143.928571428571,125,126.625,158.176470588235,138,180.2,127,149,155.6
1994,110.276595744681,104,100.285714285714,114.5,116.5,134,134,134,108
1995,180.057971014493,165.4375,165.125,182.578947368421,189.6,200.307692307692,188,177,176.4
1996,153.810126582278,87.8181818181818,97.75,157.961538461538,158.285714285714,191.173913043478,151,143,147.4
1997,155.5,138.75,128,160.045454545455,167.166666666667,178.944444444444,135,135,147
1998,160.652173913043,139,150,160.68,172,175.235294117647,162,147,147
1999,157.285714285714,135.75,137,164,160.714285714286,174.526315789474,152,175,152
2000,128.25974025974,61,94,139.038461538462,156.333333333333,158.473684210526,142,133,133
2001,134.695652173913,115.3125,117,142.666666666667,142.5,154.7,149.5,143,134.6
2002,107.585365853659,84,92,113,122.333333333333,120.578947368421,135,148,99.2
2003,117.24,83.375,85.1666666666667,145.384615384615,99.5,156.2,150.5,141,141
2004,145.926829268293,124.5625,125.75,151.807692307692,155.857142857143,162.764705882353,161,148,138.4
2005,146.475609756098,96.3125,94.125,165.44,158.857142857143,178.055555555556,165,165,153.8
2006,127.745762711864,79.4545454545455,118.75,133.857142857143,147,156.454545454545,154,117,128.6
2007,156.602272727273,145.1875,146.25,157.961538461538,157.142857142857,164.95652173913,164,152,161.4
2008,146.727272727273,90.375,80.25,164.153846153846,152.142857142857,183.913043478261,172.5,162,150.8
2009,162.727272727273,145.1875,149.5,163.192307692308,167.714285714286,178.608695652174,167,147,159
2010,167.511363636364,162.5,148.5,169.5,168,175.739130434783,166,166,166
2011,168.681818181818,128,97.125,185.461538461538,173.857142857143,198.695652173913,172,172,178.8
2012,108.858974358974,78.875,66,114.916666666667,131.666666666667,138.75,150,118,103
2013,141.058823529412,134,137.333333333333,144,144,154,154,154,142
2014,158.530864197531,134.8125,140.75,162.913043478261,171.142857142857,178.684210526316,154,147,152.6
2015,160.555555555556,150.375,146.375,162.333333333333,167,171.052631578947,167,160,157.2
2016,154.375,135.375,129.5,158.461538461538,163.285714285714,171.565217391304,158,140,143.6
2017,166.344827586207,143.875,146.5,171.653846153846,173.285714285714,185.454545454545,150,157,157
