sort_num,class_3
1,rock
2,MM
3,MM
4,MM
5,SB
6,SB
7,WM
8,MM
9,DM
10,FF
11,FF
12,SB
13,SB
14,rock
15,SB
16,SB
17,SB
18,MM
19,DM
20,FF
21,FF
22,FF
23,SB
24,MM
25,SB
26,SB
27,MM
28,MM
29,MM
30,SF
31,FF
32,DM
33,rock
34,SB
35,SB
36,SB
37,SB
38,SB
39,MM
40,ST
41,SF
42,DM
43,DM
44,DM
45,rock
46,rock
47,MM
48,MM
49,SB
50,MM
51,WM
52,DM
53,MM
54,DM
55,DM
56,FF
57,MM
58,MM
59,SB
60,SB
61,SB
62,WM
63,FF
64,DM
65,MM
66,DM
67,MM
68,SB
69,rock
70,MM
71,SB
72,SB
73,MM
74,WM
75,DM
76,DM
77,DM
78,rock
79,MM
80,MM
81,MM
82,MM
83,SB
84,WM
85,DM
86,MM
87,MM
88,DM
