eco_year,sumallPC1,sumallPC2,sum_meanT,sum_precip,sum_moisturedeficit,sum_PET,sum_GDD,fivedayrunning5C,fivedayrunning12C,GSLthreedayneg3C,iceoff_GL4
1982,-1.32228731748675,-0.153865034118114,5.95108695652174,196,3.41329687913356,193.233584359275,271,104,58,97,207
1983,-1.07413424620818,0.0942612300492087,6.5,216,0,192.715174568896,284.5,86,51,99,208
1984,-0.959152742121975,0.761464142529909,6.45108695652174,327,0.229786396574164,200.361153049684,275.5,72,59,111,201
1985,0.113611306351688,-1.38661315547915,6.79402173913043,99,33.4118809612827,209.269918211607,312.55,63,38,124,187
1986,-0.725750284114342,-0.402372399279313,6.375,165,10.4966759440373,205.077962366511,281.5,79,56,107,201
1987,0.806795198000744,-0.117028916218847,8.44565217391304,170,10.8319475543072,206.222726914066,400,6,37,140,178
1988,1.09914093205919,-1.19016484375936,9.57608695652174,91,50.6159662588741,217.936390210518,460.5,45,36,131,189
1989,-0.0689933485815391,-0.824678535247219,7.52717391304348,145,28.8076315905223,196.199752874004,362,50,48,119,192
1990,0.0974256138163366,0.504921996243221,8.31521739130435,248,0.567907827041739,205.01658855353,399,81,37,144,189
1991,-0.233369380359055,0.305289478393037,7.59782608695652,242,6.3558258536611,204.428260427622,338,69,48,122,189
1992,-0.179238064326293,-0.449246021467272,7.39673913043478,184,12.2294540094609,196.66365422818,322.5,58,51,150,189
1993,-0.374897818963609,-1.51502142175584,6.85869565217391,167,52.5711842955119,203.994300048764,303.5,73,45,123,216
1994,0.951199646934851,-0.617765317544114,9.17391304347826,132,25.4713290818455,211.708357743862,437,48,35,156,180
1995,-0.932498401221342,0.482273589715699,7.79891304347826,334,26.5126781646961,199.836386202346,367,96,68,117,220
1996,0.549388504485552,-0.918046560371078,8.83152173913044,124,36.1104062340462,214.241064634031,412.5,66,39,140,199
1997,-0.26480188903862,0.0581932369972832,7.83695652173913,207,4.6646186461035,202.680643774882,340.5,69,51,139,200
1998,-0.86313999967266,0.727269328087035,7.29347826086957,310,0.0655513192299128,189.778173382579,331,78,57,122,200
1999,-0.413231389147227,1.14450846931797,7.81521739130435,367,1.02373184475037,206.722749650284,336,80,51,134,195
2000,0.690038613988775,-0.19815294578926,9.10326086956522,160,19.0950141556514,207.639524075382,440,58,29,128,183
2001,0.175807946075358,0.982949333663698,8.76086956521739,246,0.912081902544102,209.458476449864,411.5,58,39,86,183
2002,1.53963805926468,0.221577710992666,10.2608695652174,161,21.0760233783342,221.653740700636,528,45,29,130,159
2003,0.688042253406531,0.00121278084937954,8.84239130434783,204,15.5921647033525,207.799042970331,434,42,27,141,193
2004,-0.594012309566263,0.242736643302129,6.27173913043478,271,3.42502559497268,196.684125430056,274.5,65,36,103,189
2005,-0.0224947489512398,-0.109262192378607,7.91847826086957,215,14.6188716591937,197.338161015102,375.5,77,22,115,196
2006,0.579321456553065,0.0577974012951311,8.95652173913044,219,23.5116740120724,218.011707150687,416.5,74,34,130,186
2007,0.501170294714428,0.790610461566129,9.38586956521739,228,9.15288951562638,213.778238985491,466.5,59,46,110,182
2008,-0.17168249932144,0.604356541484567,8.17934782608696,239,0.922169437487983,202.809082817128,400.5,79,47,121,192
2009,-0.454118393845378,-0.620520951233027,6.90760869565217,153,14.5905277228212,201.10779762041,310.5,76,54,130,196
2010,-0.0766146741975039,0.00974192893813271,8.01630434782609,192,2.87012570365731,202.391542330515,358.5,86,37,138,191
2011,-0.0460448765950539,1.12873371740392,9.17228260869565,313,4.46642390893019,212.311176531767,440.25,68,55,139,217
2012,1.54954794075137,1.07533564364514,10.5755434782609,270,15.4581866436139,222.66590097887,548.5,23,33,135,168
2013,0.586008826475018,0.512074888932149,9.47065217391304,177,0.988458103995005,214.99132940212,459.7,68,40,133,188
2014,-0.108694324421312,0.00810465357857815,8.0445652173913,182,2.60108235982063,199.574544067027,385.75,65,54,151,196
2015,-0.572259910002808,-1.07106268399941,6.37869565217391,155.05,21.0924818368222,198.231071057712,259.085,93,50,145,189
2016,-0.732387820842516,-0.540270226818221,6.47826086956522,167,6.16223186201043,189.855909387771,274.5,94,48,127,182
2017,0.262667846107509,0.400658028473857,8.8804347826087,187.73,2.11010760478789,212.656185269,411,66,38,121,199
