"year" "AET.Jan" "AET.Feb" "AET.Mar" "AET.Apr" "AET.May" "AET.Jun" "AET.Jul" "AET.Aug" "AET.Sep" "AET.Oct" "AET.Nov" "AET.Dec" "DEF.Jan" "DEF.Feb" "DEF.Mar" "DEF.Apr" "DEF.May" "DEF.Jun" "DEF.Jul" "DEF.Aug" "DEF.Sep" "DEF.Oct" "DEF.Nov" "DEF.Dec" "SUR.Jan" "SUR.Feb" "SUR.Mar" "SUR.Apr" "SUR.May" "SUR.Jun" "SUR.Jul" "SUR.Aug" "SUR.Sep" "SUR.Oct" "SUR.Nov" "SUR.Dec" "PET.Jan" "PET.Feb" "PET.Mar" "PET.Apr" "PET.May" "PET.Jun" "PET.Jul" "PET.Aug" "PET.Sep" "PET.Oct" "PET.Nov" "PET.Dec"
"1" 1981 2.63000000000006 0 0 0 0 0 3.85592169906811 85.5520946218375 47.6395014747646 4.62330477810685 1.80509549503483 0 0 0 0 0 0 0 0 2.18455488804143 24.1711645720321 3.94469666404007 0 0 44.0186614200188 22.1050000000001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.8559216990681 91.3129431886396 74.2599732011147 9.09282112023755 1.80509549503483 0
"2" 1982 0 0 0 0 4.45545964964343 36.1921892706565 76.2074891685141 77.149109699207 37.1413927503859 5.01993464069841 0 0 0 0 0 0 0 0 3.41329687913356 0 3.90381715944794 0.617131609359371 0 0 0 0 0 0 0 257.996148499719 101.779940515791 9.11799824476269 0 0 0 0 0 0 0 0 4.45545964964343 33.5621892706565 79.6207860476477 80.0506090409706 43.6647617895606 5.63706625005778 0 0
"3" 1983 0 0 0 0 4.48169173707944 35.3275075755923 76.687112251369 82.0615297225371 37.0021081725617 4.70633841431813 0.950521465524924 0 0 0 0 0 0 0 0 0 12.6624434836208 1.12691343103189 0 0 0 0 0 0 6.91739202207039 306.494892424408 48.641730324302 4.51681436306509 0 0 0 0 0 0 0 0 4.48169173707944 35.3275075755923 76.687112251369 80.7005547419352 52.4796653101092 6.19266204268057 0.950521465524922 0
"4" 1984 0 0 0 0.782378653603608 21.9217191663952 45.289492791841 76.8956222483858 76.2629327105087 53.4199791422683 3.4996495902447 0 0 0 0 0 0 0 0 0.229786396574164 0 1.10376380742138 0.0147468823294414 0 0 0 0 0 0 126.721406595668 192.502258941003 79.8537667835057 16.4473573105942 0 0 0 0 0 0 0 0.78237865360361 21.9217191663952 45.2894927918409 79.3698555881664 75.7018046696772 47.1137229917817 2.42248459171681 0 0
"5" 1985 0 0 0 5.23251963031758 21.0789833876106 59.7109887649423 70.6747093148735 44.9655284121209 22.5162331826111 3.76847859579505 0 0 0 0 0 0 0 0 4.73961111920381 28.6722698420789 19.726348639089 0 0 0 0 0 0 26.9990737877211 154.079592612389 158.519737381002 0 0 0 0 0 0 0 0 0 5.23251963031758 21.0789833876106 59.7109887649423 77.4659882505649 72.0929411961001 42.340850751334 3.76847859579506 0 0
"6" 1986 0 0 0 0 12.0309339220061 56.0348515287756 68.827596854331 64.9622212111147 26.6143132044427 7.29789331366197 0 0 0 0 0 0 0 0 0 10.4966759440373 16.9936703304495 1.32990370742168 0 0 0 0 0 0 42.7673987386272 389.232740570752 17.8995469114723 0 0 0 0 0 0 0 0 0 9.40093392200607 56.0348515287755 70.909550353968 78.1335604837678 44.052469587471 8.62779702108365 0 0
"7" 1987 0 0 2.46087106670516 14.7411939071701 27.8327680093306 55.8897494555315 71.1982385973381 63.6148799358525 29.9397060600449 7.9288123331581 4.26589238835296 0.755199324065741 0 0 0 0 0 4.51989974937511 3.70395257152668 2.6080952334054 18.0718302808214 14.1835893740878 0.338390633094494 0 0 0 0 115.023180550744 147.65820806053 0 3.58953244276036 0 0 0 0 0 0 0 2.46087106670515 14.7411939071701 27.8327680093306 62.1840400753545 77.0783437329263 66.9603431057853 50.0255959939481 22.7995396544859 2.5938254989688 0.755199324065738
"8" 1988 0 0 0 5.42809215202927 26.0189924976677 67.5280391040355 61.8217822048465 33.9011893466307 10.0513127789596 7.46473261209475 0 0 0 0 0 0 0 0 11.3278156474961 39.288150611378 28.8375593093926 17.2454876929891 0.588040972148464 0 0 0 0 10.1093097921259 242.106911502332 202.534822580366 0 0 0 0 0 0 0 0 0 5.42809215202927 26.0189924976677 67.5280391040355 75.6613191983934 74.7470319080886 39.3357876243408 24.9306518909101 0.736901486303906 0
"9" 1989 0 0 4.82402560483499 11.9915475951429 26.6030733057706 43.8807250111379 56.3215193530337 61.6559488749813 24.8601058796855 5.68771782664099 4.41804602954935 0 0 0 0 0 0 0 22.1731153524551 6.63451623806716 27.2925206466317 12.6123469546335 0 0 0 0 0 72.2960232409876 215.313910694229 84.0943983684994 0 0 0 0 0 0 0 0 4.824025604835 11.9915475951429 26.6030733057706 43.880725011138 81.493915544151 70.8251123187154 53.5180332089966 18.4229467698108 4.41804602954934 0
"10" 1990 0 0 0 4.18221712939885 15.7550910363652 66.0527334908035 65.6724880381197 70.1964681933645 50.625230722722 10.1425491044346 4.30512571228559 0 0 0 0 0 0 0 0.567907827041739 0 8.600945964761 1.75628743302804 0 0 0 0 0 20.9912568115281 138.646036963635 392.856390539965 16.1259804899839 19.4977570599864 0 0 16.2540818819088 0 0 0 0 4.18221712939883 15.7550910363652 66.0527334908036 69.4108736314046 69.5529814313221 59.4883297422052 13.0186232449657 4.30512571228558 0
"11" 1991 0 0 0 1.86298270004518 29.4837770639368 58.2626202368846 65.5513410927883 69.6527109385865 37.6423711240995 9.82761969745578 0 0 0 0 0 0 0 0.138108523695438 5.63727281134322 0.580444518622448 11.6105294780947 16.5519442709602 0 0 0 0 0 12.3220172999548 255.554478936063 294.366561879863 23.6622437523299 15.0701335996195 0 0 0 0 0 0 0 1.86298270004518 29.4837770639367 58.4007287605801 73.2177219521022 72.8098097149397 49.9587785088456 27.145177486356 0 0
"12" 1992 0 0 0 10.4665831692976 27.878075248084 54.5647914474657 64.0891674812971 62.3035602036666 44.151858637856 10.3942331716324 0 0 0 0 0 0 0 0 4.5347766342176 7.69467737524328 12.5782060567815 17.1416808347945 0 0 0 0 0 42.8834967787825 235.232372751916 184.81822053575 0 0 0 0 0 0 0 0 0 10.4665831692976 27.878075248084 54.5647914474657 70.3268993684539 71.7719634122603 56.7093561842476 28.5861668892525 0 0
"13" 1993 0 0 1.23757360000832 0.511746738190382 28.4848167671491 57.4286846161455 56.4159376246344 33.638477893921 18.6702095493719 3.50877186924623 0 0.940648952616494 0 0 0 0 0 0 15.9232502365389 36.647934058973 22.940364619194 9.49274060652401 0 0 0 0 0 0 235.685805958259 363.316392422761 0 0 0 0 0 0 0 0 1.23757360000831 0.511746738190381 28.4848167671491 57.4286846161455 75.1872246147132 71.3783908179049 41.9714603429983 13.4735212035087 0 0.940648952616491
