year,month,frosts0,frostsneg3
1982,fal,70,54
1983,fal,73,61
1984,fal,75,55
1985,fal,75,67
1986,fal,76,62
1987,fal,74,58
1988,fal,65,41
1989,fal,69,41
1990,fal,66,47
1991,fal,60,48
1992,fal,62,50
1993,fal,58,41
1994,fal,73,55
1995,fal,71,51
1996,fal,65,55
1997,fal,58,52
1998,fal,61,46
1999,fal,61,45
2000,fal,60,34
2001,fal,63,53
2002,fal,59,46
2003,fal,73,59
2004,fal,64,47
2005,fal,74,54
2006,fal,59,39
2007,fal,69,52
2008,fal,64,45
2009,fal,63,42
2010,fal,72,58
2011,fal,62,43
2012,fal,66,45
2013,fal,65,41
2014,fal,63,52
2015,fal,50,35
2016,fal,60,48
2017,fal,45,21
2018,fal,68,49
1982,spr,91,90
1983,spr,92,86
1984,spr,84,76
1985,spr,87,69
1986,spr,90,85
1987,spr,71,57
1988,spr,80,71
1989,spr,75,60
1990,spr,86,70
1991,spr,82,71
1992,spr,78,59
1993,spr,82,70
1994,spr,76,56
1995,spr,91,81
1996,spr,81,61
1997,spr,84,68
1998,spr,81,73
1999,spr,86,71
2000,spr,75,65
2001,spr,74,62
2002,spr,80,68
2003,spr,76,70
2004,spr,81,64
2005,spr,83,70
2006,spr,79,64
2007,spr,80,68
2008,spr,87,76
2009,spr,84,70
2010,spr,91,80
2011,spr,88,83
2012,spr,81,59
2013,spr,82,75
2014,spr,81,66
2015,spr,91,84
2016,spr,91,88
2017,spr,86,65
2018,spr,87,71
1982,sum,26,10
1983,sum,17,9
1984,sum,11,9
1985,sum,16,4
1986,sum,14,3
1987,sum,4,1
1988,sum,2,1
1989,sum,17,3
1990,sum,3,2
1991,sum,7,0
1992,sum,10,1
1993,sum,14,6
1994,sum,3,2
1995,sum,14,3
1996,sum,4,0
1997,sum,6,0
1998,sum,15,7
1999,sum,7,3
2000,sum,5,2
2001,sum,5,3
2002,sum,4,0
2003,sum,8,3
2004,sum,15,6
2005,sum,10,5
2006,sum,4,0
2007,sum,6,3
2008,sum,14,7
2009,sum,14,0
2010,sum,8,0
2011,sum,7,0
2012,sum,2,0
2013,sum,3,1
2014,sum,10,1
2015,sum,11,1
2016,sum,10,2
2017,sum,2,0
2018,sum,12,0
1982,wnt,90,89
1983,wnt,90,90
1984,wnt,91,91
1985,wnt,90,90
1986,wnt,90,90
1987,wnt,90,90
1988,wnt,91,90
1989,wnt,90,90
1990,wnt,90,90
1991,wnt,90,90
1992,wnt,91,90
1993,wnt,90,90
1994,wnt,90,89
1995,wnt,90,89
1996,wnt,91,89
1997,wnt,88,88
1998,wnt,90,90
1999,wnt,90,87
2000,wnt,91,90
2001,wnt,90,90
2002,wnt,90,89
2003,wnt,90,90
2004,wnt,91,91
2005,wnt,90,89
2006,wnt,90,89
2007,wnt,90,90
2008,wnt,91,91
2009,wnt,90,90
2010,wnt,90,90
2011,wnt,90,89
2012,wnt,91,91
2013,wnt,90,89
2014,wnt,90,90
2015,wnt,88,82
2016,wnt,91,91
2017,wnt,90,89
2018,wnt,90,90
