date,Year,Month,Day,TMIN,TMAX,PCP
1990-01-01,1990,1,1,-11,-5,0
1990-01-02,1990,1,2,-13,-7,0
1990-01-03,1990,1,3,-20,-10,0
1990-01-04,1990,1,4,-19,-14,0
1990-01-05,1990,1,5,-18,-9,0.39
1990-01-06,1990,1,6,-10,-4,0
1990-01-07,1990,1,7,-10,-6,0
1990-01-08,1990,1,8,-10,-4,11.31
1990-01-09,1990,1,9,-7,-5,21.06
1990-01-10,1990,1,10,-6,0,0
1990-01-11,1990,1,11,-6,-3,0
1990-01-12,1990,1,12,-9,0,0
1990-01-13,1990,1,13,-8,-4,2.73
1990-01-14,1990,1,14,-10,-8,0
1990-01-15,1990,1,15,-14,-5,0.78
1990-01-16,1990,1,16,-15,-11,0
1990-01-17,1990,1,17,-17,-10,0.39
1990-01-18,1990,1,18,-17,-7,0
1990-01-19,1990,1,19,-17,-11,2.34
1990-01-20,1990,1,20,-17,-11,0
1990-01-21,1990,1,21,-13,-5,1.56
1990-01-22,1990,1,22,-12,-2,0.78
1990-01-23,1990,1,23,-15,-12,3.51
1990-01-24,1990,1,24,-21,-16,17.55
1990-01-25,1990,1,25,-22,-11,4.29
1990-01-26,1990,1,26,-18,-4,0
1990-01-27,1990,1,27,-23,-19,3.12
1990-01-28,1990,1,28,-21,-16,4.68
1990-01-29,1990,1,29,-18,-14,3.9
1990-01-30,1990,1,30,-18,-9,0.78
1990-01-31,1990,1,31,-12,-8,0.39
1990-02-01,1990,2,1,-12,-9,1.17
1990-02-02,1990,2,2,-19,-11,0.78
1990-02-03,1990,2,3,-19,-9,0
1990-02-04,1990,2,4,-12,-5,0
1990-02-05,1990,2,5,-12,-6,0
1990-02-06,1990,2,6,-13,-6,0
1990-02-07,1990,2,7,-10,-6,0
1990-02-08,1990,2,8,-17,-10,6.63
1990-02-09,1990,2,9,-17,-11,3.9
1990-02-10,1990,2,10,-13,-9,19.11
1990-02-11,1990,2,11,-9,4,5.07
1990-02-12,1990,2,12,-7,-2,0
1990-02-13,1990,2,13,-20,-7,1.17
1990-02-14,1990,2,14,-21,-8,1.17
1990-02-15,1990,2,15,-26,-17,14.82
1990-02-16,1990,2,16,-25,-15,12.09
1990-02-17,1990,2,17,-16,-13,2.34
1990-02-18,1990,2,18,-14,-8,0.78
1990-02-19,1990,2,19,-16,-7,6.24
1990-02-20,1990,2,20,-13,-6,1.56
1990-02-21,1990,2,21,-14,-8,0
1990-02-22,1990,2,22,-13,-9,0
1990-02-23,1990,2,23,-12,-5,3.9
1990-02-24,1990,2,24,-8,-2,0.39
1990-02-25,1990,2,25,-7,-2,0
1990-02-26,1990,2,26,-9,-2,0
1990-02-27,1990,2,27,-14,-2,0.78
1990-02-28,1990,2,28,-14,-3,0.39
1990-03-01,1990,3,1,-11,-7,0
1990-03-02,1990,3,2,-12,-5,0
1990-03-03,1990,3,3,-9,-3,1.95
1990-03-04,1990,3,4,-11,-4,12.48
1990-03-05,1990,3,5,-11,-3,1.56
1990-03-06,1990,3,6,-13,-6,8.19
1990-03-07,1990,3,7,-14,-10,2.34
1990-03-08,1990,3,8,-10,-4,4.68
1990-03-09,1990,3,9,-6,1,1.56
1990-03-10,1990,3,10,-6,2,0
1990-03-11,1990,3,11,-7,2,0
1990-03-12,1990,3,12,-13,-6,1.17
1990-03-13,1990,3,13,-18,-8,8.58
1990-03-14,1990,3,14,-20,-15,15.21
1990-03-15,1990,3,15,-17,-13,11.7
1990-03-16,1990,3,16,-15,-11,1.95
1990-03-17,1990,3,17,-12,-7,3.12
1990-03-18,1990,3,18,-10,-6,4.29
1990-03-19,1990,3,19,-10,-3,0
1990-03-20,1990,3,20,-6,0,0.39
1990-03-21,1990,3,21,-5,-3,1.17
1990-03-22,1990,3,22,-6,0,1.17
1990-03-23,1990,3,23,-8,-2,1.56
1990-03-24,1990,3,24,-11,-1,0.78
1990-03-25,1990,3,25,-10,-2,0
1990-03-26,1990,3,26,-6,0,0
1990-03-27,1990,3,27,-6,3,1.95
1990-03-28,1990,3,28,-11,-2,3.12
1990-03-29,1990,3,29,-12,-4,0.39
1990-03-30,1990,3,30,-11,-3,1.17
1990-03-31,1990,3,31,-10,-2,0
1990-04-01,1990,4,1,-9,-1,0
1990-04-02,1990,4,2,-6,8,0
1990-04-03,1990,4,3,-4,5,0
1990-04-04,1990,4,4,-5,1,0
1990-04-05,1990,4,5,-11,-4,3.12
1990-04-06,1990,4,6,-12,0,0
1990-04-07,1990,4,7,-7,-2,0
1990-04-08,1990,4,8,-5,1,1.56
1990-04-09,1990,4,9,-8,-1,4.68
1990-04-10,1990,4,10,-8,-4,2.34
1990-04-11,1990,4,11,-6,-1,0
1990-04-12,1990,4,12,-6,-3,1.17
1990-04-13,1990,4,13,-8,-4,1.56
1990-04-14,1990,4,14,-5,2,3.9
1990-04-15,1990,4,15,-2,4,0.78
1990-04-16,1990,4,16,-7,2,0.39
1990-04-17,1990,4,17,-3,4,0
1990-04-18,1990,4,18,-4,2,1.95
1990-04-19,1990,4,19,-6,0,1.17
1990-04-20,1990,4,20,-5,5,0
1990-04-21,1990,4,21,-2,7,0
1990-04-22,1990,4,22,0,5,0
1990-04-23,1990,4,23,-4,4,0.78
1990-04-24,1990,4,24,-5,2,4.68
1990-04-25,1990,4,25,-7,0,4.29
1990-04-26,1990,4,26,-12,-5,5.07
1990-04-27,1990,4,27,-13,-5,14.82
1990-04-28,1990,4,28,-12,1,12.09
1990-04-29,1990,4,29,-15,-10,7.41
1990-04-30,1990,4,30,-14,-5,8.97
1990-05-01,1990,5,1,-13,0,0
1990-05-02,1990,5,2,-6,2,0
1990-05-03,1990,5,3,-10,-3,0.39
1990-05-04,1990,5,4,-10,1,1.17
1990-05-05,1990,5,5,-10,2,0
1990-05-06,1990,5,6,-3,6,0
1990-05-07,1990,5,7,-2,6,0.78
1990-05-08,1990,5,8,-12,1,1.95
1990-05-09,1990,5,9,-13,-6,1.56
1990-05-10,1990,5,10,-8,5,0
1990-05-11,1990,5,11,-5,1,2.34
1990-05-12,1990,5,12,-6,-1,1.56
1990-05-13,1990,5,13,-3,2,0
1990-05-14,1990,5,14,-3,5,0
